Key,French
inspection.hint.today,Inspections ce jour
inspection.hint.yesterday,Inspections hier
inspection.hint.not,Aucune inspection
inspection.closest_time,Les inspections commenceront dans {day} j et {hour} h.
inspection.time,{day} j {hour} h
inspection.remain_hours,{hour} h
actor.loyalty.log,Changement de loyauté
menu.peoples.advice,Remarques :
menu.sodliers.lack_of_equipment,Manque d'équipement :
menu.migration.terror,La <hint=hint_terror_peasants>terreur</hint> qui <red>règne</red> dans votre cité <red>a mis fin</red> à l'<hint=hint_migration>immigration</hint>.
menu.migration.one_village_burned,"Le taux d'<hint=hint_migration>immigration</hint> <red>a diminué</red>, car un village de la province a été rasé par des bandits. Il sera reconstruit dans quelques jours."
menu.migration.all_village_burned,"L'<hint=hint_migration>immigration</hint> vers votre cité <red>est à l'arrêt</red>, car tous les villages de la province ont été rasés par des bandits. Ils seront reconstruits dans quelques jours."
menu.migration,$ <hint=hint_migration>Migration</hint> attendue ce jour : {peasant_migrants_today}
menu.migration.increased,<green>Taux d'immigration augmenté</green>. L'effet perdurera pendant encore {days} jour(s).
menu.migration.decreased,<red>Taux d'immigration diminué</red>. L'effet perdurera pendant encore {days} jour(s).
actor.hint.no_sins,Aucun péché
social_strata.dummy,Paysannat
social_strata.slaves,Esclaves
social_strata.soldiers,Population guerrière
social_strata.lords,Nobles
social_strata.animal,Animaux
building.social_availability,ACCESSIBLE PAR
building.market_good_not_sell,INTERDIRE LA VENTE
menu.trade.slave_final_cost,Prix final
menu.trade.slave_base_cost,Prix de base
menu.trade.slave_fertility_cost,Fertilité
menu.trade.slave_free_mind_cost,Ses proches ne lui manquent pas.
menu.trade.slave_combat_cost,Combativité
menu.trade.slave_age_cost,Âge
menu.trade.slave_disability_cost,Handicap
menu.trade.slave_slowdown_cost,Lenteur
menu.trade.slave_faction_cost,Multiplicateur
actor.matching.agree_to_sex,{lord_name} accepte le rendez-vous galant proposé par ce seigneur ou cette dame.
actor.part_of_nature.heir,Héritier·ère
actor.part_of_nature.commander,Commandant·e
actor.part_of_nature.queen,Époux·se du monarque
actor.name.hired_bandits,Coupe-jarret engagé
actor.personality_trait_locked,Secret. Améliorez la compétence {skill_name} au niveau 15 pour débloquer ce trait.
king_role.strong_supporter,Respect du pouvoir
king_role.trader,Matérialiste
king_role.religious,Sectarisme
king_role.order_supporter,Défense de l'odre
king_role.suggestable,Impressionnable
king_role.liberator,Soutien de la liberté
king_role.lick,Égalitarisme
king_role.intriguant,Machination
king_role.scientist,Sage
menu.missing_equipment.no_problems,Aucun problème
actor.deep_social.evil_joke,Raillerie
actor.deep_social.good_joke,Boutade
actor.deep_social.deep_talk,Conversation à cœur ouvert
actor.deep_social.abuse,Insulte
actor.deep_social.slight,Indifférence
actor.deep_social.intrigue,Intrigue
actor.deep_social.flattery,Flatterie
actor.deep_social.sorry,Excuses
actor.deep_social.rumors,Rumeurs
actor.inspection_queue,Inspections en attente
knowledge.blocked_reason.population_required,Population : {number_of_peoples}/{required_peoples} nécessaire
knowledge.blocked_reason.knowledge_required,{knowledge_name} est disponible
knowledge.blocked_reason.building_required,Terminer la construction du bâtiment {building_name}
knowledge.blocked_reason.play_days,La cité existe depuis {days} jours.
knowledge.blocked_reason.no,Conditions remplies
ceremony.wedding,Mariage
ceremony.funeral,Funérailles
ceremony.coronation,Couronnement
menu.choose_province.climate,Climat :
menu.choose_province.safety,Sécurité :
menu.choose_province.forest,Forêt :
menu.choose_province.villages,Villages :
menu.choose_province.resources,Ressources :
menu.choose_province.moderate,Modéré
menu.choose_province.many,Beaucoup
menu.choose_province.high,Élevé
menu.playtest.welcome_caption,Bienvenue !
menu.demo.welcome,"Bienvenue !
  
 Cette démo propose le même contenu que le jeu complet, mais est limitée à {demo_days_count} jours en jeu.
  
 Beaucoup d'aspects sont encore en développement, nous nous excusons par avance des problèmes ou différents bugs que vous pourrez trouver.
  
 <right>Merci,
 L'équipe de Long Jaunt</right>"
menu.demo.alpha,"<b>Accès anticipé</b>
  
 De nombreux aspects du jeu sont encore en développement, notamment :
 
 $ certaines langues,
 $ l'optimisation,
 $ la résolution de bugs,
 $ et d'autres.
 
 Nous travaillons dur pour les améliorer."
menu.playtest.welcome,"Merci d'avoir accepté notre invitation a essayer cette version de test de Norland.
  
 Il arrive encore que le jeu plante et que des erreurs surviennent, et l'interface n'est pas encore à jour, mais le jeu contient déjà toutes les fonctionnalités avec lesquelles nous voulons le sortir en accès anticipé.
  
 Merci de prendre quelques minutes pour nous <b>donner votre avis</b> à la fin de la partie (depuis le menu principal).
 
 Cette version permet d'avancer jusqu'à {demo_days_count} jours dans la partie. 
 
 <right>Merci,
 L'équipe Long Jaunt</right>"
menu.demo.under_logo,Démo
menu.playtest.under_logo,Test bêta
menu.story,"Norland, 2 898 ans après la création du monde.
  
 Le grand <b>Empire pourpre</b> a succombé aux flammes de la guerre religieuse il y a 200 ans de ça. Ses anciennes provinces sont devenues des contrées barbares et seule <b>l’Église de Mère Sophia</b> empêche leur destruction mutuelle.
  
 Alors que les prophètes racontent que la fin du monde approche inévitablement, le rêve d'un nouvel empire se dessine dans une petite province…"
menu.new_game_story,"Après un long et fatigant voyage, {soul_uuid_king} rentre chez lui, espérant retrouver sa femme devant les portes de la grand-salle. Cependant, c'est par son frère qu'il est accueilli. L'expression sur son visage ne présage rien de bon.
  
 « Mon bon roi, je crains de n'avoir que de mauvaises nouvelles.
 - {soul_uuid_brother}, que s'est-il passé ? Dis-moi la vérité, et vite ! » 
 Incapable de regarder le roi dans les yeux, {soul_uuid_brother} bafouille dès qu'il tente de prononcer le moindre mot. 
 « Des bandits nous ont attaqués la nuit passée. Nous avons tout fait pour nous défendre, mais ils étaient trop nombreux. Votre femme a été enlevée, les bandits demandent une rançon contre sa libération. 
 - Alors qu'attends-tu ? Envoie immédiatement un émissaire et donne-leur ce qu'ils demandent !
 - Mais, mon roi, nous sommes encerclés d'ennemis. Notre statut de vassal nous maintient en sécurité pour le moment, mais les jours du vieux roi sont comptés. Sans or ni ressources, nous ne pourrons pas tenir. Il nous faut une armée. 
 - Tu proposes d'abandonner {soul_uuid_wife} ? 
 - Tant qu'ils espèrent recevoir la rançon, ces bandits ne lui feront rien. 
 - Il me faut un instant pour réfléchir. Va, maintenant, et attends mes ordres. »"
menu.new_game_story_header,Le commencement de l'histoire
menu.demo.finish.header,La fin de l'histoire
menu.demo.finish,"C'est ici que s'achève la démo de Norland…
  
 Vous pouvez lancer une partie avec des conditions et des compétences qui rendront l'expérience plus difficile.
  
 Merci d'avoir joué !"
menu.demo.finish.back_to_menu,Retour au menu
menu.settings.change_resolution.apply.header,Modification des paramètres
menu.settings.change_resolution.apply.body,"La définition de l'écran a été modifiée. 
 Pour appliquer ces changements, cliquez sur {accept_button_caption}. Sinon, tout changement sera annulé dans {time_remain_seconds} s."
menu.hack_detected.header,Modification du fichier de sauvegarde détectée
menu.hack_detected,"Nous ne pouvons garantir le bon fonctionnement du jeu après une modification par un tiers des fichiers de sauvegarde.
  
 Nous recevrons bien les rapports de bugs, mais ne pourrons définir avec certitude s'ils proviennent du jeu ou d'une modification des fichiers par un tiers.
 
 Cela nous fait perdre du temps, car nous cherchons des erreurs qui n'existent pas, au lieu de corriger celles qui existent.
 
 Pour le bien de la qualité du jeu, nous devons interdire la modification des fichiers de sauvegarde jusqu'à sa sortie."
resource.not_available.by_synod,Améliorez votre score de <hint=hint_relations_matriarch>relation avec la Matriarche</hint> jusqu'à {number} pour que la Caravane sacrée puisse vous vendre cet article.
text.preposition,ou
menu.ambition.screen_title,Ambitions du monarque
menu.ambition.text,Le monarque a décidé qu'il était temps d'annoncer ses ambitions. Elles auront un impact considérable sur l'avenir de votre famille noble.
ambition.conquer,Conquérir
ambition.allias,Former des alliances
ambition.populate_city,Fonder une cité
ambition.gain_population,Augmenter la population
ambition.produce_goods,Produire des ressources
menu.ambition.complete_title,Ambitions atteintes !
menu.ambition.complete,"Votre monarque a atteint ses objectifs. Le monde entier applaudira bientôt {soul_uuid_1} <b>{name} !</b>
  
 Mais les ambitions des monarques sont sans limites et d'autres prendront certainement racine dans son esprit…"
ambtion.button.ok,Accepter
ambition.checkbox.conquer,<b>Conquête.</b> Le pouvoir est ce qui permet à une dynastie de prospérer. Rattachez <b>{vas_num} provinces vassaliques </b> à votre royaume.
ambition.checkbox.allias,<b>Unification.</b> L'entraide est la seule chose qui nous permet de grandir. Rattachez <b>{all_num} provinces</b> à votre alliance des cités libres.
ambition.checkbox.populate_city,À nos nouvelles cités !
ambition.checkbox.gain_population,<b>Fertilité.</b> La puissance grandit en même temps que la population. Augmentez la population de votre province de <b>{pop_num} personnes</b>.
ambition.checkbox.produce_goods,<b>Économie.</b> Le monde est régi par l'économie. Atteignez une <b>production journalière</b> d'une valeur de <b><hint=hint_resource_gold>{prod_num}</hint></b> (actuellement de <hint=hint_resource_gold>{now}</hint>).
menu.battle.auto_battle,Bataille automatique
menu.battle.retreat,"Votre armée battra en retraite. Cette bataille sera considérée comme une défaite et aura un lourd impact sur le moral de vos guerriers et guerrières. Au moins, leur vie est sauve."
menu.battle.manually_battle,Bataille sur la carte
ambition.title.conquer,Lame affutée
ambition.title.allias,Bras puissant
ambition.title.gain_population,Hôte vénérable
ambition.title.produce_goods,Productiviste
ambition.resume,Reprendre l'ambition précédente
menu.resource_statistics.legend.title,Légende des statistiques
menu.resource_statistics.legend.in_store,La quantité de ressources disponibles dans les dépôts de la cité.
menu.resource_statistics.legend.production,La quantité de ressources produite en une journée de travail.
menu.resource_statistics.legend.used,"La quantité de ressources dépensée dans la production de nouvelles ressources ou dans la construction de bâtiments. Pour l'alcool et la nourriture, correspond à la quantité consommée par les nobles et les esclaves."
menu.resource_statistics.legend.in_use,La quantité de ressources restantes dans les dépôts des bâtiments de production et dans l'inventaire des soldats.
menu.resource_statistics.legend.in_local_market,"La quantité vendue aujourd'hui aux marchés locaux, dans les tavernes et dans les rades à nectar."
menu.resource_statistics.legend.caravan,Le résultat des échanges commerciaux avec la Caravane sacrée.
menu.resource_statistics.header.in_store,Disponible
menu.resource_statistics.header.production,Production
menu.resource_statistics.header.used,Consommation
menu.resource_statistics.header.in_use,Dans les dépôts des bâtiments et chez les soldats.
menu.resource_statistics.header.in_local_market,Marché local
menu.resource_statistics.header.caravan,Commerce avec la Caravane sacrée
menu.resource_statistics.no_data,Cette statistique sera disponible demain.
study.complex,Entraînement général
soul.tab.logs,HISTOIRE
tech.war_logistic,Stratégies militaires Vol. {vol}
tech.prisoners,Prisonniers
building.menu.lvl,Niv. {lvl}
building.menu.resources,ESPACE DU BÂTIMENT
building.menu.workers_road_time,TEMPS DE TRAJET
building.menu.to_workplace,Vers le lieu de travail :
building.menu.to_warehouse,Vers le dépôt :
building.menu.priority,Priorité
building.menu.produced,PRODUCTION
building.menu.workers_bonus,Bonus de main-d'œuvre :
building.menu.manager_bonus,Bonus de gestion :
building.menu.workers,MAIN-D'ŒUVRE
building.menu.instructions,INSTRUCTIONS
building.menu.set_inspector,Assigner la gestion
"building.menu,inspection_bonus",Bonus :
building.menu.builld_first,Construisez d'abord ceci
building.menu.upgrade,Améliorer
building.menu.ship_now,"Envoyer les biens produits 
 dès maintenant"
options_menu.audio.voice_volume,VOLUME DES VOIX
building.prefer.noone,Aucune priorité
building.prefer.nectar,Nectaromane
building.prefer.slaves,Esclaves
building.prefer.loyalist,Loyalistes
building.prefer.culture,{culture}
building.prefer.all,Automatique
display_event.communication_lost,Communication avec {faction_name} perdue
building.menu.terror_all,Toute la population ({count} personnes)
building.menu.terror_no,Non
building.menu.terror_culture,{culture} ({count} personnes)
building.menu.execution,CHÂTIMENT
building.menu.terror,TERREUR
building.menu.daily_statistic,STATS JOURNALIÈRES
building.menu.intimidations,Intimidations
building.menu.path_calculation,Calcul en cours
building.menu.path_cant_find,Introuvable
time.hour_minut,{hour} h {minut} min
time.minut,{minut} min
actor.social_strata.dummy,Roturier
notification.sex_treason_with_dummy,{name_initiator} trompe son ou sa partenaire avec un membre du peuple.
building.menu.building_resources,RESSOURCES DU BÂTIMENT
chancellery.inspection_bonus,"Le bonus de production des inspections correspond à la compétence de gestion du seigneur ou de la dame responsable de la chancellerie, soit {bonus} %."
menu.army.new_army.warriors_count,{warriors_count} soldats
menu.army.new_army.weapons_count,{weapons_count} armes
tech.poisoner,Les secrets du poison
menu.building.church.morning_service_stat,STATISTIQUES DU DERNIER SERMON
menu.building.church.gathering_time,Messe dans :
menu.building.church.congregation,Congrégation :
menu.building.church.sermons,SERMONS
menu.buidling.church.fanatics,Fanatiques : +{count}
menu.buidling.church.agnostics,Agnostiques : +{count}
building.menu.workplace.clerks,FONCTIONNAIRES
building.menu.refill_auto,Remplir automatiquement
building.menu.inspections_delivered,Instructions données : {count}
building.menu.living.residents,HABITANTS·ES ({current}/{max})
building.menu.sold_today,VENDU AUJOURD'HUI
building.menu.guards,GARDES
family.son_of,Fils de
family.daughter_of,Fille de
display_event.mountains_bandits_prepare_to_attack,Les maraudeurs sont sur le point d'attaquer votre cité.
actor.mood,Moral
building.description.library,C'est ici que les dames et les seigneurs développent leurs savoirs.
building.description.decor,Agréable à l'œil
building.description.altar,Lieu dédié aux cérémonies et incinérations
building.menu.crimes_prevented,Crimes évités
norland.plot_day_4_header,Le Nouvel empire
norland.plot_day_4_body,"Les civilisations s'éteignent lentement. Le processus peut s'étaler sur plusieurs siècles sans qu'aucun citoyen ordinaire ne s'en rende compte, jusqu'au dernier moment. Cependant, un monarque avec de bonnes connaissances en histoire sait qu'unifier les royaumes est le seul moyen d'éviter un âge sombre.
  
 Le Norland est à la croisée des chemins. Cela fait bien longtemps que l'Église n'est plus capable d'affronter les nombreux défis que doit affronter le peuple. Les guerres, les famines et les épidémies sont devenues monnaie courante. Les technologies et les savoirs ne sont pas encore perdus, mais ils disparaîtront bientôt si rien n'est fait. Et leur disparition sonnera le glas de la civilisation.
  
 Il y a toujours de l'espoir, mais pour en maintenir la flamme, vous devrez :
 
 $ unifier <b>{goal_number}</b> provinces du Norland sous votre bannière, que ce soit par la vassalisation des royaumes ou la création d'une alliance des cités libres.
 $ Prenez le contrôle du Nouvel Empire et défiez l'Inquisition de l'Église."
norland.plot.end_game_header,Le Nouvel empire : la bataille finale
norland.plot.end_game,"« La carte du Norland se déplie sous mes yeux. J'y vois {goal_number} monarques qui m'obéissent et me respectent. L'heure est venue de réclamer la couronne de cet empire et de défier l'Église de Mère Sophia. Quand l'Inquisition s'écrasera contre mon armée, le monde entier devra accepter l'existence de mon empire, la Pierre de la Foi sera mienne. L'heure du jugement dernier a sonné. »
 
 $ Lorsque tout sera prêt, proclamez la création de votre nouvel Empire (action de monarque).
 $ Éliminez l'Inquisition sacrée sur le champ de bataille pour obtenir le titre d'empereur ou d'impératrice et remportez la partie."
ambitions.province_under_control,"<b>Le Nouvel empire</b>
  
 Unifiez <b>{goal_number}</b> provinces du Norland sous votre bannière, que ce soit par la vassalisation des royaumes ou la création d'une alliance des cités libres.
  
 Provinces sous votre contrôle : {under_control}/{total_province}"
display_event.global_map_ai_ask_help,Le monarque {king_name} de la cité de {faction_name} vous demande de l'aide face à {danger_faction_name}.
display_event.global_map_ai_declare_peace,{king_name} de la cité de {faction_name} propose un traité de paix.
display_event.global_map_ai_invite_to_alliance,Le monarque {king_name} de la cité de {faction_name} vous propose de rejoindre l'alliance.
main_menu.continue_without_tutorial,Commencer sans didacticiel
display_event.build_library,Construire une bibliothèque
main_menu.warning,Attention !
display_event.retrieve_bishop,L'évêque quitte la province
display_event.holy_family_below_zero,Vous avez perdu le soutien de la Matriarche !
resource.product_requirement.technology,Étudier la technologie <b>{technology}</b>
resource.product_requirement.building,Construire le bâtiment <b>{building}</b>
main_menu.continue_start_tutorial,Commencer avec didacticiel
main_menu.new_game.family.members.default,Deux frères et une épouse
actor.faction_from,Originaire de {town}
new_game.province_difficulty.easy,Facile
new_game.province_difficulty.normal,Normal
new_game.province_difficulty.hard,Difficile
new_game.province_difficulty.recommended,Recommandé pour les joueurs et joueuses inexpérimentés·es.
display_event.loan_will_be_expired_soon,Vous devrez bientôt rembourser {faction_name}.
main_menu.new_game.family.recommended_for_newbs,Difficulté recommandée pour une expérience équilibrée.
new_game.province_difficulty.header,Difficulté :
secret_deals_effect,<b>{secret_deals_knowledge}</b> : <green>les relations avec les provinces voisines ne se détérioreront pas</green>.
building.menu.terror_fanatics,Fanatiques ({count} personnes)
global_map.relation_aftermath,$ Relation avec les provinces voisines <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Relation avec {soul_uuid_king} <red>{rel_de}</red>
global_map.aftermath,<b>Conséquences</b> :
tech.kaiden_army,Armée kaiden
tech.makha_trade,Commerce makha
tech.makha_fanatic_terror,Terreur des fanatiques
tech.econom_writing,Écriture économe
tech.faith_defender,Bouclier de la foi
tech.kaiden_training,Entraînement kaiden
tech.kaiden_loyalist,Loyalisme éternel
tech.makha_secret_deals,Accords secrets
display_event.holy_protection_will_removed_soon,La protection de la Famille de l'étreinte divine sera bientôt levée !
display_event.holy_protection_was_removed,La protection de la Famille de l'étreinte divine a été levée !
display_event.holy_protection,La protection de la Famille de l'étreinte divine
display_event.swede_typh_allowed,Fièvre du rutabaga
tutorial_events.disabled,Désactivé
tutorial_events.articles_only,Articles uniquement
tutorial_events.articles_and_advices,Articles et conseils
soul.from_faction,{soul_uuid} de la cité de {faction_uuid}
gui.living_place.appoint.header,Peupler
actor.loyalty_2,Loyauté
actor.important_persons,PERSONNES IMPORTANTES
encyclopedia.popup_window.okay,Compris
encyclopedia.popup_window.read_full,Suivant
actor.opinion.interest_simple,Intérêt
free_lord.first_hire,{first_hire_discount} % de réduction pour la première embauche.
menu.knowledge.longer_time,"À cause d'un faible niveau d'apprentissage, apprendre ce savoir prendra plus de temps que la normale.
 
 Niveau d'apprentissage {tech_level}
 Niveau du noble {lord_level}"
menu.knowledge.write_time,Il faudra <b>{learn_time} h</b> pour écrire un livre
menu.knowledge.learn_time,$ Lire ce livre prendra <b>{learn_time} h</b>
building.patrol_sign_day,Patrouille de jour
tech.slaves_contain,Loger les esclaves
time.days,{days} jours
actor.action_task.spent_time_diplomacy,Visite de l'émissaire
display_event.culture_approve,Les {culture}s approuvent les actions du monarque.
menu.trade.less_tax_for_amy,"* Grâce au savoir du Bouclier de la foi, les taxes sont réduites de {discount} %."
menu.army.tax_for_soldier,"<b>À l'embauche de ce guerrier ou de cette guerrière</b> :
 $ À cause de sa combativité, <hint=hint_tutorial_church_tax>la taxe de l'Église sur votre armée</hint> augmentera de <hint=hint_resource_gold>{soldier_tax}</hint>. Le montant total atteindra <hint=hint_resource_gold>{overal_tax}</hint> pièces par jour."
options_menu.game.camera_speed,VITESSE DE LA CAMÉRA
actor.action_task.wise_talk,Conversation philosophique
display_event.senility_begin,{name} souffre de démence sénile !
display_event.character_loss_skill_trait,{name} a perdu le talent {trait_name} à cause de la dégradation de son niveau de la compétence {skill_name}.
display_event.character_loss_knowledge,"À cause de son grand âge, {name} a oublié le savoir {knowledge}."
knowledge.unavailable_knowledge,Savoirs indisponibles
building.menu.mine_resources,RÉSERVES
building.menu.mine_mined,Fer extrait : {mined}/{limit}
display_event.mine.limit_reached,Les réserves de la mine sont épuisées
display_event.mine.limit_soon,Les réserves de la mine s'amenuisent
display_event.fetility_loss_from_tree,La fertilité des sols diminue
statistics_menu.province.resources,Ressources de la province
statistics_menu.province.trees_cuted,Arbres abattus :
statistics_menu.province.ground_fertility,Fertilité des sols :
statistics_menu.province.iron_mines,Gisements de fer
statistics_menu.province.no_mine,La mine n'est pas construite :
trade_agreements.header,Accords commerciaux
trade_agreements.today_balance,Balance du jour :
trade_agreements.auto_trade,Commerce automatique
trade_agreements.no_trade_agreements,Aucun accord commercial actif
statistics_menu.province.mine_n,Mine {n} :
statistics_menu.province.not_builded,Pas de construction
knowledge.category.economic,Économie
knowledge.category.textbooks,Manuels
knowledge.category.cultural_knowledge,Savoirs culturels
display_event.character_loss_skill,{name} : le niveau de sa compétence {skill_name} est descendu au niveau {level} en raison de son grand âge.
menu.tools.hint.trade_agreements,Négociation
display_event.trade_agreements_result,Rapport commercial étranger
menu.trade.market_saturation.header,Saturation de marché
menu.trade.market_saturation.saturation,<hint=hint_trade_dynamic_prices>Saturation du marché</hint> :
menu.trade.market_saturation.price,Impact de la saturation sur le prix :
menu.trade.market_saturation.relaxaction,Consommation journalière :
menu.trade.market_saturation.warning,"<red>L'offre a dépassé la <hint=hint_market_volume>demande locale</hint>, ce qui cause une saturation de marché et une baisse de prix !</red>"
display_event.new_prophecy,Matriarche : une Nouvelle prophétie
display_event.prophecy_started,La prophétie s'est réalisée ! {prophecy}
prophecy.wolf_attack,Invasion de loups
prophecy.bandits_capm,Armée de déserteurs
prophecy.fields_sick_one,Cultures infectées
prophecy.cholera_epidemy,Épidémie de variole
prophecy.xenophoby,Montée de la xénophobie
prophecy.crocks_wave,Invasion de parias
prophecy.fanatics_wave,Fanatiques jaunes
prophecy.fields_sick_all,Période de disette
prophecy.tree_bug,Infestation de pyrales
prophecy.rats_invasion,Infestation de rats
display_event.prophecy_soon,La prophétie se réalisera bientôt ! {prophecy}
display_event.prophecy_complete,La catastrophe est passée : {prophecy}
prophecy.matriarch.soon_prophecy_1,La Matriarche prévoit qu'une catastrophe (<b>{prophecy}</b>) frappera votre cité d'ici {d1} à {d2} jours.
prophecy.matriarch.soon_prophecy_2,La Matriarche prévoit qu'une catastrophe (<b>{prophecy}</b>) frappera votre cité d'ici {d2} jours.
prophecy.matriarch.letter_caption,Prophétie
prophecy.matriarch.letter_text,Les prophètes de l'Église prédisent que la catastrophe suivante frappera vos terres d'ici {d1} à {d2} jours :
display_event.prophecy_soon_unknown,Rumeurs d'une catastrophe à venir
opinion_mind.interest_to,Intérêt envers {name_2} :
opinion_mind.interest_of_me,{name_2} - intérêt envers moi :
opinion_mind.interest_sex_ready,<center>{name_1} <green>accepterait</green> d'aller à un rendez-vous galant avec {name_2} (intérêt {interest_sign} <green>{interest_threshold}</green>)</center>
opinion_mind.interest_sex_not_ready,<center>{name_1} <red>n'accepterait pas</red> d'aller à un rendez-vous galant avec {name_2} (intérêt {interest_sign} <red>{interest_threshold}</red>)</center>
display_event.market_depth_increased,Le volume du marché a augmenté pour tous les biens !
building.menu.escape_prevented,Évasions évitées
mutator.no_prophecy,Aucune catastrophe
display_notification.auto_trade,Envoi d'émissaire pour les accords commerciaux
knowledge.blocked_reason.production_building_count,{count} bâtiments de production construits
display_tooltip.pause,PAUSE
menu.knowledge.culture_knowledge,Connaissance de la culture {culture_name}
statistics_menu.province.market_depth.header,Marché externe
statistics_menu.province.market_depth.additional_depth,<hint=hint_market_volume_bonus>Volume du marché</hint> augmenté de {percent} %
display_event.old_age_begin,{name} est maintenant d'un âge avancé.
display_event.contraband_begin,Spéculation détectée
statistics_menu.contraband_label,Spéculation
decor.dark_altar,Potence
decor.dark_cage,Cage
decor.dark_garbage,Tapis ensanglanté
decor.dark_stake_with_head,Souffre-douleur
decor.dark_statue_sculls,Signe funeste
decor.dark_statue_skeleton,Dieu mort
decor.dark_statue_wolf,Totem
decor.dark_tree,Arbre de mort
decor.dark_tree_2,Arbre écorché
decor.dark_tree_3,Souche
decor.sub.dark,Intimidation
options_menu.audio.master_volume,VOLUME PRINCIPAL
options_menu.audio.video_volume,VOLUME VIDÉO
decor.sub.dark_2,Ossements
actor.part_of_nature.trader,Commerçant·e
display_event.forest_bandits_will_attack_soon,Rumeurs : les bandits de la forêt préparent une attaque.
menu.trade.vassal_tax_from_player,"Population : {pop} personnes
  
 <b>Montant total des taxes journalières</b> : <hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_line,"{faction_uuid} : population {pop} personnes, taxe <hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_result,<b>Montant total des taxes journalières</b> : <hint=hint_resource_gold>{sum}</hint>
actor.action_task.garant_wakeup,"Le trait <hint=hint_anxious>anxiété</hint> permet à ce personnage de toujours être sur ses gardes, même de nuit."
actor.hint.injury.courage_threshold,<hint=hint_moral_level>Seuil de bravoure</hint> : {number}
video.sub1,Près de deux cents ans ont passé
video.sub2,depuis la fin d'une guerre de religion dévastatrice.
video.sub3,"L'Empire est tombé,"
video.sub4,et les provinces qui le composaient sont devenues des royaumes barbares.
video.sub5,"Mais grâce à l'Église, l'espoir a pu renaître."
video.sub6,La paix et la prospérité règnent désormais sur les ruines de l'ancienne civilisation.
video.sub7,"Avec le temps, l'influence de l'Église n'a cessé de croître."
video.sub8,"Mais l'histoire a tendance à se répéter, et le pouvoir ne peut rester entre les mêmes mains indéfiniment."
video.sub9,Les guerres entre les royaumes se déclenchèrent les unes après les autres.
video.sub10,La faim et la pauvreté forcèrent les habitants à abandonner leurs maisons
video.sub11,et à chercher refuge dans les cités voisines.
video.sub12,Votre dynastie sera-t-elle en mesure d'unifier les royaumes
video.sub13,et d'empêcher l'avènement d'un nouvel âge sombre ?
video.sub14,"À partir de maintenant, c'est vous qui écrivez l'histoire."
game.end.body,"Il ne reste aucun noble adulte dans votre cité capable de donner des instructions adaptées.
 
 Tous les nobles n'ayant pas encore atteint l'âge adulte seront adoptés par l'Église et gonfleront ses effectifs.
  
 C'est ainsi que l'histoire de votre famille noble s'achève."
game.end.caption,Vous avez perdu !
building.menu.paper_in_stock,"Papier en réserve : 
 {current}/{need}"
notification.insight.text,"Votre personnage réalise soudainement que le savoir suivant ne lui est pas inconnu :
 
 <b>{knowledge_name}</b>"
actor.action_task.punish.free_lord,<red>Les provinces voisines dénonceront vos actes si vous punissez des nobles libres de façon excessive.</red>
display_event.heir_can_soon_rise,"{name}, qui doit hériter du trône, prendra peut-être bientôt la tête du royaume !"
display_event.slaves_can_soon_rise,Les esclaves risquent de déclencher une révolte bientôt !
display_event.loyalists_can_soon_rage,Les loyalistes risquent de perpétrer un massacre !
display_event.soldiers_deserting,Vos soldats désertent la cité !
display_event.fanatics_can_soon_rise,Les fanatiques risquent de déclencher une révolte !
display_event.bishop_can_soon_rise,L'évêque risque de déclencher une révolte des fanatiques !
mind.remain_time,Expire dans {remain_time}
unsupported_saves.header,Fichiers de sauvegarde incompatibles détectés
unsupported_saves.body,"<b>Norland</b> est toujours en développement actif et nous faisons tout notre possible pour l'améliorer. Malheureusement, nous ne pouvons pas toujours assurer la compatibilité des fichiers de sauvegarde des anciennes versions, d'autant plus que le jeu n'est pas encore disponible en accès anticipé.
 
 Tous les fichiers non compatibles ont été déplacés vers le dossier « unsupported_saves ».
 
 Veuillez nous excuser pour la gêne occasionnée."
menu.construction.category.roads,Routes
tooltip.construction.place_roads,Placer la route
tooltip.construction.remove_roads,Supprimer la route
tooltip.construction.hold_shift.start,Maintenir
tooltip.construction.hold_shift.end,pour tracer une ligne droite
mutator.longlive,Longévité
ambition.recommend_for_start,(Recommandé)
notification.lord_escaped,{name} a quitté la province.
notification.messenger_escaped,L'émissaire a quitté la province.
notification.messenger_return,L'émissaire est de retour dans la province.
actor.status.back_to_home_town,Rentre dans sa ville natale
actor.status.action_task_in_process,{order_name}
army.status.attack_in_process,Attaque {target_name}
army.status.reinforcement_in_process,Renforts pour {target_name}
mind.remain_time_exhaustion,Mort de faim dans : {remain_time_hours} heure(s)
mind.remain_time_starvation,Épuisement physique dans : {remain_time_hours} heures.
display_event.soul_missing,{name} a disparu
ceremony.emperor_coronation,Couronnement impérial
statistics.peoples.line.mood,Moral
statistics.peoples.line.capital,Fortune
statistics.peoples.line.sick,Malades
statistics.peoples.line.hungry,Faméliques
statistics.peoples.line.strongly_tired,À bout de forces
statistics.peoples.line.homeless,Sans-abri
statistics.peoples.line.fanatics,Fanatiques
statistics.peoples.line.nectar_addicted,Nectaromanes
statistics.peoples.line.loyalists,Loyalistes
