Key,Italiana
tech.wood,Raccolta di legna efficiente
tech.survive,Cura delle piante
tech.pigfarm,Alimentazione dei maiali adeguata
tech.repair,{building_name}: riparazioni economiche
tech.save.res,{building_name}: risparmio di risorse
tech.no.break,{building_name}: lavoro senza intoppi
tech.no.fire,{building_name}: misure antincendio
tech.no.trauma,{building_name}: misure di sicurezza
tech.fast.building,Costruzione rapida
tech.fast.build.less.wood,Legno: costruzione economica
tech.fast.build.less.iron,Ferro: costruzione economica
tech.skill,{skill_name}: {tome}
tech.criminal_intimidation,Intimidazione dei vagabondi
tech.loyalist_more,Fondamenti di lealtà
tech.preach_better,Predicazione efficace
tech.slaves_happiness,Felicità dei prigionieri
tech.tanya_paper,Carta tanaya
tech.crevav_swede,Rape arrostite
tech.drought_fight,Lotta alla siccità
tech.longevity,Longevità
tech.addiction_resist,Lotta alla dipendenza
tech.fanatic_pretend,Fanatismo fasullo
tech.marah_ale,Birra aromatica makha
tech.right_nectar,Il giusto nettare
tech.fertilize_cost_less,Fertilizzazione corretta
tech.tree_more_wood,Taglio corretto
tech.better_meat,Cottura della carne
tech.flirt_art,L'arte della seduzione
tech.voruns_moonshine,Liquore varn
tech.dialect,Dizionario di {dialect_name}
tech.cutter,Tagliateste
tech.axe_mastery,Padronanza dell'ascia
tech.handfighter,Combattimento corpo a corpo
tech.tanya_shield,Scudi tanaya
tech.bow_mastery,Padronanza dell'arco
tech.mace_stun,Mazza stordente
tech.heavy_armor_wear,Uso delle armature
tech.polite_trade,Commercio civile
tech.sin_mind_reducer,Espiazione dei peccati
tech.tome,Vol. {number}
tech.common_good,Bene comune
tech.joy_of_education,La felicità dell'illuminazione
dialect.common,Lingua imperiale
dialect.tanaya,Tanaya
dialect.voruns,Varn
dialect.gwelts,Kaiden
dialect.makha,Makha
decor.signt_with_equipment,Cartello equipaggiato
decor.bonfire,Falò
decor.sign,Emblema
decor.sign_with_scull,Teschio impalato
decor.stone,Pietra
decor.pile_of_skulls,Cumulo di ossa
decor.bush_1,Arbusto 1
decor.bush_2,Arbusto 2
decor.bush_3,Arbusto 3
decor.floor_remove,Rimuovi strada
decor.sub.statue,Statue
decor.sub.torch,Illuminazione
decor.sub.floor,Pavimentazione
decor.sub.other,Altro
decor.sub.trees,Piante
decor.banner,Stendardo
decor.statue,Statua
decor.floor_1,Pietra chiara
decor.floor_2,Pietra scura
decor.floor_3,Legno chiaro
decor.floor_4,Legno scuro
decor.stone_arch,Arco in pietra
decor.torch,Fiaccola
decor.plant,Pianta
decor.bag,Sacco
decor.box,Cassa
decor.barrel,Botte
restrictions.activity.beer,Consumo di alcolici
restrictions.activity.nectar,Consumo di nettare
restrictions.activity.dice,Gioco dei dadi
restrictions.activity.weapon,Utilizzo di armi
restrictions.activity.armor,Utilizzo di armature
restrictions.eat.meat,Consumo di carne
actor.hint.slave.age,Età: {age} anni
actor.hint.slave.past,Passato:
actor.culture,Cultura: {culture}
actor.hint.slave.combat_skill,Abilità Combattimento: {skill}
actor.hint.slave.traums,Ferite:
actor.hint.slave.will_to_be_free,Brama di libertà
building.chancellery.need_charge,Rifornisci la cancelleria di carta per metterla in funzione
building.chancellery.charging,I lavoratori stanno trasportando la carta
building.chancellery.charged,"La cancelleria è in funzione
 La carta basterà per {day} giorno/i"
building.chacnellery.charge_abort,Annulla rifornimento di carta
building.chacnellery.charge,Rifornisci di carta
inspection.hint.today,Edificio ispezionato oggi
inspection.hint.yesterday,Edificio ispezionato ieri
inspection.hint.not,Edificio non ispezionato
inspection.closest_time,Le ispezioni termineranno tra {day} g {hour} h
inspection.time,{day} g {hour} h
inspection.remain_hours,{hour} h
actor.loyalty.log,Cambio di lealtà
menu.peoples.advice,Suggerimenti:
menu.sodliers.lack_of_equipment,Mancanza di equipaggiamento:
menu.migration.terror,La <hint=hint_migration>migrazione</hint> <red>si è interrotta</red> finché il <hint=hint_terror_peasants>terrore</hint> <red>regna</red> in città.
menu.migration.one_village_burned,La <hint=hint_migration>migrazione</hint> <red>è diminuita</red> a seguito dell'incendio che ha devastato un villaggio della provincia. Il villaggio verrà ricostruito tra pochi giorni.
menu.migration.all_village_burned,La <hint=hint_migration>migrazione</hint> <red>si è interrotta</red> a seguito dell'incendio che ha devastato un villaggio della provincia. Il villaggio verrà ricostruito tra pochi giorni.
menu.migration,$ <hint=hint_migration>Migranti</hint> attesi oggi: {peasant_migrants_today}
menu.migration.increased,<green>Aumento della migrazione</green>. L'effetto durerà ancora {days} giorno/i.
menu.migration.decreased,<red>Diminuzione della migrazione</red>. L'effetto durerà ancora {days} giorno/i.
actor.hint.no_sins,Nessun peccato
social_strata.dummy,Popolani
social_strata.slaves,Prigionieri
social_strata.soldiers,Guerrieri
social_strata.lords,Nobili
social_strata.animal,Animale
building.social_availability,DISPONIBILE PER
building.market_good_not_sell,NON VENDERE
menu.trade.slave_final_cost,Prezzo finale
menu.trade.slave_base_cost,Prezzo base
menu.trade.slave_fertility_cost,Fertilità
menu.trade.slave_free_mind_cost,Non ha nostalgia dei suoi cari
menu.trade.slave_combat_cost,Abilità Combattimento
menu.trade.slave_age_cost,Età
menu.trade.slave_disability_cost,Disabilità
menu.trade.slave_slowdown_cost,Rallentamento
menu.trade.slave_faction_cost,Moltiplicatore
actor.matching.agree_to_sex,{lord_name} accetterà un incontro romantico con questo nobile
actor.part_of_nature.heir,Erede
actor.part_of_nature.commander,Comandante
actor.part_of_nature.queen,Coniuge monarca
actor.name.hired_bandits,Malvivente assoldato
actor.personality_trait_locked,Sconosciuto. Aumenta l'abilità {skill_name} al livello 15 per sbloccare questo tratto.
king_role.strong_supporter,Sostenitore del potere
king_role.trader,Materialista
king_role.religious,Fede
king_role.order_supporter,Difesa dell'ordine
king_role.suggestable,Impressionabilità
king_role.liberator,Liberalismo
king_role.lick,Egualitarismo
king_role.intriguant,Cospirazionismo
king_role.scientist,Sapiente
menu.missing_equipment.no_problems,Nessun problema
actor.deep_social.evil_joke,Scherno
actor.deep_social.good_joke,Battuta
actor.deep_social.deep_talk,Conversazione cuore a cuore
actor.deep_social.abuse,Insulto
actor.deep_social.slight,Disinteresse
actor.deep_social.intrigue,Cospirazione
actor.deep_social.flattery,Adulazione
actor.deep_social.sorry,Scuse
actor.deep_social.rumors,Indiscrezioni
actor.inspection_queue,Coda di ispezione
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} abitanti in città
knowledge.blocked_reason.knowledge_required,{knowledge_name} disponibile
knowledge.blocked_reason.building_required,Costruzione completata: {building_name}
knowledge.blocked_reason.play_days,La città esiste da {days} giorni
knowledge.blocked_reason.no,Le condizioni sono soddisfatte.
ceremony.wedding,Matrimonio
ceremony.funeral,Funerale
ceremony.coronation,Incoronazione
menu.choose_province.climate,Clima:
menu.choose_province.safety,Sicurezza:
menu.choose_province.forest,Foreste:
menu.choose_province.villages,Villaggi:
menu.choose_province.resources,Risorse:
menu.choose_province.moderate,Moderate
menu.choose_province.many,Abbondanti
menu.choose_province.high,Elevate
menu.playtest.welcome_caption,Ti diamo il benvenuto!
menu.demo.welcome,"Ti diamo il benvenuto!
 
 Questa demo include un'esperienza completa, limitata a {demo_days_count} giorni di gioco.
 
 Molti elementi sono ancora in via di sviluppo, quindi ci scusiamo anticipatamente per eventuali errori e problemi che potresti riscontrare.
 
 <right>Grazie,
 Il team di Long Jaunt</right>"
menu.demo.alpha,"<b>Accesso anticipato</b>
 
 Molti elementi del gioco, tra cui:
 
 $ alcune lingue
 $ possibili bug
 $ ottimizzazioni
 $ ecc.
 
 sono ancora in fase di sviluppo e verranno migliorati."
menu.playtest.welcome,"Grazie per aver accettato il nostro invito a partecipare al playtest di Norland.
 
 Il gioco subisce ancora qualche arresto, contiene errori e non presenta interfacce aggiornate, ma le funzionalità corrispondono alla versione che lanceremo in accesso anticipato.
 
 Al termine del gioco, prenditi qualche minuto per <b>inviarci un feedback</b> (pulsante nel menu principale).
 
 Questa versione ha un limite di {demo_days_count} giorni di gioco.
 
 <right>Grazie,
 Il team di Long Jaunt</right>"
menu.demo.under_logo,Demo
menu.playtest.under_logo,Beta playtest
menu.story,"Norland, anno 2898 dalla creazione del mondo.
 
 Sono trascorsi duecento anni da quando il grande <b>Impero scarlatto</b> è crollato tra le fiamme della guerra di religione. Le sue province sono divenute regni barbarici, la cui distruzione reciproca è scoraggiata solo dalla presenza della potente <b>Chiesa di Madre Sofia</b>.
 
 Mentre i profeti annunciano la fine del mondo imminente, in uno di quei piccoli regni prende forma il sogno di rinascita di un nuovo impero..."
menu.new_game_story,"Dopo un viaggio lungo e spossante, {soul_uuid_king} tornò a casa nella speranza di trovare la moglie ad attenderlo sulla soglia. In sua vece, gli andò incontro suo fratello, la cui espressione non faceva presagire nulla di buono.
 
 ""Mio re, ti porto notizie grame.""
 ""Cos'è accaduto, {soul_uuid_brother}? Raccontami tutto senza indugio.""
 Incapace di incontrare lo sguardo del re, {soul_uuid_brother} balbettò:
 ""I fuorilegge ci hanno attaccato la notte scorsa. Abbiamo provato a difenderci, ma erano in troppi. Hanno rapito tua moglie ed esigono il pagamento di un riscatto.""
 ""Ebbene, ordina a un messaggero di consegnare ciò che domandano!""
 ""Mio re, siamo circondati dai nemici. Sebbene il regno goda di protezione grazie al nostro legame di vassallaggio, il tempo del vecchio re si avvicina al termine. Se non racimoliamo denaro e risorse a sufficienza, non sopravvivremo. Ci serve un esercito.""
 ""Quindi mi suggerisci di abbandonare {soul_uuid_wife}?""
 ""Finché sperano di ricevere il riscatto, la lasceranno incolume.""
 ""Mi serve tempo per riflettere. Ora va' e attendi i miei ordini."""
menu.new_game_story_header,L'inizio della storia
menu.demo.finish.header,Fine della storia
menu.demo.finish,"La versione demo di Norland termina qui...
 
 Prova a giocare aumentando la difficoltà o cambiando le abilità dei nobili.
 
 Grazie per aver giocato!"
menu.demo.finish.back_to_menu,Torna al menu
menu.settings.change_resolution.apply.header,Modifica delle impostazioni
menu.settings.change_resolution.apply.body,"La risoluzione dello schermo è stata modificata.
 Per applicare le nuove impostazioni, premi ""{accept_button_caption}"". In caso contrario, le modifiche verranno annullate automaticamente tra {time_remain_seconds} secondi."
menu.hack_detected.header,Modifica al salvataggio rilevata
menu.hack_detected,"Non possiamo garantire il funzionamento corretto del gioco in caso di modifiche di terze parti ai salvataggi.
 
 Riceviamo le segnalazioni dei bug, ma non possiamo stabilire con certezza se siano dovuti al gioco o all'interferenza di terze parti con i file.
 
 Ciò ci costringe a trascorrere momenti preziosi a cercare errori inesistenti invece che a risolvere quelli effettivi, compromettendo la qualità del gioco.
 
 Siamo dunque obbligati a vietare la modifica dei file di salvataggio fino al lancio ufficiale del gioco."
resource.not_available.by_synod,Migliora il tuo <hint=hint_relations_matriarch>rapporto con la Matriarca</hint> a {number} affinché la Carovana sacra cominci a venderti questo prodotto.
text.preposition,o
menu.ambition.screen_title,Ambizioni del monarca
menu.ambition.text,Il monarca decide che è il momento di annunciare le ambizioni che segneranno il futuro della tua casata nobile.
ambition.conquer,Conquistare
ambition.allias,Stringere alleanze
ambition.populate_city,Fondare una città
ambition.gain_population,Accrescere la popolazione
ambition.produce_goods,Produrre risorse
menu.ambition.complete_title,Ambizioni realizzate!
menu.ambition.complete,"Il tuo monarca ha raggiunto i suoi obiettivi, e ora tutti lo conoscono come {soul_uuid_1} <b>{name}!</b> 
 
 Tuttavia, l'ambizione dei monarchi non conosce limiti, e presto nuove ambizioni occuperanno i suoi pensieri..."
ambtion.button.ok,Accetta
ambition.checkbox.conquer,<b>Conquistatore.</b> Il potere favorisce la prosperità della dinastia. Aggiungi <b>{vas_num} vassalli</b> al tuo regno.
ambition.checkbox.allias,<b>Unificatore.</b> Solo con l'aiuto reciproco potremo restare saldi. Amplia la tua alleanza di città libere a <b>{all_num} province</b>.
ambition.checkbox.populate_city,A proposito di fondare città.
ambition.checkbox.gain_population,<b>Fertile.</b> Una popolazione numerosa significa maggiore forza. Aumenta la popolazione della provincia di <b>{pop_num} persone</b>.
ambition.checkbox.produce_goods,<b>Economico.</b> L'economia è alla base di tutto. Raggiungi una <b>produzione giornaliera</b> di merci dal valore di <b><hint=hint_resource_gold>{prod_num}</hint></b>. (Ora <hint=hint_resource_gold>{now}</hint>)
menu.battle.auto_battle,Battaglia automatica
menu.battle.retreat,"Il tuo esercito si ritirerà. La battaglia verrà considerata una sconfitta, compromettendo il morale dei guerrieri, ma i soldati sopravviveranno."
menu.battle.manually_battle,Battaglia nella mappa
ambition.title.conquer,Spada affilata
ambition.title.allias,Stretta salda
ambition.title.gain_population,Grande nido
ambition.title.produce_goods,Registro di stalla
ambition.resume,Riprendi ambizione precedente
menu.resource_statistics.legend.title,Legenda statistiche
menu.resource_statistics.legend.in_store,Quantità di risorse precedentemente contenute nel magazzino della città
menu.resource_statistics.legend.production,Quantità di risorse prodotte in una giornata di lavoro
menu.resource_statistics.legend.used,"Quantità di risorse consumate per la produzione di altre risorse e la costruzione di edifici; nel caso di cibo e alcolici, quantità consumate da nobili e schiavi"
menu.resource_statistics.legend.in_use,Quantità di risorse restanti nei magazzini degli edifici di produzione e nell'inventario dei guerrieri
menu.resource_statistics.legend.in_local_market,"Quantità di merci vendute nei mercati locali, nelle locande e nei bassifondi"
menu.resource_statistics.legend.caravan,Risultati del commercio con la Carovana sacra
menu.resource_statistics.header.in_store,Scorte
menu.resource_statistics.header.production,Produzione
menu.resource_statistics.header.used,Utilizzate
menu.resource_statistics.header.in_use,Nei magazzini degli edifici e dai guerrieri
menu.resource_statistics.header.in_local_market,Mercato locale
menu.resource_statistics.header.caravan,Commercia con la Carovana sacra
menu.resource_statistics.no_data,Le statistiche saranno visualizzate domani
study.complex,Addestramento generale
soul.tab.logs,STORIA
tech.war_logistic,Logistica militare vol. {vol}
tech.prisoners,Prigionieri
building.menu.lvl,Liv. {lvl}
building.menu.resources,DEPOSITO DELL'EDIFICIO
building.menu.workers_road_time,PERCORSO LAVORATORI
building.menu.to_workplace,Verso il posto di lavoro:
building.menu.to_warehouse,Verso il magazzino:
building.menu.priority,Priorità
building.menu.produced,PRODUZIONE
building.menu.workers_bonus,Bonus lavoratori:
building.menu.manager_bonus,Bonus amministratore:
building.menu.workers,LAVORATORI
building.menu.instructions,ORDINI
building.menu.set_inspector,Nomina amministratore
"building.menu,inspection_bonus",Bonus:
building.menu.builld_first,Costruzione richiesta
building.menu.upgrade,Migliora
building.menu.ship_now,"Spedisci ora
 le merci prodotte"
options_menu.audio.voice_volume,VOLUME DIALOGHI
building.prefer.noone,Nessuna priorità
building.prefer.nectar,Nettaredipendenti
building.prefer.slaves,Prigionieri
building.prefer.loyalist,Lealisti
building.prefer.culture,{culture}
building.prefer.all,Automaticamente
display_event.communication_lost,{faction_name}: comunicazione perduta
building.menu.terror_all,Tutti ({count})
building.menu.terror_no,No
building.menu.terror_culture,{culture} ({count})
building.menu.execution,ESECUZIONE
building.menu.terror,Terrore
building.menu.daily_statistic,STAT. GIORNALIERE
building.menu.intimidations,Intimidazioni
building.menu.path_calculation,Calcolo
building.menu.path_cant_find,Assente
time.hour_minut,{hour} h {minut} min
time.minut,{minut} min
actor.social_strata.dummy,Plebeo
notification.sex_treason_with_dummy,{name_initiator} tradisce la sua dolce metà con un membro della plebe
building.menu.building_resources,RISORSE EDIFICIO
chancellery.inspection_bonus,Il bonus di produzione ottenuto dalle ispezioni equivale al livello dell'abilità Amministrazione del nobile responsabile della cancelleria: {bonus}%.
menu.army.new_army.warriors_count,Guerrieri: {warriors_count}
menu.army.new_army.weapons_count,Armi: {weapons_count}
tech.poisoner,Segreti dei veleni
menu.building.church.morning_service_stat,STATISTICHE DELL'ULTIMO SERMONE
menu.building.church.gathering_time,Ora di ritrovo:
menu.building.church.congregation,Congregazione:
menu.building.church.sermons,SERMONI
menu.buidling.church.fanatics,Fanatici: +{count}
menu.buidling.church.agnostics,Agnostici: +{count}
building.menu.workplace.clerks,FUNZIONARI
building.menu.refill_auto,Riempi automaticamente
building.menu.inspections_delivered,Ordini assegnati: {count}
building.menu.living.residents,ABITANTI ({current}/{max})
building.menu.sold_today,VENDITE ODIERNE
building.menu.guards,GUARDIE
family.son_of,Figlio di
family.daughter_of,Figlia di
display_event.mountains_bandits_prepare_to_attack,I predoni si preparano ad attaccare la tua città
actor.mood,Morale
building.description.library,Qui i nobili studiano le conoscenze
building.description.decor,Gradevole alla vista
building.description.altar,Luogo per le cerimonie e i sacrifici
building.menu.crimes_prevented,Crimini scongiurati
norland.plot_day_4_header,Il nuovo impero
norland.plot_day_4_body,"La graduale scomparsa della civiltà è un processo che può durare centinaia di anni, invisibile ai comuni cittadini finché non sopraggiunge la fine. Ma un sovrano versato nella storia sa che solo l'unificazione dei regni in guerra tra loro può scongiurare l'avvento dei secoli bui.
 
 Norland si trova a un bivio. Da tempo, la Chiesa non è in grado di far fronte alle varie difficoltà che il suo popolo deve affrontare. Guerre, carestie ed epidemie sono all'ordine del giorno. Tecnologie e conoscenze non sono ancora perdute ma, se non correremo ai ripari, scompariranno insieme alla civiltà.
 
 C'è sempre speranza, ma per non disattenderla dovrai:
 
 $ Unire <b>{goal_number}</b> province di Norland sotto il tuo comando come monarca di uno stato vassallo o come guida di un'alleanza di città libere.
 $ Proclamarti imperatore e contestare l'Inquisizione della Chiesa."
norland.plot.end_game_header,Il nuovo impero: battaglia finale
norland.plot.end_game,"""La mappa di Norland si estende dinanzi a me. {goal_number} dei monarchi mi obbediscono e mi rispettano. È ora di conquistare il trono imperiale e sfidare la Chiesa di Madre Sofia. Quando l'Inquisizione si infrangerà contro il mio esercito, il mondo intero mi riconoscerà come suo imperatore, e la Pietra della Fede cadrà ai miei piedi. La battaglia finale attende.""
 
 $ Quando ti senti all'altezza, proclamati imperatore (azione del monarca).
 $ Sconfiggi la Santa Inquisizione sul campo di battaglia per conquistare il titolo e vincere la partita."
ambitions.province_under_control,"<b>Il nuovo impero</b>
 
 Unisci <b>{goal_number}</b> province di Norland come monarca di un regno vassallo o guida di un'alleanza di stati liberi.
 
 Province sotto il tuo comando: {under_control} / {total_province}"
display_event.global_map_ai_ask_help,"{king_name}, monarca di {faction_name}, ti ha chiesto aiuto contro {danger_faction_name}"
display_event.global_map_ai_declare_peace,"{king_name}, monarca di {faction_name}, propone un trattato di pace"
display_event.global_map_ai_invite_to_alliance,"{king_name}, monarca di {faction_name}, ti invita a unirti all'alleanza"
main_menu.continue_without_tutorial,Avvia senza tutorial
display_event.build_library,Costruisci una biblioteca
main_menu.warning,Attenzione!
display_event.retrieve_bishop,Il vescovo lascia la provincia
display_event.holy_family_below_zero,Hai perso il favore della Matriarca!
resource.product_requirement.technology,Studia la tecnologia: <b>{technology}</b>
resource.product_requirement.building,Costruisci l'edificio: <b>{building}</b>
main_menu.continue_start_tutorial,Avvia con tutorial
main_menu.new_game.family.members.default,Due fratelli e una moglie
actor.faction_from,da {town}
new_game.province_difficulty.easy,Facile
new_game.province_difficulty.normal,Normale
new_game.province_difficulty.hard,Difficile
new_game.province_difficulty.recommended,Consigliata per giocatori principianti
display_event.loan_will_be_expired_soon,Presto dovrai saldare il debito con {faction_name}
main_menu.new_game.family.recommended_for_newbs,Impostazioni delle abilità consigliate per una partita bilanciata
new_game.province_difficulty.header,Difficoltà:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>i rapporti con i vicini non si guastano</green>.
building.menu.terror_fanatics,Fanatici ({count})
global_map.relation_aftermath,$ Rapporto con i vicini: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Rapporto con {soul_uuid_king}: <red>{rel_de}</red>
global_map.aftermath,<b>Conseguenze</b>:
tech.kaiden_army,Esercito kaiden
tech.makha_trade,Commercio makha
tech.makha_fanatic_terror,Terrore contro i fanatici
tech.econom_writing,Scrittura conveniente
tech.faith_defender,Difesa della fede
tech.kaiden_training,Addestramento kaiden
tech.kaiden_loyalist,Lealisti imperituri
tech.makha_secret_deals,Accordi segreti
display_event.holy_protection_will_removed_soon,La protezione della Famiglia benevola verrà revocata presto!
display_event.holy_protection_was_removed,La protezione della Famiglia benevola è stata revocata!
display_event.holy_protection,La protezione della Famiglia benevola
display_event.swede_typh_allowed,Tifo delle rape
tutorial_events.disabled,Disattivati
tutorial_events.articles_only,Solo elementi
tutorial_events.articles_and_advices,Elementi e consigli
soul.from_faction,{soul_uuid} da {faction_uuid}
gui.living_place.appoint.header,Popola
actor.loyalty_2,Lealtà
actor.important_persons,PERSONE IMPORTANTI
encyclopedia.popup_window.okay,Ho capito
encyclopedia.popup_window.read_full,Avanti
actor.opinion.interest_simple,Interesse
free_lord.first_hire,{first_hire_discount}% di sconto sulla prima assunzione
menu.knowledge.longer_time,"Le abilità di apprendimento ridotte aumentano il tempo necessario allo studio!
 
 Livello conoscenza: {tech_level}
 Livello nobile: {lord_level}"
menu.knowledge.write_time,Scrivere un libro richiederà <b>{learn_time} h</b>
menu.knowledge.learn_time,$ Studiare questo libro richiederà <b>{learn_time} h</b>
building.patrol_sign_day,Pattuglia diurna
tech.slaves_contain,Reclusione dei prigionieri
time.days,{days} g
actor.action_task.spent_time_diplomacy,Visita dell'emissario
display_event.culture_approve,I {culture} approvano le azioni del monarca
menu.trade.less_tax_for_amy,"*Grazie alla conoscenza Difesa della fede, la tassa viene ridotta del {discount}%"
menu.army.tax_for_soldier,"<b>Dopo aver assoldato questo guerriero</b>
 $ A seconda della sua abilità Combattimento, la <hint=hint_tutorial_church_tax>tassa sul tuo esercito della Chiesa</hint> aumenterà di <hint=hint_resource_gold>{soldier_tax}</hint>. La tassa totale ammonta ora a <hint=hint_resource_gold>{overal_tax}</hint> al giorno."
options_menu.game.camera_speed,VELOCITÀ SPOSTAMENTO VISUALE
actor.action_task.wise_talk,Conversazione saggia
display_event.senility_begin,{name} soffre di demenza senile!
display_event.character_loss_skill_trait,"A causa di una riduzione dell'abilità {skill_name}, {name} ha perso il talento {trait_name}"
display_event.character_loss_knowledge,"A causa dell'età, {name} ha dimenticato {knowledge}"
knowledge.unavailable_knowledge,Conoscenza non disponibile
building.menu.mine_resources,GIACIMENTI
building.menu.mine_mined,Ferro estratto: {mined}/{limit}
display_event.mine.limit_reached,I giacimenti della miniera sono esauriti
display_event.mine.limit_soon,La miniera si sta esaurendo
display_event.fetility_loss_from_tree,La fertilità del suolo è calata
statistics_menu.province.resources,Risorse della provincia
statistics_menu.province.trees_cuted,Foreste abbattute:
statistics_menu.province.ground_fertility,Fertilità del suolo:
statistics_menu.province.iron_mines,Giacimento di ferro
statistics_menu.province.no_mine,Miniera non costruita:
trade_agreements.header,Accordi commerciali
trade_agreements.today_balance,Commercio oggi:
trade_agreements.auto_trade,Commercia automaticamente
trade_agreements.no_trade_agreements,Non hai contratti commerciali attivi
statistics_menu.province.mine_n,Miniera {n}:
statistics_menu.province.not_builded,Edificio non costruito
knowledge.category.economic,Economia
knowledge.category.textbooks,Manuali
knowledge.category.cultural_knowledge,Conoscenza culturale
display_event.character_loss_skill,{name}: l'abilità {skill_name} è scesa al livello {level} a causa dell'età
menu.tools.hint.trade_agreements,Commercio
display_event.trade_agreements_result,Relazione sul commercio estero
menu.trade.market_saturation.header,Saturazione del mercato
menu.trade.market_saturation.saturation,<hint=hint_trade_dynamic_prices>Saturazione del mercato</hint> di questo prodotto:
menu.trade.market_saturation.price,Impatto della saturazione sul prezzo:
menu.trade.market_saturation.relaxaction,Consumo giornaliero:
menu.trade.market_saturation.warning,"<red>L'offerta ha superato la <hint=hint_market_volume>domanda locale</hint>, portando a una saturazione del mercato e una riduzione dei prezzi!</red>"
display_event.new_prophecy,Matriarca: nuova profezia
display_event.prophecy_started,La profezia si è avverata! {prophecy}
prophecy.wolf_attack,Invasione di lupi
prophecy.bandits_capm,Esercito di disertori
prophecy.fields_sick_one,Pestilenza delle colture
prophecy.cholera_epidemy,Epidemia di vaiolo
prophecy.xenophoby,Crisi di xenofobia
prophecy.crocks_wave,Invasione di vagabondi
prophecy.fanatics_wave,Fanatici del giallo
prophecy.fields_sick_all,Giorni di carestia
prophecy.tree_bug,Tarli del legno
prophecy.rats_invasion,Invasione di ratti
display_event.prophecy_soon,La profezia si avvererà presto: {prophecy}
display_event.prophecy_complete,La calamità è finita: {prophecy}
prophecy.matriarch.soon_prophecy_1,La Matriarca prevede che la tua provincia verrà colpita da una calamità tra {d1}/{d2} giorni: <b>{prophecy}</b>
prophecy.matriarch.soon_prophecy_2,La Matriarca prevede che la tua provincia verrà colpita da una calamità tra {d2} giorni: <b>{prophecy}</b>
prophecy.matriarch.letter_caption,Profezia
prophecy.matriarch.letter_text,Gli oracoli della Chiesa si aspettano che la seguente calamità colpirà le tue terre tra {d1}/{d2} giorni:
display_event.prophecy_soon_unknown,Indiscrezioni di una calamità imminente
opinion_mind.interest_to,Interesse verso {name_2}:
opinion_mind.interest_of_me,Interesse di {name_2} verso di me:
opinion_mind.interest_sex_ready,<center>{name_1} <green>è favorevole</green> a un incontro romantico con {name_2} (interesse {interest_sign} <green>{interest_threshold}</green>)</center>
opinion_mind.interest_sex_not_ready,<center>{name_1} <red>non è favorevole</red> a un incontro romantico con {name_2} (interesse {interest_sign} <red>{interest_threshold}</red>)</center>
display_event.market_depth_increased,Il volume di mercato di tutte le merci è aumentato
building.menu.escape_prevented,Evasioni scongiurate
mutator.no_prophecy,Nessun disastro
display_notification.auto_trade,Invio di messaggeri per gli accordi commerciali
knowledge.blocked_reason.production_building_count,Edifici di produzione costruiti: {count}
display_tooltip.pause,PAUSA
menu.knowledge.culture_knowledge,Conoscenza della cultura {culture_name}.
statistics_menu.province.market_depth.header,Mercato esterno
statistics_menu.province.market_depth.additional_depth,<hint=hint_market_volume_bonus>Volume di mercato</hint> aggiuntivo: {percent}%
display_event.old_age_begin,{name} sta invecchiando
display_event.contraband_begin,Speculazione scoperta
statistics_menu.contraband_label,Speculazione
decor.dark_altar,Forca
decor.dark_cage,Gabbia
decor.dark_garbage,Straccio insanguinato
decor.dark_stake_with_head,Punizione inferta
decor.dark_statue_sculls,Ammonimento
decor.dark_statue_skeleton,Dio della morte
decor.dark_statue_wolf,Totem
decor.dark_tree,Albero morto
decor.dark_tree_2,Albero spoglio
decor.dark_tree_3,Ceppo
decor.sub.dark,Intimidazione
options_menu.audio.master_volume,VOLUME PRINCIPALE
options_menu.audio.video_volume,VOLUME VIDEO
decor.sub.dark_2,Ossa
actor.part_of_nature.trader,Commerciante
display_event.forest_bandits_will_attack_soon,Indiscrezioni: i fuorilegge delle foreste pianificano un attacco
menu.trade.vassal_tax_from_player,"Popolazione: {pop} abitanti
 
 <b>Importo della tassa totale giornaliera:</b> <hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_line,"{faction_uuid}: popolazione di {pop} abitanti, tassa <hint=hint_resource_gold>{sum}</hint>"
menu.trade.vassal_tax_to_player_result,<b>Importo della tassa totale giornaliera:</b> <hint=hint_resource_gold>{sum}</hint>
actor.action_task.garant_wakeup,Il personaggio si sveglierà sicuramente grazie al tratto <hint=hint_anxious>Ansia</hint>.
actor.hint.injury.courage_threshold,<hint=hint_moral_level>Soglia del coraggio:</hint> {number}
video.sub1,Sono trascorsi quasi duecento anni
video.sub2,dalla fine della rovinosa guerra di religione.
video.sub3,L'Impero cadde
video.sub4,e le sue province divennero regni barbarici.
video.sub5,La Chiesa riaccese la speranza
video.sub6,e pace e prosperità governarono sulle rovine della civiltà perduta.
video.sub7,"Nel tempo, l'influenza della Chiesa crebbe."
video.sub8,"Ma la storia si ripete, e il potere non può restare nelle stesse mani a lungo."
video.sub9,Guerre tra i regni scoppiano senza tregua.
video.sub10,Fame e povertà costringono la gente ad andarsene
video.sub11,per rifugiarsi negli insediamenti vicini.
video.sub12,Riuscirai a unire i regni
video.sub13,e prevenire l'avvento dei secoli bui?
