Key,Ukrainian
notification.sex,{name_initiator} і {name_target} проводять час у ліжку
notification.sex_treason,{name_initiator} чинить подружню зраду з: {name_target}
notification.tantrum_begin,{name}: нервовий зрив!
notification.determination_begin,Гравець {name} вирішує здійснити бажання!
notification.madness_begin,{name}: впадає в божевілля
notification.tantrum_high_probability,{name}: висока імовірність нервового зриву!
notification.tantrum_probability,{name}: можливий нервовий зрив!
notification.threat,{name_initiator} -> {name_target}: погроза
notification.thugs_burglary,{name}: до будинку вдираються головорізи!
notification.character_is_pregnant,"{name} вагітна, а батько – {father_name}"
notification.character_was_born,Народилася дитина: {name}
notification.kid_grow,{name} досягає повноліття і стає меншим вельможею
notification.new_desire,{name} виявляє в собі сильне бажання
notification.desire_strong,{name}: бажання стає ще сильнішим
notification.desire_complete,{name}: бажання здійснено!
notification.king_greetings,{name} вітає монарха
notification.lord_return,{name} повертається до провінції
notification.start_hate,{name_initiator} -> {name_target}: починає ненавидіти
notification.captive_escape,{name}: намагається втекти з полону!
notification.captive_welcome,{name} присягає на вірність угрупованню {fraction_name}
notification.game_save,Гру збережено
notification.got_knowledge_from_talk,{name} набуває знання ({knowledge}) під час розмови з: {name_2}
punishment.blindness,Сліпота
punishment.execution,Страта
punishment.exile,Вигнати
punishment.mask_of_shame,Маска ганьби
punishment.enslavement,Ув'язнення
resource.battle_axe,Сокири
resource.ale,Смаковитий ель
resource.moonshine,Самогон
resource.beer,Пиво
resource.bow,Луки
resource.coal,Вугілля
resource.crossbow,Арбалети
resource.food,Борошно
resource.heavy_armor,Важкі обладунки
resource.instruments,Інструменти
resource.iron,Залізо
resource.knife,Кинджал
resource.light_armor,Легкі обладунки
resource.medicine,Цілюща мазь
resource.nectar,Нектар
resource.paper,Папір
resource.rune,Священні персні
resource.shield,Щити
resource.sword,Мечі
resource.wood,Деревина
resource.wooden_hammer,Булави
resource.wooden_spear,Списи
resource.hop,Хміль
resource.rye,Жито
resource.steel,Сталь
resource.meat,М'ясо
resource.sweden,Бруква
resource.herb,Трави
resource.producted_store,На виробничих <hint=hint_building_stores>складах</hint> зараз: {count} (сіре число біля значка)
resource.on_fields_now,Дозріває на полях: {count} (сіре число біля значка)
resource.caravan_cost,Священний караван продає цей ресурс за <hint=hint_resource_gold>{cost_buy}</hint> і купує його за <hint=hint_resource_gold>{cost_sell}</hint>.
screen_ui.day,День {day}
statistics.for_5_days,За 5 днів
statistics.for_today,За сьогодні
statistics.for_yesterday,За вчора
time.hours,{hours} год.
time.minutes,{minutes} хв.
work.melter,Плавильник
work.alchemist,Алхімік
work.miller,Мельник
work.pig_farmer,Свинар
work.armorsmith,Кузня обладунків
work.barman,Шинкар
work.drug_dealer,Наркоторговець
work.brewer,Бровар
work.builder,Будівельник
work.caravaneer,Караванник
work.carpenter,Тесляр
work.coal_furnace,Вугляр
work.farmer,Фермер
work.herbalist,Травник
work.inspector,Інспектор
work.jobless,Безробітний
work.miner,Шахтар
work.paper_factory,Папірник
work.patrol,Патрульний
work.priest,Священник
work.salesman,Купець
work.servant,Слуга
work.weaponsmith,Зброяр
work.woodcutter,Лісоруб
work.clerk,Писар
work.gallows_inspector,Інспектор ешафоту
work.chancellery_inspector,Канцлер
work.trainer,Тренер
social_class.dummy,Селянин
actor.loyalty_change_reason.happy,Гарний настрій
actor.loyalty_change_reason.unhappy,Поганий настрій
actor.loyalty_change_reason.satisfied,Звичайний настрій
actor.loyalty_change_reason.gift,Отримує винагороду
actor.loyalty_change_reason.threat,Отримує погрози
actor.loyalty_change_reason.bribe,Отримує хабар
actor.loyalty_change_reason.terror,Терор
actor.loyalty_change_reason.donate,Мусить віддати персні
actor.loyalty_change_reason.bad_relation_to_king,Погані взаємини з монархом
actor.loyalty_change_reason.good_relation_to_king,Хороші взаємини з монархом
actor.loyalty_change_reason.seduced,Спокушено
actor.loyalty_change_reason.seduce_task,Примушення до спокушання
actor.loyalty_change_reason.seduced_me,Мене було спокушено
actor.loyalty_change_reason.bad_day,Поганий день
battle_squad.no_orders,Немає наказів
battle_squad.caption,Загін {commander_name}
battle_squad.bandits_squad,Загін розбійників
battle_squad.average_mood,Середній настрій
battle_squad.average_skill,Посередня навичка
battle_squad.equipment,Спорядження
battle_squad.on_legs,Ще на ногах
knowledge.title,Знання
knowledge.title_second,І їхні власники
knowledge.technology,Технології
knowledge.dogmas,Догми
knowledge.holders,ВЛАСНИКИ ЗНАНЬ
knowledge.usual,Звичайна технологія
knowledge.advanced,Передова технологія
knowledge.ultra,Висока технологія
knowledge.study,Вивчити
knowledge.write,Написати
knowledge.rewrite,Переписати
knowledge.book.good_info,Вивчається в меню знань
knowledge.book.need_level,Для навчання рекомендується мати рівень {level} <hint=hint_skill_knowledge>Кмітливості</hint>.
knowledge.book.dialect,<b>Книга написана мовою {dialect}</b>
knowledge.book.dialect_speakers,Мовою володіють: {speakers}
menu.knowledge.interaction,ВЗАЄМОДІЯ
menu.knowledge.empty_menu,"Немає знання для взаємодії.
Їх можна дістати в купця."
menu.knowledge.actor,ПЕРСОНАЖ
menu.knowledge.no_knowledge,Немає знання
menu.knowledge.level,(рів. {lvl})
tech.building,{building_name}
tech.building_2,{building_name} і {building_name_2}
tech.building_resource,{building_name} і {resource_name}
tech.resource,{resource_name}
tech.upgrade,{building_name}: вдосконалення
tech.efficiency,{building_name}: продуктивність
tech.soil,Продуктивне удобрення полів
tech.wood,Продуктивний лісоповал
tech.survive,Догляд за рослинами
tech.pigfarm,Правильне годування свиней
tech.repair,{building_name}. Економний ремонт
tech.save.res,{building_name}. Економія ресурсів
tech.no.break,{building_name}. Робота без поломок
tech.no.fire,{building_name}. Пожежна безпека
tech.no.trauma,{building_name}. Заходи безпеки
tech.fast.building,Швидке будівництво
tech.fast.build.less.wood,Деревина. Економне будівництво
tech.fast.build.less.iron,Залізо. Економне будівництво
tech.skill,{skill_name}. {tome}
tech.criminal_intimidation,Залякування волоцюг
tech.loyalist_more,Основи вірності
tech.preach_better,Ефективні проповіді
tech.slaves_happiness,Щастя в'язнів
tech.tanya_paper,Папір таная
tech.crevav_swede,Тушкована бруква
tech.drought_fight,Стійкість до посухи
tech.longevity,Довголіття
tech.addiction_resist,Подолання залежності
tech.fanatic_pretend,Лжефанатизм
tech.marah_ale,Ель маха
tech.right_nectar,Правильний нектар
tech.fertilize_cost_less,Правильне удобрення
tech.tree_more_wood,Правильний лісоповал
tech.better_meat,Приготування м'яса
tech.flirt_art,Мистецтво загравання
tech.voruns_moonshine,Самогон варн
tech.dialect,Словник {dialect_name}
tech.cutter,Рубайголова
tech.axe_mastery,Сокирна вправність
tech.handfighter,Рукопашний бій
tech.tanya_shield,Щити таная
tech.bow_mastery,Лучна вправність
tech.mace_stun,Приголомшуюча булава
tech.heavy_armor_wear,Носіння обладунків
tech.polite_trade,Ввічливий торг
tech.sin_mind_reducer,Як не перейматися гріхом
tech.tome,Том {number}
tech.common_good,Загальне благо
tech.joy_of_education,Радість просвітлення
dialect.common,Імперська мова
dialect.tanaya,Таная
dialect.voruns,Варн
dialect.gwelts,Кейден
dialect.makha,Маха
decor.signt_with_equipment,Споряджений знак
decor.bonfire,Вогнище
decor.sign,Знак
decor.sign_with_scull,Знак черепа
decor.stone,Камінь
decor.pile_of_skulls,Купа кісток
decor.bush_1,Кущ 1
decor.bush_2,Кущ 2
decor.bush_3,Кущ 3
decor.floor_remove,Видалити дорогу
decor.sub.statue,Статуї
decor.sub.torch,Освітлення
decor.sub.floor,Підлоги
decor.sub.other,Інше
decor.sub.trees,Рослини
decor.banner,Стяг
decor.statue,Статуя
decor.floor_1,Світлий камінь
decor.floor_2,Темний камінь
decor.floor_3,Світла деревина
decor.floor_4,Темна деревина
decor.stone_arch,Кам'яна арка
decor.torch,Смолоскип
decor.plant,Рослина
decor.bag,Мішок
decor.box,Ящик
decor.barrel,Бочка
restrictions.activity.beer,Споживання алкоголю
restrictions.activity.nectar,Споживання нектару
restrictions.activity.dice,Гра в кості
restrictions.activity.weapon,Володіння зброєю
restrictions.activity.armor,Носіння обладунків
restrictions.eat.meat,Споживання м'яса
actor.hint.slave.age,Вік: {age} р.
actor.hint.slave.past,Минуле:
actor.culture,Культура: {culture}
actor.hint.slave.combat_skill,Навичка ведення бою: {skill}
actor.hint.slave.traums,Рани:
actor.hint.slave.will_to_be_free,Прагнення свободи
building.chancellery.need_charge,Для роботи канцелярії потрібен папір
building.chancellery.charging,Робітники переносять папір
building.chancellery.charged,"Канцелярія працює.
Паперу вистачить на {day} д."
building.chacnellery.charge_abort,Скасувати поповнення папером
building.chacnellery.charge,Поповнити папером
inspection.hint.today,Проінспектовано сьогодні
inspection.hint.yesterday,Проінспектовано вчора
inspection.hint.not,Не проінспектовано
inspection.closest_time,Інспекції почнуть закінчуватися за {day} д. {hour} год.
inspection.time,{day} д. {hour} год.
inspection.remain_hours,{hour} год.
actor.loyalty.log,Зміна вірності
menu.peoples.advice,Підказки:
menu.sodliers.lack_of_equipment,Нестача спорядження:
menu.migration.terror,<hint=hint_migration>Міграція</hint> <red>зупинилася</red> через <red>засилля</red> <hint=hint_terror_peasants>терору</hint> в місті.
menu.migration.one_village_burned,"<hint=hint_migration>Міграція</hint> <red>зменшилася</red>, оскільки село в провінції було спалено. Село відновиться за кілька днів."
menu.migration.all_village_burned,"<hint=hint_migration>Міграція</hint> <red>припинилася</red>, оскільки всі села в провінції було спалено. Села відновляться за кілька днів."
menu.migration,$ Сьогодні очікується <hint=hint_migration>мігрантів</hint>: {peasant_migrants_today}
menu.migration.increased,<green>Міграція збільшилася</green>. Ефект триватиме ще {days} д.
menu.migration.decreased,<red>Міграція зменшилася</red>. Ефект триватиме ще {days} д.
actor.hint.no_sins,Немає гріхів
social_strata.dummy,Селяни
social_strata.slaves,В'язні
social_strata.soldiers,Воїни
social_strata.lords,Вельможі
social_strata.animal,Тварина
building.social_availability,ДОСТУПНО ДЛЯ
building.market_good_not_sell,НЕ ПРОДАВАТИ
menu.trade.slave_final_cost,Фінальна ціна
menu.trade.slave_base_cost,Стартова ціна
menu.trade.slave_fertility_cost,Родючість
menu.trade.slave_free_mind_cost,Doesn't miss loved ones
menu.trade.slave_combat_cost,Навички ведення бою
menu.trade.slave_age_cost,Вік
menu.trade.slave_disability_cost,Втрата боєздатності
menu.trade.slave_slowdown_cost,Сповільнено
menu.trade.slave_faction_cost,Множник
actor.matching.agree_to_sex,{lord_name} погоджується піти на побачення з вельможею
actor.part_of_nature.heir,Спадкоємець
actor.part_of_nature.commander,Командир
actor.part_of_nature.queen,Подружжя правителя
actor.name.hired_bandits,Найнятий головоріз
actor.personality_trait_locked,"Не відкрито. Покращте навичку {skill_name} до рівня 15, щоб відкрити цю рису."
king_role.strong_supporter,Підтримує владу
king_role.trader,Матеріаліст
king_role.religious,Релігійний
king_role.order_supporter,Захисник порядку
king_role.suggestable,Вразливість
king_role.liberator,Визволитель
king_role.lick,Егалітарист
king_role.intriguant,Інтриган
king_role.scientist,Мудрець
menu.missing_equipment.no_problems,Немає проблем
actor.deep_social.evil_joke,Знущання
actor.deep_social.good_joke,Жарт
actor.deep_social.deep_talk,Відверта розмова
actor.deep_social.abuse,Образа
actor.deep_social.slight,Ігнорування
actor.deep_social.intrigue,Інтрига
actor.deep_social.flattery,Лестощі
actor.deep_social.sorry,Вибачення
actor.deep_social.rumors,Чутки
actor.inspection_queue,Черга інспекції
knowledge.blocked_reason.population_required,{number_of_peoples}/{required_peoples} жителів у місті
knowledge.blocked_reason.knowledge_required,{knowledge_name} відкрито
knowledge.blocked_reason.building_required,Будівля «{building_name}» споруджена
knowledge.blocked_reason.play_days,Поселення існує {days} д.
knowledge.blocked_reason.no,Умови виконано.
ceremony.wedding,Весілля
ceremony.funeral,Похорони
ceremony.coronation,Коронація
menu.choose_province.climate,Клімат:
menu.choose_province.safety,Безпека:
menu.choose_province.forest,Ліс:
menu.choose_province.villages,Села:
menu.choose_province.resources,Ресурси:
menu.choose_province.moderate,Достатньо
menu.choose_province.many,Багато
menu.choose_province.high,Чимало
menu.playtest.welcome_caption,Вітаємо!
menu.demo.welcome,"Вітаємо!

Це демоверсія повної гри з обмеженням ігрових днів до {demo_days_count}.

Багато чого ще перебуває в процесі розробки, тож заздалегідь перепрошуємо за можливі помилки чи проблеми, які можуть виникнути.

<right>Дякуємо,
команда Long Jaunt</right>"
menu.demo.alpha,"<b>Ранній доступ</b>

Численні аспекти гри, як-от:

$ Деякі мови
$ Можливі помилки
$ Оптимізація
$ тощо

ще у роботі й будуть удосконалюватися."
menu.playtest.welcome,"Дякуємо, що прийняли наше запрошення на тестування Norland.

У грі все ще іноді виникають збої, у ній є помилки й застарілий інтерфейс, але функціонально це та версія, яку ми хочемо випустити в ранньому доступі.

Будь ласка, приділіть кілька хвилин написанню <b>відгуку</b> після закінчення гри (відповідна кнопка є в головному меню).

Версія доступна протягом {demo_days_count} ігрових днів.

<right>Дякуємо,
команда Long Jaunt</right>"
menu.demo.under_logo,Демо
menu.playtest.under_logo,Бета-тестування
menu.story,"Норланд, рік 2898-й від створення світу.

Двісті років минуло відколи велика <b>Багряна імперія</b> загинула в полум'ї релігійної війни. Її колишні провінції стали варварськими королівствами, яких від взаємознищення стримує тільки всемогутня <b>Церква Матері Софії</b>.

Поки пророки говорять про неминучий кінець світу, в одному маленькому королівстві зароджується мрія про нову імперію…"
menu.new_game_story,"Після довгої й виснажливої подорожі, {soul_uuid_king} прибув додому, очікуючи, що дружина зустріне його на вході до замку. Однак, замість неї до монарха підійшов його брат. Його обличчя не віщувало нічого доброго.

«Монарху, у мене невтішні новини».
«Що сталося, {soul_uuid_brother}? Не зволікай, кажи відверто».
Не в змозі дивитися монарху в очі, {soul_uuid_brother} ледве говорив, затинаючись:
«Минулої ночі на нас напали розбійники. Ми намагалися боронитися, але їх було надто багато. Вони викрали твою дружину й тепер вимагають викуп».
«Тоді відправ посланця, нехай принесе їм усе, що скажуть!»
«Але ж, монарху, ми оточені ворогами. Хоч наразі ми ще під захистом сюзерена, ти знаєш, що старий монарх вже доживає віку. Якщо в нас не буде достатньо золота й ресурсів, ми не протримаємося. Потрібне військо».
«А як же моя дружина, {soul_uuid_wife}? Ти пропонуєш її покинути?»
«Поки в них є надія отримати викуп, вони її не скривдять».
«Мені потрібен час, щоб усе обміркувати. Йди й очікуй моїх наказів»."
menu.new_game_story_header,Початок історії
menu.demo.finish.header,Кінець історії
menu.demo.finish,"На цьому закінчується демо-версія Norland…

Ви можете спробувати пограти зі складнішими початковими настройками або з іншими навичками вельмож.

Дякуємо за гру!"
menu.demo.finish.back_to_menu,Назад до меню
menu.settings.change_resolution.apply.header,Зміна настройок
menu.settings.change_resolution.apply.body,"Змінено роздільну здатність екрана.
Для застосування змін натисніть «{accept_button_caption}», інакше ваші зміни буде скасовано за {time_remain_seconds} с."
menu.hack_detected.header,Виявлено сторонні модифікації збережень
menu.hack_detected,"Ми не можемо гарантувати належну роботу гри після стороннього втручання у файли збережень.

Нам надходять звіти про помилки, але ми не можемо точно визначити, чи помилка виникла через несправність у грі, чи через сторонні втручання у файли.

Через це ми змушені витрачати час на пошуки несправностей, яких не існує, замість того, щоб виправляти наявні помилки, що негативно позначається на якості гри.

У зв'язку з цим нам доводиться забороняти модифікацію файлів збережень до релізу гри."
resource.not_available.by_synod,"Покращте <hint=hint_relations_matriarch>взаємини з Матріархом</hint> до {number}, тоді Священний караван продаватиме вам цей товар."
text.preposition,або
menu.ambition.screen_title,Амбіції монарха
menu.ambition.text,"Монарх вирішує, що пора оголосити амбіції, які визначать майбутнє вашої шляхетної сім'ї."
ambition.conquer,Завоювання
ambition.allias,Укладення союзів
ambition.populate_city,Утворення міста
ambition.gain_population,Збільшення населення
ambition.produce_goods,Виробництво ресурсів
menu.ambition.complete_title,Амбіції втілено!
menu.ambition.complete,"Монарх з вашої сім'ї втілив свої амбіції і тепер відомий, як {soul_uuid_1} <b>{name}!</b> 

Однак, монарші амбіції не знають меж, тож скоро в його голові з'являться нові…"
ambtion.button.ok,Прийняти
ambition.checkbox.conquer,<b>Завойовник.</b> Влада веде до процвітання династії. Додайте <b>васалів або союзників ({vas_num})</b> до своєї держави.
ambition.checkbox.allias,<b>Об'єднувач.</b> Тільки підтримуючи одне одного ми стаємо сильні. Розширте свій союз вільних міст до <b>{all_num} провінцій</b>.
ambition.checkbox.populate_city,Про утворення міст.
ambition.checkbox.gain_population,"<b>Благодатний.</b> Що більше населення, то більше сили. Збільште населення провінції на <b>{pop_num}</b>."
ambition.checkbox.produce_goods,<b>Економічний.</b> Економіка вирішує все. Досягніть <b>щоденного виробництва</b> товарів вартістю <b><hint=hint_resource_gold>{prod_num}</hint></b>. (Зараз: <hint=hint_resource_gold>{now}</hint>)
menu.battle.auto_battle,Автобій
menu.battle.retreat,"Якщо ваше військо відступить від бою, це буде вважатися поразкою і сильно вдарить по настрою воїнів, але вони врятують свої життя."
menu.battle.manually_battle,Битва на мапі
ambition.title.conquer,Гострий меч
ambition.title.allias,Залізний кулак
ambition.title.gain_population,Велике гніздо
ambition.title.produce_goods,Амбарна книга
ambition.resume,Продовжити попередню амбіцію
menu.resource_statistics.legend.title,Значення статистики
menu.resource_statistics.legend.in_store,Яка була кількість ресурсів на складі міста
menu.resource_statistics.legend.production,Скільки ресурсів було вироблено за один робочий день
menu.resource_statistics.legend.used,"Скільки ресурсів було витрачено на виробництво інших ресурсів і будівництво споруд, а стосовно їжі й алкоголю – скільки було спожито вельможами та рабами"
menu.resource_statistics.legend.in_use,Скільки ресурсів залишається на складах виробничих споруд і в інвентарі воїнів
menu.resource_statistics.legend.in_local_market,"Скільки було за сьогодні продано на ринках, в корчмах і наркопритонах"
menu.resource_statistics.legend.caravan,Результати торгівлі зі Священним караваном
menu.resource_statistics.header.in_store,У крамниці
menu.resource_statistics.header.production,Виробництво
menu.resource_statistics.header.used,Використано
menu.resource_statistics.header.in_use,На складах будівель і воїнах
menu.resource_statistics.header.in_local_market,Місцевий ринок
menu.resource_statistics.header.caravan,Торгівля зі Священним караваном
menu.resource_statistics.no_data,Статистика буде доступна завтра
study.complex,Загальний вишкіл
soul.tab.logs,ІСТОРІЯ
tech.war_logistic,"Військова логістика, том {vol}"
tech.prisoners,Полонені
building.menu.lvl,Рів. {lvl}
building.menu.resources,СКЛАД БУДІВЛІ
building.menu.workers_road_time,ЧАС У ДОРОЗІ
building.menu.to_workplace,На роботу:
building.menu.to_warehouse,На склад:
building.menu.priority,Пріоритет
building.menu.produced,ВИРОБЛЕНО
building.menu.workers_bonus,Бонус робітників:
building.menu.manager_bonus,Бонус керівника:
building.menu.workers,ПРАЦІВНИКИ
building.menu.instructions,ВКАЗІВКИ
building.menu.set_inspector,Призначити керівника
"building.menu,inspection_bonus",Бонус:
building.menu.builld_first,Спершу будувати це
building.menu.upgrade,Вдосконалити
building.menu.ship_now,"Відправити вироблені
товари зараз"
options_menu.audio.voice_volume,ГУЧНІСТЬ ГОЛОСУ
building.prefer.noone,Без пріоритету
building.prefer.nectar,Нектарозалежні
building.prefer.slaves,В'язні
building.prefer.loyalist,Прибічники
building.prefer.culture,{culture}
building.prefer.all,Автоматично
display_event.communication_lost,{faction_name}: з'язок втрачено
building.menu.terror_all,Всі {count}
building.menu.terror_no,Ні
building.menu.terror_culture,{culture} {count}
building.menu.execution,СТРАТА
building.menu.terror,Терор
building.menu.daily_statistic,СТАТИСТИКА ЗА ДЕНЬ
building.menu.intimidations,Залякування
building.menu.path_calculation,Розрахування
building.menu.path_cant_find,Не вдається знайти
time.hour_minut,{hour} год. {minut} хв.
time.minut,{minut} хв.
actor.social_strata.dummy,Простолюдин
notification.sex_treason_with_dummy,{name_initiator} зраджує подружжю з кимось із простолюддя.
building.menu.building_resources,РЕСУРСИ БУДІВЕЛЬ
chancellery.inspection_bonus,"Виробничий бонус від інспекцій відповідає рівню навички «Керування» у вельможі, що керує канцелярією: {bonus}%."
menu.army.new_army.warriors_count,Воїнів: {warriors_count}
menu.army.new_army.weapons_count,Зброї: {weapons_count}
tech.poisoner,Таємниці отрути
menu.building.church.morning_service_stat,СТАТИСТИКА ОСТАННЬОЇ ПРОПОВІДІ
menu.building.church.gathering_time,Час зборів:
menu.building.church.congregation,Паства:
menu.building.church.sermons,ПРОПОВІДІ
menu.buidling.church.fanatics,Фанатики: +{count}
menu.buidling.church.agnostics,Агностики: +{count}
building.menu.workplace.clerks,ПИСАРІ
building.menu.refill_auto,Поповнювати автоматично
building.menu.inspections_delivered,Вказівок надано: {count}
building.menu.living.residents,ЖИТЕЛІ ({current} / {max})
building.menu.sold_today,ПРОДАНО СЬОГОДНІ
building.menu.guards,ВАРТОВІ
family.son_of,Син:
family.daughter_of,Донька:
display_event.mountains_bandits_prepare_to_attack,Мародери збираються напасти на ваше місто
actor.mood,Настрій
building.description.library,Тут вельможі працюють зі знаннями
building.description.decor,Радує око
building.description.altar,Місце для церемоній і спалювань
building.menu.crimes_prevented,Злочини не допущено
norland.plot_day_4_header,Нова імперія
norland.plot_day_4_body,"Цивілізація зникає поступово. Цей процес може тривати століттями, і пересічні люди нічого не помічають до самого кінця. Однак правитель, який знає історію, має розуміти, що тільки шляхом об'єднання ворожих королівств можна запобігти настанню темної ери.

Норланд на роздоріжжі. Церква вже давно не в змозі впоратися з різноманітними викликами. Часті війни, голод і хвороби стали звичайним явищем. Технології й знання ще не втрачено, але якщо нічого не зробити, вони скоро зникнуть, а з ними зникне і цивілізація.

Надія є завжди, але для цього:

$ Об'єднайте <b>{goal_number}</b> норландських провінцій під своєю владою – як монарх васальних держав або як лідер союзу вільних міст.
$ Оголосіть себе новим Імператором і киньте виклик церковній Інквізиції."
norland.plot.end_game_header,Нова імперія: Остання битва
norland.plot.end_game,"«Карта Норланду переді мною. На ній – {goal_number} монархів, які підкоряються мені й поважають мене. Настав час взяти корону імперії й кинути виклик Церкві Матері Софії. Коли Інквізиція зламає зуби об моє військо, цілий світ визнає мене імператором, а Камінь Віри впаде мені до ніг. Тож, останнє випробування чекає».

$ Коли будете готові, проголосіть себе імператором нової імперії (дія монарха).
$ Здолайте Святу Інквізицію на полі бою, щоб забезпечити собі право на цей титул і виграти гру."
ambitions.province_under_control,"<b>Нова імперія</b>

Об'єднайте <b>{goal_number}</b> норландських провінцій під своєю владою – як монарх васальних держав або як лідер союзу вільних міст.

Підвладні провінції: {under_control} / {total_province}"
display_event.global_map_ai_ask_help,Монарх {king_name} із угруповання {faction_name} просить про допомогу проти угруповання {danger_faction_name}
display_event.global_map_ai_declare_peace,Монарх {king_name} із угруповання {faction_name} пропонує мирну угоду
display_event.global_map_ai_invite_to_alliance,Монарх {king_name} із угруповання {faction_name} пропонує вступити в союз
main_menu.continue_without_tutorial,Почати без навчання
display_event.build_library,Збудуйте бібліотеку
main_menu.warning,Увага!
display_event.retrieve_bishop,Єпископ відбуває з провінції
display_event.holy_family_below_zero,Ви втратили прихильність Матріарха!
resource.product_requirement.technology,Вивчіть технологію <b>«{technology}»</b>
resource.product_requirement.building,Збудуйте споруду <b>{building}</b>
main_menu.continue_start_tutorial,Почати з навчанням
main_menu.new_game.family.members.default,Два брати й дружина
actor.faction_from,з міста {town}
new_game.province_difficulty.easy,Просто
new_game.province_difficulty.normal,Звичайно
new_game.province_difficulty.hard,Важко
new_game.province_difficulty.recommended,Рекомендовано для початківців
display_event.loan_will_be_expired_soon,Скоро потрібно віддавати борг угрупованню {faction_name}
main_menu.new_game.family.recommended_for_newbs,Рекомендовано для збалансованої гри
new_game.province_difficulty.header,Складність:
secret_deals_effect,<b>{secret_deals_knowledge}</b>: <green>Сусідські взаємини не зіпсуються</green>.
building.menu.terror_fanatics,Фанатики: {count}
global_map.relation_aftermath,$ Взаємини із сусідами: <red>{rel_de}</red>
global_map.relation_aftermath_with_soul,$ Взаємини з {soul_uuid_king}: <red>{rel_de}</red>
global_map.aftermath,<b>Наслідки</b>:
tech.kaiden_army,Військо кейден
tech.makha_trade,Торгівля маха
tech.makha_fanatic_terror,Терор фанатиків
tech.econom_writing,Економічно ефективне письмо
tech.faith_defender,Захист віри
tech.kaiden_training,Вишкіл кейден
tech.kaiden_loyalist,Вічні прибічники
tech.makha_secret_deals,Таємні угоди
display_event.holy_protection_will_removed_soon,«Захист Люблячої сім'ї» скоро буде скасовано!
display_event.holy_protection_was_removed,«Захист Люблячої сім'ї» скасовано!
display_event.holy_protection,Захист Люблячої сім'ї
display_event.swede_typh_allowed,Бруквяна лихоманка
tutorial_events.disabled,Вимкнено
tutorial_events.articles_only,Тільки статті
tutorial_events.articles_and_advices,Статті й поради
soul.from_faction,{soul_uuid} з {faction_uuid}
gui.living_place.appoint.header,Заселити
actor.loyalty_2,Вірність
actor.important_persons,ВАЖЛИВІ ОСОБИ
encyclopedia.popup_window.okay,Ясно
encyclopedia.popup_window.read_full,Далі
actor.opinion.interest_simple,Зацікавленість
free_lord.first_hire,{first_hire_discount}% знижка на перше наймання
menu.knowledge.longer_time,"Через низький рівень навички вивчення потрібно більше часу!

Рівень знань: {tech_level}
Рівень вельможі: {lord_level}"
menu.knowledge.write_time,Написання книги займе <b>{learn_time} год.</b>
menu.knowledge.learn_time,$ Вивчення цієї книги займе <b>{learn_time} год.</b>
building.patrol_sign_day,Денний патруль
tech.slaves_contain,Утримування в'язнів
time.days,{days} дн.
actor.action_task.spent_time_diplomacy,Візит посла
display_event.culture_approve,{culture} схвалює дії монарха
menu.trade.less_tax_for_amy,*Завдяки знанню «Захист віри» податок зменшено на {discount}.
menu.army.tax_for_soldier,"<b>Після наймання цього воїна</b>
$ На основі його навички ведення бою <hint=hint_tutorial_church_tax>церковний податок з війська</hint> збільшиться на <hint=hint_resource_gold>{soldier_tax}</hint>. Тепер податок <hint=hint_resource_gold>{overal_tax}</hint> на день."
options_menu.game.camera_speed,ШВИДКІСТЬ КАМЕРИ
actor.action_task.wise_talk,Мудра розмова
display_event.senility_begin,{name}: впадає в старечу деменцію!
display_event.character_loss_skill_trait,{name}: внаслідок деградації навички «{skill_name}» втрачено талант «{trait_name}».
display_event.character_loss_knowledge,{name}: забуває знання «{knowledge}» внаслідок старіння.
knowledge.unavailable_knowledge,Недоступне знання
building.menu.mine_resources,ЗАПАСИ
building.menu.mine_mined,Заліза видобуто: {mined} / {limit}
display_event.mine.limit_reached,Запаси шахти вичерпано
display_event.mine.limit_soon,Ресурси шахти вичерпуються
display_event.fetility_loss_from_tree,Родючість землі знизилася
statistics_menu.province.resources,Ресурси провінцій
statistics_menu.province.trees_cuted,Лісів повалено:
statistics_menu.province.ground_fertility,Родючість ґрунту:
statistics_menu.province.iron_mines,Поклади заліза
statistics_menu.province.no_mine,Шахту не збудовано:
trade_agreements.header,Торгові угоди
trade_agreements.today_balance,Торгівля за сьогодні:
trade_agreements.auto_trade,Торгувати автоматично
trade_agreements.no_trade_agreements,У вас немає чинних торгових угод
statistics_menu.province.mine_n,Шахта {n}:
statistics_menu.province.not_builded,Не збудовано
knowledge.category.economic,Економічний
knowledge.category.textbooks,Підручники
knowledge.category.cultural_knowledge,Культурне знання
display_event.character_loss_skill,{name}: навичка «{skill_name}» деградувала до рівня {level} внаслідок старіння.
menu.tools.hint.trade_agreements,Торгівля
display_event.trade_agreements_result,Звіт зовнішньої торгівлі
menu.trade.market_saturation.header,Насичення ринку
menu.trade.market_saturation.saturation,<hint=hint_trade_dynamic_prices>Насичення ринку</hint> товаром:
menu.trade.market_saturation.price,Вплив насичення ринку на ціну:
menu.trade.market_saturation.relaxaction,Щоденне споживання:
menu.trade.market_saturation.warning,"<red>Пропозиція перевищила <hint=hint_market_volume>місцевий попит</hint>, що призвело до насичення ринку і зниження ціни!</red>"
display_event.new_prophecy,Матріарх: нове пророцтво
display_event.prophecy_started,Пророцтво збулося! {prophecy}
