Key,SimplifiedChinese
hint_persons_priest,"牧师
<hint=hint_sofia_cult>神爱之家</hint>最低阶的神职人员，在圣堂中工作。

主持<hint=hint_wedding>婚礼</hint>和<hint=hint_funeral>葬礼</hint>。会探望<hint=hint_sick>病患</hint>，参加分娩仪式。

从<hint=hint_persons_peasant>平民</hint>中雇佣。"
hint_persons_mitraya,"密特拉教徒
<hint=hint_sofia_cult>圣母索菲亚教会</hint>的忠实仆人，主要居住在信仰石堡。

他们可以成为神职人员、<hint=hint_holy_caravan>商队成员</hint>和<hint=hint_inquisitors>审判官</hint>。

密特拉教徒通常是尚未加入任何<hint=hint_noble_house>贵族世家</hint>的领主。"
hint_persons_children_sofia,"索菲亚之子
圣母索菲亚教会的最高决策者。他们从不离开<hint=hint_faith_stone>信仰石堡</hint>。

<hint=hint_synode>圣议会</hint>由五个索菲亚之子组成。"
hint_persons_forest_bandits,"森林强盗
当不满的<hint=hint_persons_peasant>平民</hint>离开城市，他们也许会直接去另一个王国，也可能前往附近的当地森林强盗营地加入他们。

<img=hint_persons_forest_bandits></img>

达到一定规模的强盗营地会出现在地图上。

$森林强盗会洗劫你的村庄以及邻近村庄。
$等到他们日渐壮大，达到一定数量后，就有可能袭击并劫掠你的主要聚落。
$你将有机会与营地进行有利互动，但你的邻居们不会喜欢这种行为。"
hint_person_invalids,"失能
失能的角色由于生病或受伤而无法移动或工作。"
hint_persons_bastard,"私生子
这些领主角色生而为领主，但不属于正式婚生子（例如由宾客或下层阶级角色所生）。

$其他角色会对他们表现出明显的轻蔑。
$不过，私生子还是可以结婚的，他们的孩子不会再被视为私生子。"
hint_skills,"技能
角色的主要技能会影响角色的行动效率。把光标悬停在某个技能上可以查看其描述。

$技能可以通过<hint=hint_learning>学习</hint>和执行相关行动来提高。
$角色可能会拥有某项技能的<hint=hint_talant>天赋</hint>，可以增加获得的经验值。
$如果一项具有天赋的技能达到 15 级，该角色将获得一个特殊的天赋特质。
$最高技能等级为 20 级。
$儿童可以通过观察成人来发展技能，技能可能会在老年时退化。
$<hint=hint_resource_nectar>蜜酿</hint>或<hint=hint_tutorial_inspiration>灵感</hint>之类的变数可以暂时显著提高所有技能。"
hint_skill_combat,"战斗
两名作战人员之间的战斗技能差异决定闪避对手攻击的几率以及射箭的准度。

训练或实战中受到攻击都能提升战斗技能。"
hint_skill_command,"指挥
指挥技能决定了领主部队的战士能获得多少士气加成，会影响战士的<hint=hint_bld_training_ground>训练</hint>效果，还可以提升特定<hint=hint_action_shadow>邪恶勾当</hint>的成功率。"
hint_skill_speech,"游说
游说技能决定了一些行动对其他角色的影响效果，其中包括<hint=hint_action_shadow>邪恶勾当</hint>、贿赂以及其他密谋。

游说技能还会影响到<hint=hint_sermon>布道</hint>的效果。"
hint_skill_manners,"礼仪
角色的礼仪会影响其他领主对该角色的<hint=hint_interest>兴趣</hint>，以及来自<hint=hint_conversation>深入交流</hint>的顿悟效果。

然而，若你与另一领主之间的礼仪有显著差异，对方可能会拒绝你。"
hint_skill_negotiations,"贸易
贸易技能决定了商品交易的效果，包含与<hint=hint_holy_caravan>圣商队</hint>和邻邦的交易。"
hint_skill_management,"管理
向生产型建筑<hint=hint_inspection>发出指令</hint>时，管理技能会影响所获的额外生产产量。"
hint_skill_knowledge,"智力
智力将影响：
$学习<hint=hint_idea>知识</hint>的速度、撰写<hint=hint_book>书籍</hint>的速度
$对抗诱惑的自制力
$获得<hint=hint_insight>顿悟</hint>的可能性
$某些<hint=hint_action_shadow>邪恶勾当</hint>
$的成功率
$在骰子游戏中获胜几率。"
hint_skill_teaching,"教导
教导技能影响<hint=hint_learning>教导</hint>过程中可以成功传授多少经验，也影响<hint=hint_action_wise_talk>智慧谈话</hint>的有效性。"
hint_skill_category_rhetoric,"修辞学
领主发展其<hint=hint_skill_manners>礼仪</hint>和<hint=hint_skill_speech>游说</hint>技能。"
hint_skill_category_economic,"经济学
领主发展其<hint=hint_skill_negotiations>贸易</hint>和<hint=hint_skill_management>管理</hint>技能。"
hint_skill_category_philosophy,"哲学
领主发展其<hint=hint_skill_knowledge>智力</hint>和<hint=hint_skill_teaching>教导</hint>技能。"
hint_skill_category_warcraft,"军事学
领主发展其<hint=hint_skill_command>指挥</hint>和<hint=hint_skill_combat>战斗</hint>技能。"
hint_skill_disabled,"技能不可用
技能等级等同为零。
原因：{causes_stack}"
hint_talant,"天赋
角色对某项特定<hint=hint_skills>技能</hint>的特殊倾向。

$在技能表中以一颗黄星标记。
$一个角色可以拥有 0/1/2 个天赋。
$天赋继承自父母。
$领主训练其天赋技能时，获得的经验会提升 {talent_x}。
$将此技能提升到 15 级时，角色可以获得一个强大的天赋特质。"
hint_needs,"需求
每个角色都有需求。一般来说，角色的满意度会随时间推移而降低。

需求通过特定的行动来实现，而这些行动大多由角色自己完成。

若角色需求得不到满足，则会出现消极<hint=hint_thought>想法</hint>，还会使<hint=hint_mood>心情</hint>变差。"
hint_need_piety,"虔诚需求
角色渴望得到神明的眷顾。<hint=hint_pray>祈祷</hint>可以满足虔诚需求。

$角色可在家中祈祷，以此来满足其虔诚需求，也可以造访<hint=hint_bld_temple>圣堂</hint>或<hint=hint_bld_altar>祭坛</hint>，提升祈祷的效果。
$在祭坛处进行祈祷的效果，一开始或许还算得上差强人意，但事实上，这并不能真正满足人们的虔诚需求。因此，在你的圣堂落成之前，需求值将会缓慢下降。"
hint_need_sex,"性需求
角色渴望生育并传宗接代。

可在<hint=hint_date>约会</hint>期间得到满足。

$已婚领主每隔几天便可使该需求得到一次满足。
$在婚姻之外，角色也可以用金钱买通平民来满足其性需求，但这样做将被视为<hint=hint_sin>罪孽</hint>，会使角色心中产生负罪感。
$选定一个异性平民并下令领主用金钱将其买通，即可立即满足其性需求。"
hint_need_food,"食物需求
每个人都有食物需求。缺乏食物会使人陷入饥饿，甚至可能致人丧命。

$食用一单位<hint=hint_food>食物</hint>即可满足该需求。
$平民和战士可在<hint=hint_bld_market>市场</hint>购买食物，而领主和囚犯的食物则会由专人从仓库送达。
$角色只会在早间和晚间尝试进食，因此白天感觉有些饿也是正常的。"
hint_need_fun,"休息需求
各类工作带来的精神疲劳会引发休息需求。

$角色不工作时，休息需求逐渐得到满足。
$饮用<hint=hint_alcohol>酒</hint>或<hint=hint_resource_nectar>蜜酿</hint>可以快速缓解休息需求。
$平民和战士可在<hint=hint_bld_tavern>酒馆</hint>中买酒，而领主和囚犯的酒则会由专人从仓库送达。
$角色只会在晚间自行饮用酒或蜜酿，因此白天感觉有些疲乏也是正常的。"
hint_need_sleep,"睡眠需求
若角色太久没睡觉，他们会直接瘫倒在地上睡着，不论场合是否适宜。

每晚 11 点之后，角色会自行入睡。"
hint_need_care,"关爱需求
儿童特有的需求。

通过与父母互动来满足，互动包括交流、教育。"
hint_ico_peasant,"平民
$城中平民总计：{peasant_total}
$平均<hint=hint_mood>心情：</hint>{peasant_middle_happyness}
$平均<hint=hint_wealth>财富：</hint><hint=hint_resource_gold>{peasant_middle_rich}</hint>

$健康的无业者：{peasant_nowork}
$需要空缺职位的工人：{need_workers}
$无家可归者：{peasant_homeless}
$过去 24 小时内离开省邦：{left_city}

社会构成：
$<hint=hint_persons_fanatic>狂热信徒：</hint>{peasant_fanatics}({peasant_fanatics_percent}%)
$<hint=hint_addict>蜜酿成瘾者：</hint>{nectaraddicted}
$<hint=hint_loyalist>忠诚派：</hint>{loyalist}

文化构成：
$凯登：{gwelts}
$塔纳亚：{tanya}
$马哈：{makha}
$瓦恩：{voruns}

{details_stack}"
hint_ico_criminal,"犯罪
$城中<hint=hint_persons_criminal>流民</hint>总计：{bandits_total}
$<hint=hint_persons_cuthroat>刺客：</hint>{bandits_thugs_total}

过去 24 小时：
$发生犯罪：{bandits_crimes_yesterday}
$嫌犯<hint=hint_criminal_intimidated>吓破胆：</hint>{intimidated}

文化构成：
$凯登：{gwelts}
$塔纳亚：{tanya}
$马哈：{makha}
$瓦恩：{voruns}

{details_stack}"
hint_ico_soldier,"战士
$城中战士总计：{army_total}
$平均<hint=hint_sodiers_happiness>心情</hint>：{army_middle_happyness}

$<hint=hint_equip_cost>装备</hint>总价值：<hint=hint_resource_gold>{army_inv_cost}</hint>
$平均<hint=hint_skill_combat>战斗技能</hint>：{army_middle_fight_skill}
$过去 24 小时已弃逃：{soldier_gone}

社会构成：
$<hint=hint_persons_fanatic>狂热信徒：</hint>：{army_fanatics}
$<hint=hint_addict>蜜酿成瘾者：</hint>{nectaraddicted}
$<hint=hint_loyalist>忠诚派：</hint>{loyalist}

文化构成：
$凯登：{gwelts}
$塔纳亚：{tanya}
$马哈：{makha}
$瓦恩：{voruns}

{details_stack}"
hint_ico_slaves,"囚犯
$城中囚犯总计：{slaves_total}
$平均<hint=hint_slave_happines>心情</hint>：{slaves_middle_happiness}

$受雇：{slaves_workers}
$健康的无业者：{slaves_nowork}
$ <hint=hint_person_invalids>失能：</hint>{slaves_invalids}

社会构成：
$<hint=hint_persons_fanatic>狂热信徒：</hint>{slave_fanatics}
$<hint=hint_addict>蜜酿成瘾者：</hint>{nectaraddicted}

文化构成：
$凯登：{gwelts}
$塔纳亚：{tanya}
$马哈：{makha}
$瓦恩：{voruns}

{details_stack}"
hint_nt_matriarch_opinion,"女教皇关系
{optional_bishop_not_arrived}
影响<hint=hint_relations_matriarch>女教皇与你君王之间关系</hint>的因素：
{opinions_list}"
hint_gm_city_money,"金币
城中<hint=hint_resource_gold>金币</hint>数量。

$如果你洗劫城市，这将是你能够搜刮到的金币数量。
$君王用这种货币购买军队。
$金币增长量直接取决于城中居住的<hint=hint_persons_peasant>平民</hint>和<hint=hint_persons_slave>囚犯</hint>数量，也会受到成年<hint=hint_persons_lords>领主</hint>数量的影响。

<b>提示：你可以通过</b><hint=hint_action_task_bribe>贿赂</hint>和<hint=hint_action_task_seduce>诱惑</hint>城市领主，或进行<hint=hint_action_shadow>邪恶勾当</hint>来削弱该城的经济和军队实力。"
hint_gm_city_peasants,"平民
城中居住的<hint=hint_persons_peasant>平民</hint>数量。

$他们对<hint=hint_resource_gold>金币</hint>的日增长做出了贡献。
$平民数量增长取决于居住在城里的成年<hint=hint_persons_lords>领主</hint>数量。
$邻邦村庄被烧毁会减缓或阻碍平民数量增长。
$若出现暴动或叛乱，平民的数量可能会减少。"
hint_gm_city_slaves,"囚犯的数量
居住在城里的<hint=hint_persons_slave>囚犯</hint>数量。

$他们对<hint=hint_resource_gold>金币</hint>的日增长做出了贡献。
$他们是在军事行动中被抓捕的俘虏。
$若囚犯的数量太多，他们可能会发起叛乱。"
hint_gm_city_cutthroats,"刺客的数量
城中居住的<hint=hint_persons_cuthroat>刺客</hint>数量。

$你可以派他们在城里执行<hint=hint_action_shadow>邪恶勾当</hint>，例如绑架、偷窃，或暗杀领主。
$刺客越多，<hint=hint_action_shadow>邪恶勾当</hint>的成功率越大。"
hint_gm_city_books,"城市图书馆
独特知识列表：
{list}"
hint_soul_knowledges,"知识
{list}"
hint_nt_holy_family_become_enemy,"遭到厌弃！
你近期的行动令女教皇非常失望，她与你的关系已降至 <red>-25</red> 以下。

$为了让你痛定思痛，而后迷途知返，教会已决定对你实施全面禁运，从今往后，<red>圣商队将不再造访你的省邦。</red>
$只有改善你与女教皇之间的关系，方能解除禁运。
$若你们的关系恶化至 <red>-50</red> 以下，你会正式受到诅咒，主教也会离开你的省邦。
$而当关系降至 <red>-100</red> 以下时，女教皇便会派<hint=hint_inqusitors>审判庭</hint>攻打你的城市。"
hint_nt_crops_death,"干旱
由于五天没有下雨，所有的庄稼都枯萎了。你的平民会重新种植庄稼，让我们祈愿圣母索菲亚这次会赐予雨水吧。"
hint_nt_horde_apeears,"邪恶部族
审判庭使团带回了可怕的消息。在西北森林，一个号称<hint=hint_unholy_horde>邪恶部族</hint>的聚落已成形。这是一个森林部落联盟组织，由新出现的异端邪教——<hint=hint_dead_god_herecy>死神异教</hint>统治。

这股极具侵略性的强大势力打算摧毁诺兰德所有新众王国。

神爱之家恳请所有贵族世家摒弃旧怨，合力应对这个新危机。若是哪个君王将这个号称“邪恶部族”的死神之域老巢一举歼灭，必将赢得全世界的顶礼膜拜，名垂青史。

使团中的幸存者已经想办法确定了该聚落的确切位置。"
hint_nt_horde_gossip,"新异教的传闻
过路人和商贩都提到，大陆的另一边出现了一个新异教，正在目不识丁的平民之中大范围扩张。

有人称，他们是<hint=hint_cainism>该隐派</hint>异端教派的余党，还有人四处散播人祭的谣言。

不论结果如何，<hint=hint_inqusitors>审判庭</hint>已经决定派遣一队使团前往当地，先下手为强，扼杀任何异教萌芽。"
hint_nt_no_servants_in_hall,"大厅中没有仆人。
若没有仆人，大厅中将没有食物供应，你的领主们会饿肚子。

$点击大厅，将其设置为优先工作场所，确保大厅里始终有仆人提供服务。"
hint_nt_new_faction,"新贵族世家
世界上出现了一个新贵族世家：{faction_uuid}。"
hint_nt_faction_death,"贵族世家的倾覆
由于一系列悲剧和死亡事件，贵族世家{faction_uuid}的故事如今走到了尽头。

其祖先的聚落已化为废墟，居民四散。

世事无常，荣华易逝！"
hint_display_event_genius_king,"野心勃勃的君王
据传，这位来自{faction_uuid_king}的统治者{soul_uuid_king}天赋异禀，野心勃勃。

[hint_trait_genius_king]"
hint_display_event_horde_destroy_faction,"邪恶部族
距离危机解除还剩 {remain_days} 天。不知道是否有人能活下来。"
hint_display_event_horde_crisis_finish,"危机结束
邪恶部族已经解散。

据传，他们的首领神秘死亡，信徒四散逃离进了森林，该教教义的不足和荒谬之处也暴露在信徒面前。

但没有人知道确切原因。

不管怎样，邪恶部族已经不复存在，只有它曾经肆虐烧毁的城市废墟会令人想起，不久前那场笼罩着诺兰德的可怕危机。"
hint_nt_dark_order,"受贿刺客
你的一个不怀好意的邻邦贿赂了你的刺客，他们准备在今晚做一些恶事。

我们建议加强贵族世家、大厅和图书馆周围的巡逻。"
hint_nt_religious_punishment_soon,"等待审判庭
你的主教并非自然死亡，信徒们很快会将这个消息带去<hint=hint_synode>神爱之家</hint>，而严父将会来净化这座罪恶之城。

不久后，<hint=hint_inqusitors>审判庭</hint>军队会将为你带来索菲亚的正义，幸存者会被宽恕。

你最好做好准备。"
hint_trade_vassal_tax_to_player,"来自附庸的进贡
圣商队会确保附庸向宗主国进贡。

金额按日计算，并且一直累计到商队到达。
{optional_tax_info}"
hint_trade_vassal_tax_from_player,"向宗主国进贡
圣商队会确保附庸向宗主国进贡。

金额按日计算，并且一直累计到商队到达。
{optional_tax_info}"
hint_trade_soldier_tax,"战士税
$应付总计：<hint=hint_resource_gold>{rune_number}</hint>
{optional_less_tax}

了解<hint=hint_tutorial_church_tax>战士税</hint>详情。"
hint_nt_forecast,"价格预测
{soul_uuid}得益于拥有<hint=hint_trait_forecaster>预测者</hint>特质，得以从商队成员那里了解到，下次商队到来时，<b>{resource_name}</b>的价格将会<b>翻倍</b>。"
hint_nt_unhappy,"平民心情
$如果一天中，全体平民的平均心情越高，<hint=hint_migration>人口迁入</hint>的数量也会越多。
$如果一名平民的平均心情低于 <red>25</red>，则可能会离开城市并加入附近的<hint=hint_persons_forest_bandits>森林强盗</hint>；也可能会留下来成为<hint=hint_persons_criminal>流民</hint>；还可能坚持自己的信仰，成为宗教<hint=hint_persons_fanatic>狂热信徒</hint>。
$幸福的平民（心情高于 80）有几率成为<hint=hint_loyalist>忠诚派</hint>。

<img=hint_nt_unhappy></img>

将鼠标悬停在左上角的角色图标上，即可查看他们最关心的事项。

提高平民幸福度的方法还有：
$在<hint=hint_bld_scafod>行刑台</hint>围观处决
$在市场上售卖美味的<hint=hint_food>食物</hint>和高质量的<hint=hint_alcohol>酒</hint>。
$在<hint=hint_bld_temple>圣堂</hint>开展信仰之道和欢愉之道
$提供<hint=hint_bld_house>私人住房</hint>
$ <hint=hint_nt_terror_culture>恐怖镇压</hint>被厌恶的文化
$提高工钱，促成<hint=hint_rich>繁荣</hint>。"
hint_nt_nofood,"食物不足
你仓库内的<hint=hint_food>食物</hint>不足。这可能导致你的居民挨饿。

建造更多农场，或向<hint=hint_holy_caravan>圣商队</hint>购买食物。"
hint_nt_nobeer,"酒精不足
你仓库内的<hint=hint_alcohol>酒</hint>存量不足。这可能导致你的居民<hint=hint_unhappy>不满</hint>。

建造更多<hint=hint_bld_brewery>酿酒厂</hint>，或升级已有酿酒厂。也可以向<hint=hint_holy_caravan>圣商队</hint>购买啤酒。"
hint_nt_caravancome,"圣商队到达
<hint=hint_holy_caravan>圣商队商贩</hint>穿着黄色长袍。

点击那些商贩，选择“贸易”行动，即可与之交易。

指派至交易任务的角色，若<hint=hint_skill_negotiations>贸易</hint>技能越高，你的获利也会越高。

$<b>鼠标右键</b>点击通知可将其关闭。"
hint_nt_notenough_workers,"工人不足
有些建筑缺乏足够的工人。

可能是因为你建造了太多的新建筑，也可能是因为离开城镇的平民多于<hint=hint_migration>迁入</hint>城镇的平民。

$将鼠标悬停在左上角的平民图标上，即可查看平民的主要消极想法。
$如果他们的平均幸福度较低，就会导致人口迁入人数降低。请想办法<hint=hint_nt_unhappy>解决这些问题</hint>。
$你可以通过点击“优先级”复选框来确保重要建筑有足够的工人。

此外：
$点击通知即可查看受此影响的建筑。"
hint_nt_bandits,"敌人打上门：森林强盗！
敌人将在几小时后发动攻击！

你得在这些时间里完成当前的任务，并组建一支防御<hint=hint_army>部队</hint>。

$点击通知即可前往事发地点。"
hint_nt_bandits_prepare,"森林强盗出征
<hint=hint_persons_forest_bandits>森林强盗</hint>已经出发，目标是征讨你的城市，他们将在几天后达到你的城门！"
hint_nt_notenough_temple,"圣堂不足
目前的圣堂不足，有些人前往圣堂参加布道。

建造更多<hint=hint_bld_temple>圣堂</hint>，让所有人都能前往。"
hint_nt_notenough_tavern,"酒馆不足
酒馆不足，有些角色连续三天找不到地方饮<hint=hint_alcohol>酒</hint>。

建造更多<hint=hint_bld_tavern>酒馆</hint>。"
hint_nt_notenough_barraks,"兵营不足
现有<hint=hint_bld_barracks>兵营</hint>数量无法容纳所有雇佣的<hint=hint_persons_warriors>战士</hint>，无处去的战士只好睡在室外或圣堂的地板上，这严重影响了他们的心情。

建造更多兵营。"
hint_nt_farmgobad,"土壤即将枯竭
平民已经注意到田里土壤枯竭的迹象，也就是说，几天后需要再次翻耕。

提前准备<hint=hint_resource_wood>木材</hint>（用于在田里焚烧，使土壤肥沃）。"
hint_nt_wolfattack,"饿狼攻击
建议：多派遣你的领主去<hint=hint_action_task>狩猎</hint>，控制饿狼数量。

另外，你可以在<hint=hint_bld_market>市场</hint>向平民出售更多<hint=hint_resource_knife>匕首</hint>，让他们有自保能力。

点击{input.key.mb_left}来前往事件地点。"
hint_nt_peasant_use_caravan,"从商队购买食物
平民好像更喜欢从<hint=hint_holy_caravan>圣商队</hint>购买<hint=hint_food>食物</hint>，如今你的<hint=hint_resource_gold>金币</hint>越来越少了。

确保：
$- 你已建造了<hint=hint_bld_market>市场</hint>。
$- 市场已经被指派了工人。
$- 市场出售的食物价格低于圣商队。
$- 你市场中出售的食物类型齐全。"
hint_nt_actor_complete_action_task_on_gm,"任务已完成
{soul_uuid}已经在{faction_uuid}城市顺利完成了被指派的任务“{task_name}”，即将回家。

你可以在其回来之前为其分配另一个任务。"
hint_nt_actor_abort_action_task_on_gm,"无法完成任务
由于某种原因，{soul_uuid}无法在{task_name}城市完成被指派的任务“{faction_uuid}”。"
hint_nt_actor_arrived_in_town_as_guest_on_gm,"一位领主已抵达
{soul_uuid}已抵达{faction_uuid}城市，即将开始执行指派任务。"
hint_nt_fanatics_perc,"宗教狂热信徒
<hint=hint_persons_fanatic>宗教狂热信徒</hint>能带来许多好处，但如果他们感到不满，可能会煽动<hint=hint_pogrom>叛乱</hint>。

你可以通过在<hint=hint_bld_temple>圣堂</hint>中宣扬<hint=hint_sermon_agnostic>质疑</hint>或<hint=hint_sermon_faith>信仰</hint>，来减少或增加他们的数量。"
hint_nt_religion_riot,"大量狂热信徒！
城市里几乎一半人口都是<hint=hint_persons_fanatic>宗教狂热信徒</hint>。

也许你应该在<hint=hint_bld_temple>圣堂</hint><hint=hint_sermon_agnostic>宣扬质疑</hint>来减少他们的数量，避免发生<hint=hint_pogrom>叛乱</hint>。"
hint_nt_servants,"领主的吃喝需要由<hint=hint_persons_servants>仆人</hint>到<hint=hint_bld_castle>大厅</hint>的从库中拿取食物，并带到他们的<hint=hint_bld_noble_house>住宅</hint>。

可在大厅菜单中雇佣仆人。"
hint_nt_dummy_low_food,"饥饿的平民
城市中<hint=hint_starvation>饥饿</hint>的平民占比很高！

他们每天至少需要食用 1 单位<hint=hint_food>食物</hint>。

前往<hint=hint_finance_menu>经济学菜单</hint>，确保：
$你为他们分配了足量的食物。
$如果你采用分发<hint=hint_salary>工钱</hint>的形式，确保他们得到的工钱数量足够用来购买食物。"
hint_nt_dummy_low_beer,"酒精消耗较少
城市里只有 20% 的平民饮<hint=hint_alcohol>酒</hint>。

饮酒是民众改善心情最简单的方式，这对于促进<hint=hint_migration>人口迁入</hint>必不可少。

$前往<hint=hint_finance_menu>经济学菜单</hint>，确保你分发了足量的酒。
$如果你采用分发<hint=hint_salary>工钱</hint>的方式，确保平民获得的工钱数量至少足够他们每隔几天买一次酒喝。"
hint_nt_dummy_many_homeless,"无家可归的平民
城市中无家可归的平民占比也很高！
建造更多<hint=hint_bld_house>住宅</hint>，因为无家可归会让平民感到不满。"
hint_nt_slave_escape,"囚犯越狱
囚犯在不满或渴望自由的时候，会尝试越狱。

<img=hint_nt_slave_escape></img>

为了防止这种情况，可以在<hint=hint_bld_slaves_barrack>监狱牢房</hint>入口处和囚犯工作的建筑附近安置<hint=hint_persons_guard>卫兵</hint>。"
hint_nt_events_unhappy_lord,"领主的心情
如果领主的<hint=hint_mood>心情</hint>一直低于<red>25</red>（你可能还会注意到，其顶部头像的背景颜色呈现红色），他们会感到不满。

<img=hint_nt_events_unhappy_lord></img>

$在这种状态下的领主将停止执行你的<hint=hint_action>任务</hint>，包括<hint=hint_inspection>建造管理</hint>。
$不满的领主可能会抑郁，继而出现<hint=hint_tantrum>精神崩溃</hint>，同时<hint=hint_loyalty>忠诚度</hint>也会下降。
$不满的领主也更容易对其他领主及其不得体行为出言不逊，这就有可能出现滚雪球效应，导致其他领主也感到不满。
$一个在大多数情况下心情较好（高于 <green>80</green>）的领主可能会变成<hint=hint_loyalist>忠诚派</hint>，或是获得<hint=hint_insight>顿悟</hint>和<hint=hint_inspired>灵感</hint>。

改善心情的提示：
$确保你的领主能够获取品质较高的产品，例如<hint=hint_resource_meat>肉</hint>和<hint=hint_resource_ale>麦酒</hint>。
$鼓励领主与其他更开心的领主交往，或一起去狩猎。
$通过在圣堂传讲<hint=hint_sermon_faith>信教布道</hint>，将领主转变为狂热信徒。
$对领主仇视的文化挑起<hint=hint_nt_terror_culture>恐慌</hint>，或是制定符合其文化价值观的政策。

<b>提示：</b>将光标悬停至“需求”选项卡中的红色想法上，查看他们到底哪里不满。"
hint_nt_event_building_without_instruction,"提示

今天有建筑没有收到<hint=hint_inspection>指令</hint>，明天工人的生产力可能会下降。

出现这种情况，可能是监管领主感到<hint=hint_unhappy>不满</hint>，或者是你指派给该领主的建筑超量了。

$点击通知以查看这些建筑。"
hint_nt_event_building_without_inspector,"指令
领主需要给生产型建筑中的工人下达<hint=hint_inspection>指令</hint>，否则工人会不知道该做什么。

在建筑菜单将一个领主指派为管理人，每日向工人们下达指令。

$点击通知以查看这些建筑。"
hint_nt_no_meds,"你的医用药膏已用完
你可以从<hint=hint_holy_caravan>圣商队</hint>采购，或在<hint=hint_bld_alchemistry>炼金实验室</hint>自制，来紧急补充你的<hint=hint_resource_med>医用药膏</hint>存量。

如果你没有医用药膏，严重的<hint=hint_wounds>伤口</hint>可能会演变成<hint=hint_poisoned>坏疽</hint>，继而导致角色死亡！"
hint_nt_slaves_starving,"囚犯濒临饿死！
<tight>$确保<hint=hint_bld_slaves_barrack>监狱牢房</hint>的数量足够安置所有囚犯。

$一定要为监狱牢房指派卫兵。
$前往<hint=hint_finance_menu>经济学菜单</hint></tight>，检查你是否已经根据囚犯数量指派了足量食物。"
hint_nt_kid_now_can_read,"青少年
该角色已经长大。现在可以研读<hint=hint_knowledge_menu>知识菜单</hint>中的书籍了。

此外，你可以指派一位受过教育的领主与他进行智慧交流，传授<hint=hint_idea>知识</hint>（青少年格外容易吸收知识）。"
hint_display_event_storage_robbery_gold,"抢劫！
你可以组建一个<hint=hint_army>部队</hint>来攻击窃贼，尝试找回被盗物品。"
hint_display_event_nectar_rage_begin,"蜜酿癫狂
饮用<hint=hint_resource_nectar>蜜酿</hint>之后，角色陷入癫狂状态，并攻击其视野范围内所有人。

角色饮用蜜酿越频繁，越容易经历蜜酿癫狂。"
hint_display_drunk_fight_start,"撒酒疯
今天，这家伙喝多了<hint=hint_alcohol>酒</hint>，跟人打了起来。

每次角色心怀不满、借酒浇愁时，都有较小几率引发此类行为。你可以关注角色的想法，及时为其解开心结，以此来降低此类行为的发生频率。"
hint_nt_free_lord_expired,"你与该自由领主的契约已结束
该自由领主已经履行了契约规定的义务，并将很快离开你的城市。如果你对该领主的服务较为满意，可以尝试再次雇佣。"
hint_nt_free_lord_low_loyalty,"自由领主已经提前终止契约
这个自由领主因忠诚度较低，已经决定毁约，并将很快离开你的城市。"
hint_nt_lod_mising,"领主失踪
在战斗中，你的领主{uuid_lord}逃离了战场，现在下落不明。

不过，该领主可能会在几天后返回聚落。"
hint_nt_faction_become_enemy,"新敌人
{soul_uuid_king}君王来自{faction_uuid}城市，现在正与你交战。

你的村庄和城市会遭到袭击，同时还会有各种针对你的密谋。"
hint_nt_faction_soon_become_enemy,"新对手
{soul_uuid_king}统治者来自{faction_uuid}城市，已经对你产生敌意。

这位统治者虽然还没有对你发动攻击，但可能会对你进行恶意密谋或采取恶意行动。"
hint_province_peasants_statistics,"平民统计
<center>针对当天</center>

$平民剩余：{peasant_left}
$已成为<hint=hint_persons_criminal>流民</hint>：{peasant_criminal}
$已成为<hint=hint_persons_cuthroat>刺客</hint>：{peasant_thug}
$已成为<hint=hint_persons_fanatic>狂热信徒</hint>：{peasant_fanatic}
$预计<hint=hint_migration>迁入人口</hint>：{peasant_migrant}"
hint_nt_world_summary,"世界概要
<center>当天事件</center>
{events}

<center>邻近地区的事件</center>
{neighbore_events}"
hint_nt_economic_summary,"经济概要
<center>针对当天</center>

$金币结余：<hint=hint_resource_gold>{gold_change}</hint>
$<hint=hint_salary>工钱</hint>支出：<hint=hint_resource_gold>{salary}</hint>
$<hint=hint_re_prod>资源生产</hint>：<hint=hint_resource_gold>{prod_sum}</hint>
$本地市场<hint=hint_re_saled>商品售卖</hint>：<hint=hint_resource_gold>{sale_sum}</hint>
$投入经济的<hint=hint_re_built>资源投入</hint>：<hint=hint_resource_gold>{build_sum}</hint>

<b>未收到指令：</b>
{buildings_list_no_instruction}

<b>损坏或无法运作：</b>
{buildings_list_broken}

<b>工人不足：</b>
{buildings_list_not_enought_workers}

<b>濒临枯竭的田地：</b>
{buildings_list_depleted_soon}

$<b>鼠标右键</b>点击通知可将其关闭。"
hint_re_prod,"资源生产
$显示所有建筑一天内可生产的所有资源总价值。
$以商队的售价为基础，以金币为单位。
$在收获日，价值可能会大幅提高。"
hint_re_saled,"商品出售
显示你在本地市场、酒馆和蜜酿窝点向平民和战士出售商品收到的金币数量。"
hint_re_built,"资源投入
显示你用于建造和升级建筑所花费的资源总价值（以金币为单位）。"
hint_nt_character_part_of_nature_add,"性格特质
性格特质为角色提供了独特的特点和能力。

性格特质可以生而获得，也可以在生活事件、成长或技能训练中被发现。

角色菜单的第三个选项卡中可以找到性格特质列表。"
