Key,English
hint_thought_social,"Social Thought
Thoughts of one character toward another that influence the <hint=hint_relations>relationship</hint> between the two.

They can arise during <hint=hint_conversation>deep conversations</hint> or as a result of social factors (such as envy).

Social thoughts weaken over time."
hint_friendship,"Friendship
When the mutual <hint=hint_relations>relationships</hint> between characters exceed {rel_friend}, they become friends.

They are inclined to <hint=hint_action_task_together>spend time together</hint>, visit each other during <hint=hint_sick>illness</hint>, and stand up for each other in fights."
hint_interest,"Interest
Characters are drawn to each other with varying degrees of strength, which is reflected in their level of interest.

You can see their interest in the relationships tab of the Character menu when hovering over the portrait of another character.

<img=hint_interest></img>

Interest affects:
$ Willingness of a character to go on a <hint=hint_date>date</hint> for sexual activity (should be higher than {interest_high}).
$ <hint=hint_love>Falling in love</hint>.
$ Likelihood of telling a joke during a <hint=hint_conversation>deep conversation</hint>.

Factors influencing interest include:
$ Difference in the <hint=hint_skill_manners>Manners</hint> skill
$ <hint=hint_relations>Relationships</hint>
$ Scent
$ Age
$ Social status
$ Alcohol consumption
...and several other factors that can be explored by hovering over the question mark next to the interest indicator."
hint_enemy,"Enmity
If a character's attitude toward another character falls below <red>{rel_enemy}</red>, they are considered enemies. This affects their <hint=hint_interest>interest</hint>, choice of target for <hint=hint_speech_intrigue>intrigues</hint>, and preference for <hint=hint_conversation>deep conversations</hint> involving <hint=hint_speech_ignore>disregard</hint> and <hint=hint_speech_insult>insults</hint>."
hint_enemy_deadly,"Deadly Enmity
When a character's relationship falls below <red>{rel_deadly_enemy}</red>, it signifies a state of deadly enmity. In this stage, one character may attempt to kill the other."
hint_love,"Infatuation
When a character falls in love, they experience a strong positive <hint=hint_thought>thought</hint>. 

Additionally, the character:
$ <hint=hint_flirt>Flirts</hint> exclusively with their love interest.
$ Presents them with <hint=hint_resource_rune>Holy Rings</hint> when <hint=hint_speech_flattery>complimenting</hint> them.
$ <hint=hint_jealousy>Feels jealous</hint> toward others in relation to their love interest.
$ Suffers if rejected.

Infatuation can occur when there is a high need for <hint=hint_need_sex>sex</hint> and sufficient <hint=hint_interest>interest</hint>.

Over time, infatuation may fade."
hint_flirt,"Flirting
When the <hint=hint_need_sex>Need for sex</hint> is low, the character will try to flirt by inviting those they have a <b>high</b> <hint=hint_interest>interest</hint> in for a <hint=hint_date>date</hint>.

For a date to occur, the interest in the character must be above <green>{interest_high}</green>."
hint_love_relations,"Love Relationships
If characters have had a couple of <hint=hint_date>dates</hint> in a short period of time or they are mutually in love, they become lovers.

In this case:
$ They easily engage in sexual activities with each other, without any conditions.
$ They try to <hint=hint_action_task_together>spend time together</hint>.
$ <hint=hint_relations>Relations</hint> between them become <hint=hint_relatives>family-like</hint>.
$ They <hint=hint_jealousy>feel jealousy</hint> toward each other and perceive infidelity as painful.
$ <hint=hint_speech_friendly>Emotional communication</hint> partly compensates for the <hint=hint_need_sex>need for sex</hint>.

If the attitude of one of them toward the other drops below 0, the love relationship ends."
hint_jealousy,"Jealousy
A <hint=hint_thought_social>social thought</hint> directed toward potential rivals that is experienced by individuals who are <hint=hint_love>in love</hint> or in a <hint=hint_love_relations>romantic relationship</hint>.

Rivals are considered to be all characters of the opposite gender with whom their love interest has a good relationship, as well as other individuals who are also in love with their love interest."
hint_date,"Date
Characters who have engaged in successful <hint=hint_flirt>flirting</hint> may arrange a date, in which they will meet at one of their homes to engage in sexual activity, fulfilling their need for <hint=hint_need_sex>sex</hint>.

When characters have a very high sexual desire, they may resort to <hint=hint_sex_bribe>bribing</hint>."
hint_sex_bribe,"Proposition
When the need for <hint=hint_need_sex>sex</hint> is high, a character may attempt to bribe someone of the opposite gender to engage in sexual activity with them.

They use <hint=hint_resource_rune>Holy Rings</hint> for this purpose.

This action is considered a <hint=hint_sin>sin</hint>."
hint_relatives,"Relatives
Characters who are closely related by blood have an additional positive <hint=hint_thought_social>social thought</hint> toward each other.

They also visit each other in case of <hint=hint_sick>illness</hint> and mourn in the event of <hint=hint_death>death</hint> of a loved one."
hint_culture,"Culture
Every character in the game belongs to one of the 4 cultures: <hint=hint_culture_gwelts>Kaiden</hint>, <hint=hint_culture_tanaya>Tanaya</hint>, <hint=hint_culture_voruns>Varn</hint>, and <hint=hint_culture_makha>Makha</hint>.

<img=hint_culture></img>

Cultures have an impact on various aspects of the game.
$ <b>Xenophobia</b>: Characters do not like those outside their own culture, and in the event of a massacre, they will attack them.
$ <b>Values</b>: Characters will react to your kingdom's actions and policies based on their culture's established values, indirectly influencing politics. These cultural values also affect relationships with neighboring kings, depending on their policies.
$ <b>Languages and Knowledge</b>: Each culture has its own language and a certain number of <hint=hint_book>books</hint> written in it. Caravans bring these books if there are lords in the city who can read them.
$ <b>Relationships with <hint=hint_sofia_cult>the Church</hint></b> can be influenced by a character's culture.
"
hint_title,"Title
It is a well-known fact that two hundred years ago, when the <hint=hint_сhartia_humility>Charter of Humility</hint> was signed, thus ending the <hint=hint_fire_war>War of the Sacred Flame</hint>, the <hint=hint_synode>Loving Family</hint> not only granted independence to all noble houses of Norland but also limited the number of noble titles available to each family.

<img=hint_title></img>

When your child grows up, they become a <hint=hint_untitled_lord>lesser lord</hint>, and you will need to determine their fate.

The King can also strip characters of titles, thus making them lesser lords as well. <b>These actions are available in the characters menu, under the ""King"" section.</b>

<b>HINT:</b> Your King can grant titles to <b>lesser lords and hired free lords</b> to make them part of the noble family."
hint_free_lord,"Free Lord
This lord can be assigned the same tasks as your own lords - inspect buildings, lead squads, and so on.

$ The contract will end in {day} days."
hint_bishop,"Bishop
When the <hint=hint_synode>Loving Family</hint> considers your settlement big enough, they send a bishop to you.

<img=hint_bishop></img>

$ Using the action button on Character menus, your lords can confess to the bishop to remove their <hint=hint_sin>sins</hint> as well as perform other religious actions.
$ The bishop can provoke a <hint=hint_pogrom>religious uprising</hint> if he quarrels with any of your lords. Be sure to please him.
$ The <hint=hint_relations_matriarch>Matriarch</hint> places great weight on your local Bishop's opinion about your king.
$ If the Bishop dies an unnatural death, your relations with the Matriarch will deteriorate by <red>{kill_bishop_penalty}</red>."
hint_marriage,"Marriage
The purpose of marriage is to have children, and characters strive to fulfill their duty, at least once every 1-3 days."
hint_loyalty,"Loyalty
Indicates how loyal the lord is toward the <hint=hint_persons_king>king</hint>.

<img=hint_loyalty></img>

$ Changes slightly every day, but will drop significantly if the character is <hint=hint_unhappy>unhappy</hint> or doesn't like the king.
$ High loyalty allows giving special assignments to this lord.
$ Low loyalty (below 25) can lead the lord to move to another noble house or, if they are the heir, raise a <hint=hint_nt_heir_rebellion>rebellion</hint>.

Loyalty is displayed in the Character menu. Hover your mouse cursor over the loyalty number next to the crown icon to find out how and why it has changed recently.

<b>Hint:</b> You can quickly raise loyalty by rewarding a lord or threatening them (under ""King's Actions"")."
hint_loyalty_captive,"Hostage's Loyalty
Initially, the hostage's loyalty is negative, but if you can make it positive, they will agree to become a member of your noble family."
hint_thought,"Thought
Thoughts arise from <hint=hint_needs>needs</hint> or as a reaction to situations the character finds themselves in.

The sum of thoughts affects the <hint=hint_mood>mood</hint>.

Thoughts are displayed on the mood tab of the Character menu."
hint_mood,"Mood
Measured from 0 to 100 and determined by the sum of <hint=hint_thought>thoughts</hint>.

<img=hint_mood></img>

$ Thoughts depend on the character's needs and are also reactions to events happening around them.
If the mood drops below 25, the character becomes <hint=hint_unhappy>unhappy</hint>, and if it rises above 80, the character becomes <hint=hint_happy>happy</hint>.
$ The average mood level of peasants affects the level of <hint=hint_migration>migration</hint>.

Learn more about the mood of different characters:
$ <hint=hint_nt_unhappy>Peasants</hint>
$ <hint=hint_nt_events_unhappy_lord>Lords</hint>
$ <hint=hint_sodiers_happiness>Warriors</hint>
$ <hint=hint_slave_happines>Prisoners</hint>

<b>Hint:</b> The most common negative <hint=hint_thought>thoughts</hint> affecting the mood can be conveniently viewed in the <hint=hint_statistic_menu>Statistics menu</hint>."
hint_unhappy,"Unhappy
When a character's <hint=hint_mood>mood</hint> drops below 25, they are unhappy.

Learn more about the consequences of a bad mood:
$ <hint=hint_nt_unhappy>Peasants</hint>
$ <hint=hint_nt_events_unhappy_lord>Lords</hint>
$ <hint=hint_sodiers_happiness>Warriors</hint>
$ <hint=hint_slave_happines>Prisoners</hint>"
hint_happy,"Happiness
When a character's <hint=hint_mood>mood</hint> is above 80, they are happy.

A happy lord might experience an <hint=hint_insight>insight</hint>."
hint_casus_beli,"Casus Belli
A pretext for war.

With a casus belli, you can declare war, and your relationships with other kings and the <hint=hint_synode>Holy Synod</hint> will not be harmed."
hint_terror,"Terror
Unjustified executions and punishments cause a sense of terror among the population.

<img=hint_terror></img>

Since characters of different social classes usually do not communicate with each other, <hint=hint_terror_peasants>terror among the peasants</hint> usually does not cause fear among the lords, and <hint=hint_terror_lord>terror among the lords</hint> goes unnoticed by the peasants.

You can also carry out <hint=hint_nt_terror_culture>terror against a specific culture</hint> if they threaten you with rebellion - and this will inspire the culture that hates them (for example, the Kaiden peasants will be pleased with terror against the Varn).

<b>Hint:</b> The positive thought from terrorizing a hated culture is so strong that this action is one of the best tools for creating <hint=hint_loyalist>loyalists</hint>."
hint_terror_lord,"Terror Among Lords
Some of your actions, such as unjustified executions, will terrify the lords. However, execution during a <hint=hint_pogrom>religious uprising</hint> is not considered terror.

Effects:
$ Lords experience a strong negative <hint=hint_thought>thought</hint>.
$ <hint=hint_loyalty>Loyalty</hint> increases by 40.
$ Lasts 5 days."
hint_terror_peasants,"Population Terror
When the <hint=hint_bld_scafod>Scaffold</hint> is assigned to state terror, executioners begin to undertake, without evidence, the punishment of various individuals, starting with all <hint=hint_persons_criminal>vagabonds</hint>, then the unemployed, and finally ordinary peasants.

Effects:
$ A strong negative <hint=hint_thought>thought</hint> affects 3 acquaintances of the punished character.
$ The average happiness and <hint=hint_migration>migration</hint> will decrease.
$ Unhappy <hint=hint_persons_peasant>peasants</hint> will not become <hint=hint_persons_criminal>vagabonds</hint>, and vagabonds will not become cutthroats.

You can also execute a specific peasant or vagabond through their action menu - this will also be considered to be terror."
hint_salary,"Wages
Set in the <hint=hint_finance_menu>Economy Menu</hint>. Requires knowledge of <b>Wages</b> and <b>Internal Trade</b>.

<img=hint_salary></img>

Instead of directly distributing resources, after studying the relevant knowledge, you can distribute <hint=hint_resource_gold>Gold</hint> to your subjects as wages.

$ This allows for more precise and even distribution of scarce goods among them, as expensive purchases will be made as funds accumulate.
$ Additionally, an excess of money leads to <hint=hint_rich>wealth</hint>."
hint_rich,"Wealth
If the character has eaten, had at least one drink with <hint=hint_alcohol>alcohol</hint>, and has owned a house for at least 3 days, they begin to feel prosperous, which grants a positive <hint=hint_thought>thought</hint>.

<img=hint_rich></img>

The character also feels happier if they have a lot of <hint=hint_resource_gold>Gold</hint> in their inventory. The amount differs for peasants, lords, and warriors, but it's the amount that gives them confidence in tomorrow."
hint_price,"Prices
You can set any prices at local <hint=hint_bld_market>Markets</hint> and <hint=hint_bld_tavern>Taverns</hint>.

However, if they are too high compared to the prices of the <hint=hint_holy_caravan>Holy Caravan</hint>, peasants will try to wait and buy goods from the caravan rather than from you."
hint_migration,"Migration
The number of new peasants arriving each day mainly depends on the average <hint=hint_nt_unhappy>mood</hint> of the peasants in the city.

<img=hint_migration></img>

Depending on the average mood:

$ Below <red>{gone_tres}</red>: peasants will start leaving your city.
$ For every {mood_step} mood points above this, +{migrant} migrant will arrive (for example, if the mood is between {tres_3} and {tres_4}, {mig_number} migrants will arrive).

<b>Hints:</b>
$ You can check the expected number of migrants by hovering over the peasant icon in the top left.
$ Additionally, new settlers bring along the <hint=hint_resource_gold>gold</hint> they accumulated in their previous location.
$ A war in a neighboring province increases migration.
$ Migration is also reduced by <hint=hint_terror_peasants>terror</hint>"
hint_betrayal,"Betrayal
If your lord's <hint=hint_loyalty>loyalty</hint> is below 50, there is a chance of betrayal on the battlefield.

This means that when they commands an army, he may switch sides to join the enemy, along with his warriors.

The chance of betrayal depends on the loyalty value, the balance of power on the battlefield, and your lord's relationships with the lords of the noble family."
hint_escape,"Departure
If your lord's <hint=hint_loyalty>loyalty</hint> is below 25, there is a chance of their departure from your settlement.

If they are the heir to the throne, they may lead a rebellion, and if they are a common lord, they may switch to another noble family."
hint_riot,"Rebellion
The character departs with some of your unhappy warriors to the camp of forest bandits.

With the support of noble families hostile to you, the rebel army can grow significantly.

After some time, the rebels will attempt to attack your city."
hint_slave_riot,"Prisoner Uprising
Each day that the average <hint=hint_slave_happines>mood</hint> of the prisoner population is below <red>25</red> (meaning they are unhappy), there is a chance that they will start an uprising.

<hint=hint_persons_slave>Prisoners</hint> will organize themselves into a rebel group that will attempt to burn down the settlement and destroy your noble family."
hint_warrior_riot,"Warrior Uprising
If the average <hint=hint_mood>mood</hint> of warriors is below 25 (meaning they are unhappy), they may start an uprising.

They will unite into a group and attack the hall with the aim of looting, and then they will leave to join the <hint=hint_persons_forest_bandits>forest bandits</hint>."
hint_pogrom,"Religious Uprising
If the average <hint=hint_mood>mood</hint> of the <hint=hint_persons_fanatic>fanatics</hint> for the day is below <red>25</red> (meaning they are unhappy), they may start an uprising - but first, they will demand you to sacrifice a lord whom they blame for their troubles.

If you refuse them, the fanatics will unite into squads that will:
$ Burn houses and kill everyone they believe to be insufficiently devout.
$ Burn down the <hint=hint_bld_library>Library</hint> and other buildings.
$ Seek out and try to kill the lord they believe to be guilty.

A bishop can also initiate a religious uprising, inciting fanatics against his enemy.

<b>Hint:</b> In a religious uprising, all fanatics participate regardless of their social class - peasants, warriors, prisoners, and even lords. Therefore, despite the advantages of having fanatics, the more there are, the more dangerous the bishop becomes."
hint_pogrom_context,"Unrest Among Fanatics
As a result of <hint=hint_nt_unhappy>unhappiness</hint>, fanatical peasants, prisoners, and warriors start looking for someone to blame for what they believe to be Sophia's curse on the city.

You have 1 day to <hint=hint_punishment_blindness>blind</hint> {soul_uuid_target}, otherwise an <hint=hint_pogrom>uprising</hint> will occur.

If {soul_uuid_target} is already blind, they should be <hint=hint_punishment_execution>executed</hint>.

This action will not be considered <hint=hint_terror_lord>terror</hint>."
hint_pogrom_context_by_bishop,"Threat of uprising

The bishop is extremely dissatisfied with {soul_uuid_target} and wants them to be blinded.

You have 1 day to personally <hint=hint_punishment_blindness>blind</hint> {soul_uuid_target}, otherwise a <hint=hint_pogrom>religious uprising</hint> will occur.

If {soul_uuid_target} is already blind, they should be <hint=hint_punishment_execution>executed</hint>.

This action will not be considered as <hint=hint_terror_lord>terror</hint>."
hint_pogrom_context_by_bishop_decapitation,"Ultimatum from the bishop
The bishop is extremely displeased with {soul_uuid_target} and wants them to be executed. You have 1 day to <hint=hint_punishment_execution>execute</hint> {soul_uuid_target} yourself, otherwise an uprising will occur.

Religious <hint=hint_persons_fanatic>fanatics</hint> will unite into squads that will burn down houses and kill anyone they deem insufficiently devout. Their final target will be {soul_uuid_target}, whom they believe to be responsible for their misfortunes"
hint_pogrom_context_by_bishop_hate_king,"Ultimatum from the bishop
The bishop is extremely displeased with your king, {soul_uuid_target}, and wants them to be punished. In 1 day, an uprising will occur, and there will be no changing the outcome.

Religious <hint=hint_persons_fanatic>fanatics</hint> will unite into squads that will burn down houses and kill anyone they deem insufficiently devout. Their final target will be {soul_uuid_target}, whom they believe to be responsible for their misfortunes."
hint_nt_bishop_is_king_enemy,"The Bishop is at odds with the King
The relationship between {soul_uuid_target_1} and {soul_uuid_target_2} has become hostile. If their relationship continues to deteriorate, it may lead to a religious uprising targeting {soul_uuid_target_2}."
hint_noble_house,"Noble Houses
Several families <hint=hint_persons_lords>of lords</hint> who govern cities and hold <hint=hint_title>lordly titles</hint>.

Many such houses trace their lineage back to the time of the <hint=hint_crimson_empire>Crimson Empire</hint>, and the signatures of their ancestors are found on the <hint=hint_сhartia_humility>Charter of Humility</hint>.

<hint=hint_synode>The Loving Family</hint> ensures that no noble house gains too much power and challenges its authority."
hint_wedding,"Wedding
A social ritual in which two lords are married in a <hint=hint_bld_temple>Temple</hint>."
hint_funeral,"Funeral
A social ritual in the <hint=hint_bld_temple>Temple</hint> where characters bid farewell to one of their own on their final journey.

It concludes with cremation."
hint_upgrade,"Upgrades
Building upgrade. Adds one job slot."
hint_diplomacy,
hint_army,"Combat Squad
A squad under your direct control that can attack your enemies.

$ Squads are created in the Army menu and are comprised of <hint=hint_persons_warriors>warriors</hint>.
$ The squad must be led by one of your lords or <hint=hint_knight>knights</hint>. The lord's <hint=hint_skill_command>Command</hint> skill will determine the morale bonus of the warriors.
$ After selecting the squad, right-click to command it to move to a specific point or attack a target."
hint_wealth,"Average wealth
Shows how much gold characters have on average.

$ Migrants and warriors arrive in your settlement with some savings.
$ While you don't have a market, they can spend their gold to buy missing goods - food or alcohol - from the caravan.
$ If they accumulate enough money, they may start purchasing luxury goods from the caravanner, such as <hint=hint_resource_meat>Meat</hint> or <hint=hint_resource_ale>Flavorful Ale</hint>
$ Wealth can help achieve <hint=hint_rich>prosperity</hint>."
hint_free_people,"Free Residents
The total number of free peasants, warriors, unemployed individuals, and vagabonds who inhabit your city."
hint_equip_cost,"Equipment Cost
The total value of all weapons and armor worn by your warriors.

Indirectly reflects the strength of your army (or squad)."
hint_sodiers_happiness,"Warrior mood
$ Hired warriors may desert and leave the city if they are in a bad <hint=hint_mood>mood</hint> (below <red>25</red>).
$ Warriors in a good mood (above <green>80</green>) have increased <hint=hint_moral_level>bravery</hint> in battle as well as a greater chance of becoming <hint=hint_loyalist>loyalists</hint>.

<img=hint_sodiers_happiness></img>

Tips for improving mood:
$ Let freshly recruited grow accustomed to the realities of combat before sending them into battle. A new warrior's fear of death will gradually wear off as they undergo combat training.
$ Choose lords with a high <hint=hint_skill_command>Command</hint> skill to lead your squads.
$ Do not exhaust the warriors with excessive training and <hint=hint_persons_guard>patrols</hint> before battle.
$ Provide them with high-quality products. such as <hint=hint_resource_meat>Meat</hint> and <hint=hint_resource_ale>Ale</hint>.
$ Allocate a separate <hint=hint_bld_temple>Temple</hint> for the warriors and preach faith in it. This will turn them into <hint=hint_persons_fanatic>fanatics</hint> who relish pain. However, this is a dangerous path if you have poor relations with the <hint=hint_bishop>bishop</hint>, as they will be on his side in the event of a <hint=hint_pogrom>religious uprising</hint>.
$ Initiate <hint=hint_nt_terror_culture>terror</hint> against the culture your warriors hate or pursue policies aligned with their cultural values."
hint_slave_happines,"Prisoners Mood
Unhappy prisoners may attempt to escape from the settlement, and if they are extremely unhappy, they may incite a <hint=hint_slave_riot>uprising</hint>.

To improve the mood of prisoners:
$ Make sure you have built enough prison wards.
$ Ensure that the wards have a warden who provides food to the prisoners.
$ In the <hint=hint_finance_menu>Economy Menu</hint>, make sure you supply them with an adequate amount of alcohol and food.
$ Ensure that the prisoners have access to <hint=hint_bld_temple>Temples</hint>.

<b>Hint:</b> To capture runaway prisoners, place <hint=hint_persons_guard>guards</hint> near their wards."
hint_fatigue,"Fatigue
By performing various tasks and work, characters become tired and start to need <hint=hint_need_fun>rest</hint>.

This leads to negative <hint=hint_thought>thoughts</hint>, which affect their <hint=hint_mood>mood</hint> and accumulate over time.

The need for rest gradually gets fulfilled when the character is not working, but the fastest way to replenish it is by consuming <hint=hint_alcohol>alcohol</hint>."
hint_recovery,"Recovery
The time it takes to heal a wound or recover from an illness."
hint_sender,"Messenger
You can send a messenger to carry out tasks in other settlements on the world map.

<img=hint_sender></img>

A messenger is selected from the peasants and requires <hint=hint_resource_paper>1</hint> to deliver the message.

The letter that the messenger delivers is written by the king, so the effectiveness of the action is determined by the skills of your king."
hint_sick,"Diseases
Diseases can be mild or severe.

In the case of a mild disease, the character moves at a slower pace.

In the case of a severe disease, the character is unable to walk and remains bedridden. They are visited by their loved ones and a <hint=hint_persons_priest>priest</hint>.

The cause of illness can be <hint=hint_wounds>injuries</hint> sustained in battle, as well as, for example, <hint=hint_display_event_swede_typh_allowed>Rutabaga poisoning</hint>.

Diseases can be <hint=hint_heal>treated</hint> with varying degrees of success."
hint_heal,"Treatment
Diseases and open <hint=hint_wounds>wounds</hint> are treated with <hint=hint_resource_med>Medical Salves</hint>.

Lords and warriors take the necessary medicinal supplies from the warehouse and heal themselves, but the peasants do not have access to these medicines due to their high cost, so they can only rely on Sophia's mercy."
hint_death,"Death
When a character dies, their loved ones mourn them and experience strong negative <hint=hint_thought>thoughts</hint>.

The <hint=hint_persons_priest>priest</hint> takes the deceased to the <hint=hint_bld_temple>Temple</hint> where the funeral and subsequent cremation take place."
hint_wounds,"Wounds
Wounds occur as a result of weapon strikes or accidents.

Some wounds cause <hint=hint_pain>pain</hint>, while others may result in <hint=hint_bleeding>bleeding</hint> or dangerous <hint=hint_wounds_open>inflammation</hint> leading to <hint=hint_poisoned>gangrene</hint>."
hint_wounds_open,"Inflamed Wound
A dangerous type of wound that inevitably leads to <hint=hint_poisoned>gangrene</hint> if left untreated.

Make sure your population has access to <hint=hint_resource_med>Medical Salve</hint>, which treats the infection.

$ The salve should be available in the inventory for lords and warrors.
"
hint_poisoned,"Gangrene
An incurable necrosis of tissues caused by an <hint=hint_wounds_open>inflamed wound</hint>. It leads to inevitable death.

To prevent the onset of gangrene, make sure your population has access to <hint=hint_resource_med>Medical Salve</hint>."
hint_pain,"Pain
Pain arises from <hint=hint_wounds>wounds</hint> and <hint=hint_sick>sickness</hint>.

<img=hint_pain></img>

It is displayed at the bottom of the main tab of the Character menu, under the label ""States."" Hovering over the pain icon will show the <hint=hint_pain_level>pain threshold</hint>.

The cumulative pain experienced also affects the <hint=hint_moral_level>bravery</hint> of the character."
hint_pain_level,"Pain Threshold
The pain threshold is {pain_threshold}.
The threshold of disorientation is {dis_threshold}.

$ If the cumulative <hint=hint_pain>pain</hint> <b>exceeds</b> the threshold of disorientation, the character will become vulnerable to deadly strikes and will also move slower.
$ If the cumulative pain <b>exceeds</b> the pain threshold, the character <hint=hint_death>will die</hint> from pain shock."
hint_moral_level,"Courage threshold
A warrior's courage threshold is equivalent to {bravery_threshold_moral_factor}% of their current <hint=hint_mood>mood</hint> value.

<img=hint_moral_level></img>

$ If the cumulative thoughts from <hint=hint_pain>pain</hint> exceed this value, the warrior will flee.
$ A warrior will also flee at the mere sight of an enemy if their morale is below 5.

When a warrior is part of a squad, their mood, and therefore the likelihood of retreat, is influenced by additional factors:
$ While the commanding lord is alive, they provide a significant mood bonus based on their <hint=hint_skill_command>Command</hint> skill. <b>This is one of the key factors for success.</b>
$ The loss (death, unconsciousness, or retreat) of an enemy commander and the fleeing of enemy warriors increase the mood.
$ On the other hand, the loss of the squad commander or the fleeing of friendly warriors decreases the mood."
hint_damaged,"Disfigured
Strongly reduces the <hint=hint_interest>interest</hint> from the opposite sex."
hint_bleeding,"Bleeding
Typically occurs as a result of <hint=hint_wounds>wounds</hint> caused by cutting or piercing weapons.

Instances of minor bleeding add up, turning into moderate and then severe bleeding, which can culminate in <hint=hint_death>death</hint>.

The character can apply self-treatment or help others using improvised means to stop the bleeding.
{optional_hemophilia}"
hint_uncons,"Loss of Consciousness
A character loses consciousness if their cumulative <hint=hint_pain>pain</hint> exceeds their <hint=hint_pain_level>pain threshold</hint>, or as a result of a blow from a <hint=hint_resource_wooden_hammer>mace</hint>.

After some time, the character will regain consciousness.

Other characters will try to carry the unconscious character back home."
hint_tantrum,"Nervous Breakdown
A lord loses control over their behavior and starts acting dangerously toward others and themselves. It can range from mild forms such as binge drinking to severe forms like suicide.

<img=hint_tantrum></img>

The type of nervous breakdown often depends on how unhappy the lord is, but every character's first breakdown will be mild.

In any case, during a nervous breakdown, you lose control over the character, and they stop performing your tasks.

As a result of a nervous breakdown, the character may gain <hint=hint_insight>insight</hint>."
hint_determination,"Burst of Resolve
When a character is consumed by an <hint=hint_desire_obsession>obsession</hint> and is unable to fulfill it, they may attempt to fulfill it by force. This can be dangerous for both the character and those around them."
hint_contagios,"Contagious Diseases
Some diseases can be transmitted from one character to another, causing epidemics. Examples of such diseases include <hint=hint_sifilis>syphilis</hint>, the <hint=hint_plague>foul plague</hint>, and <hint=hint_fury>pale rabies</hint>.

Generally, the larger the population of a city, the more interactions occur, increasing the likelihood of an epidemic."
hint_sifilis,"Syphilis
An infectious disease that is primarily transmitted through sexual contact.

Within a few days of infection, it leads to the development of scars, baldness, and internal bleeding.

Using <hint=hint_resource_med>Medical Salve</hint> has a 10% chance of curing the disease, so treatment usually requires a prolonged course."
hint_plague,"Foul Plague
This is an extremely dangerous and contagious disease that leads to death.

$The disease lasts for several days, and daily use of <hint=hint_resource_med>Medical Salve</hint> is required to avoid quick death.
$ The infected individual emits a strong foul odor, hence the name of the disease.
$ It is transmitted through lice, making characters with <hint=hint_vshi>lice</hint> the carriers of the plague.
$ Outbreaks often occur in places where large groups of people gather, such as groups of homeless in <hint=hint_bld_temple>Temples</hint>."
hint_vshi,"Lice
Tiny insects that cause discomfort and itching.

The worst part is that they can carry the <hint=hint_plague>foul plague</hint>, so characters with lice can become carriers of the disease.

Lice can be eliminated by washing in the <hint=hint_bld_bath>Bath</hint>."
hint_fury,"Pale Madness
A disease characterized by dreadful scars on the face, forcing the afflicted to wear masks.

Additionally, the disease affects consciousness, increasing aggression and the likelihood of <hint=hint_persons_peasant>peasants</hint> transitioning into <hint=hint_persons_criminal>vagabonds</hint> or <hint=hint_persons_forest_bandits>forest bandits</hint>.

This disease is incurable, but eventually resolves on its own. Its symptoms can be alleviated by consuming <hint=hint_resource_nectar>Nectar</hint>."
hint_unholy_horde,"The Unholy Horde
An extremely aggressive and dangerous people who follow the heresy of the <hint=hint_dead_god_herecy>Dead God</hint>.

<img=hint_unholy_horde></img>

$ The Horde gathers every 5 days and attempts to completely burn down the nearest settlement. After their victory, the surviving warriors terrorize the neighboring lands.
$ Horde warriors are armed with axes and have very high combat skills, but they wear no armor.
$ There is no negotiating with the Horde.

After <hint=hint_cainism>Cainism</hint> was defeated within the New Kingdoms during the <hint=hint_fire_war>War of Sacred Flame</hint>, the <hint=hinr_prophet_michail>prophet Michael</hint> was banished beyond the civilized kingdoms, where he continued to preach his heresy outside society. The tribes embraced the Dead God and have grown significantly stronger in recent years.

Now, they are ready to bring death and destruction to all of Norland, as their faith demands."
hint_cainism,"Cainism
A heretical doctrine from the late era of the <hint=hint_crimson_empire>Crimson Empire</hint>.

While the teachings of Mother Sophia consider her brother Cain as the first murderer and an evil antagonist against her benevolence, Cainists claim instead that Cain was the benevolent god, who stood against Sophia's dominion and perished at her hands while defending humanity from her oppression.

Cainists consider the strength of human will as the primary virtue and reject many of the moral norms of Mother Sophia's teachings.

Originating on the outskirts of the Crimson Empire, Cainism was spread by <hint=hinr_prophet_michail>the prophet Michael</hint>, who claimed to have received revelations from the dead god Cain and wrote the <hint=hint_secret_book_of_dead>Secret Book of the Dead</hint>. As a result of the subsequent War of Sacred Flame, Cainism was destroyed, and Michael was exiled, after which his trail was lost.

However, the empire could not withstand the forty years of devastating religious war, and it disintegrated into numerous <hint=hint_new_kingdoms>New Kingdoms</hint> ruled by <hint=hint_noble_house>noble houses</hint>. This is the state in which Norland finds itself today."
