Key,TraditionalChinese
hint_tech_polite_trade,"知識
君王彼此交易時，可加倍影響正面想法。"
hint_tech_sin_mind_reducer,"知識
可降低一半罪惡導致的負面想法。"
hint_tech_common_good,"知識
可減半恐怖想法的持續時間。"
hint_tech_joy_of_education,"知識
來訪的貴族很樂於免費教育你的貴族。"
hint_learn_no_teacher,"無可用的良師
目前城邦中所有貴族的能力程度尚不足以增加此貴族的能力

試試看從世界地圖尋找導師。"
hint_learn_low_skill,"能力程度過低
此人物的能力程度過低，尚無法教導新事物。"
hint_no_paper,"紙張不足
你需要 <hint=hint_resource_paper>{paper_number}</hint> 來製作一本書籍。"
hint_no_library,"無藏書閣
建造一間藏書閣供貴族使用，以便貴族有空間進行知識相關活動。"
hint_no_actors,"無貴族
目前尚無貴族可執行此項任務。"
hint_no_house_for_book,"無可用住宅
建造一間<hint=hint_bld_noble_house>住宅</hint>以提供貴族學習知識的空間。"
hint_no_smart_enough,"缺乏所需智慧
此貴族擁有的<hint=hint_skill_knowledge>智力</hint>能力過低，故無法使用此項知識。

$要使用<b>灰</b>階知識，需擁有 3 以上的能力。
$要使用<b>綠</b>階知識，需擁有 9 以上的能力。
$要使用<b>紫</b>階知識，需擁有 13 以上的能力。"
hint_no_dialect,"不諳此種語言
此貴族不諳{dialect_name}語言，故無法使用此項知識。"
hint_cant_build_need_book,"技術
要建造此建築，需於<hint=hint_holy_caravan>聖商隊處取得一本書籍，並在「知識」選單中加以研讀。"
hint_cant_build_read_book,"技術
要建造此建築，貴族之一需研讀相應<hint=hint_idea>知識</hint>才可完成。

<b>提示：</b>所需書籍已在藏書閣中，透過「知識」選單指派貴族加以研讀。"
hint_cant_build_limit_reached,"已達上限
已達此建築的建造上限。"
hint_cant_upgrade_building_need_knowledge,"技術
要升級此建築，貴族之一需研究相應<hint=hint_idea>知識</hint>才可完成。"
hint_building_prefer_slaves,"指派囚犯
指派<hint=hint_persons_slave>囚犯</hint>為工人。囚犯較其他工人多勞動 3 小時，因此產能可顯著提升。

[hint_priority_workers]"
hint_building_prefer_drugs,"指派蜜露成癮者
指派<hint=hint_addict>蜜露成癮者</hint>為工人。

蜜露成癮者較一般工人動作快速（產量加成 <b>+30%</b>）。

[hint_priority_workers]"
hint_building_prefer_loyalist,"指派忠誠派
指派<hint=hint_loyalist>忠誠派</hint>為工人。

忠誠派較一般工人勤奮，產能可加成 <b>+30%</b>。

[hint_priority_workers]"
hint_building_prefer_culture_gwelts,"指派凱登人
指派<hint=hint_culture_gwelts>凱登人</hint>為工人。

凱登人的傳統工藝讓他們在武器和防具鍛造廠的效率高 20%。

[hint_priority_workers]"
hint_building_prefer_culture_tanaya,"指派塔納雅人
指派<hint=hint_culture_tanaya>塔納雅人</hint>為工人。

塔納雅人的傳統工藝讓他們在造紙的效率高 20%。

[hint_priority_workers]"
hint_building_prefer_culture_makha,"指派瑪哈人
指派<hint=hint_culture_makha>瑪哈人</hint>為工人。

塔納雅人的傳統工藝讓他們在熬製藥劑和製作工具的效率高 20%。

[hint_priority_workers]"
hint_building_prefer_culture_voruns,"指派瓦恩人
指派<hint=hint_culture_voruns>瓦恩人</hint>為工人。

塔納雅人的傳統工藝讓他們在農業的效率高 20%。

[hint_priority_workers]"
hint_building_every_day_inspection,"每日視察
貴族將會每天視察。"
hint_building_any_lord,"任何貴族
如視察已結束（但仍指派此貴族），將首先由官邸的職員執行，之後如可能的話，將由其他視察任務數最低的貴族執行。"
hint_cant_build_no_castle,"無莊園大廳
若要建造其他建築，需先為貴族建造一座莊園大廳。"
hint_clerk_button,"管理
來自<hint=hint_bld_chancellery>官邸</hint>的職員將分派指令給工人。

{bonus_info}

官邸提供生產：{number}/{limit}"
hint_clerk_button_unavailable,"無法進行
所有職員皆忙碌中或官邸目前並未運作。"
hint_chancellery_any,"任何官邸
此建築將能第一時間視察任何<hint=hint_bld_chancellery>官邸</hint>。"
hint_action_task_unavailable_no_executors,"無法行動
目前沒有執行人可執行此行動。"
hint_army_returned_from_global_map,"部隊已回歸
戰利品：
{loot}"
hint_hired_bandits_returned_from_global_map,"戰利品：
<center>來自{faction_uuid}</center>
{loot}"
hint_faction_relations_deadly_enemy,"致命死敵
關係值為 <red>-50</red> 以下。

除了其他敵對行動，這代表<hint=hint_agression>突襲</hint>的可能性。"
hint_faction_relations_enemy,"死敵
關係值介於 <red>-25</red> 至 <red>-50</red>

表示可能對彼此的村莊和城邦發起武裝軍事行動，嘗試利用附庸關係、勒索、暗殺與劫持達成征服。

由於為仇敵狀態，其他鄰邦或國母將不會譴責此種敵對行動。"
hint_faction_relations_opponent,"有敵意
關係值介於 <red>-15</red> 到 <red>-25</red> 之間。

有敵意的鄰邦開始用詭計對付你；他們會賄賂你的貴族、雇用<hint=hint_persons_cuthroat>刺客</hint>來執行搶劫或劫持人質等強取豪奪的惡行，但不會有戰鬥行為出現，因為並非開戰。"
hint_faction_relations_neutral,"中立
和鄰邦關係為中庸，有些行動可行，有些不行。"
hint_faction_relations_buddy,"志同道合
關係還算不上友好，但有些行動例如簽訂貿易合約、聯姻和邀請結盟逐漸可行。"
hint_faction_relations_friend,"友邦
關係值為 <green>25</green> 及以上。友好程度提供了額外交流的可能性，像是得以邀請貴族來訪。"
hint_battle_squad_order_no_orders,"無指令
部隊目前未收到任何指令。"
hint_battle_squad_order_moving,"行徑
部隊正往指定地點移動中。"
hint_battle_squad_order_attack,"攻擊目標
部隊將於靠近目標時緊跟不放且開始戰鬥。"
hint_battle_squad_order_ambush_prepare,"蓄勢待發
部隊準備攻擊城邦。"
hint_battle_squad_order_breakdown,"瓦解建築
部隊會攻進建築內予以摧毀。"
hint_battle_squad_order_burning,"火燒建築
部隊會攻進建築內放火焚燒。注意：火勢可能延燒到相鄰建築！"
hint_battle_squad_order_robbery,"掠奪建築
部隊會掠奪建築內的倉庫，敵方殺死或俘虜部隊的戰士後即可復原擄獲的財寶。"
hint_battle_squad_order_in_battle,"作戰
部隊開始與敵軍作戰，要等作戰結束才能直接控制部隊。"
hint_books_in_inventory,"物品欄中的書籍
{books}"
hint_king_role_strong_supporter,"崇尚力量
$尊敬軍隊規模比自己大兩倍以上的統治者
$蔑視軍隊規模小於自己兩倍的統治者。"
hint_king_role_trader,"務實者
$對擁有的聖戒數量比自己多兩倍以上的鄰邦態度良好
$對擁有的聖戒數量比自己少兩倍以上的鄰邦態度惡劣。"
hint_king_role_religious,"信仰虔誠
$尊敬虔誠的君王。
$厭惡持懷疑論的君王。"
hint_king_role_order_supporter,"捍衛秩序
$厭惡容許林中劫匪駐於領地的君王以及與劫匪交流者。
$欣賞搗毀劫匪巢穴的人。"
hint_king_role_suggestable,"易受影響
$ 比起其他君王，對其朋友的敵人加倍蔑視。"
hint_king_role_liberator,"解放派
$厭惡人口組成中五成或五成以上為囚犯的君王。
$欣賞手下毫無囚犯的統帥。"
hint_king_role_lick,"平等主義派
$鄙視宗主國且同情附庸國。"
hint_king_role_scientist,"學者
$尊崇智力能力高於他的君王。"
hint_knowledge_how_to_unlock,"未解鎖
{optional_description}
{optional_culture}

{optional_lock_condition}"
hint_social_relation_filter,"篩選
<bcenter>{filter}</bcenter>"
hint_building_production_average,"平均產量
顯示一名工人可生產的量，假定管理的貴族擁有<hint=hint_skill_management>管理</hint>能力值為 10，且工作地點與<hint=hint_bld_store>倉庫</hint>有段距離，通勤時間約為一小時（因此純工時約 7 小時）。

以<hint=hint_bld_woodcutter>伐木場</hint>和<hint=hint_bld_forester>採藥者</hint>來說，也必須考慮到伐木區和採收區的距離，而此距離隨採集資源狀態而改變。

此計算也並未計入<hint=hint_persons_slave>囚犯</hint>、<hint=hint_addict>蜜露成癮者</hint>和<hint=hint_loyalist>忠誠派</hint>的加成。"
hint_building_construction_average_production_inline,"~
一名工人<hint=hint_building_production_average>可</hint>生產：
$ {average_production_resource}"
hint_building_construction_average_production_inline_farm,"~
三名工人<hint=hint_building_production_average>可</hint>生產：
$ {average_production_resource}"
hint_scenario_no_scenario,"基礎劇本
你的新王室目前表現平凡，但天知道未來會有何種劇本等著你呢？"
hint_scenario_nectar_slaves,"痛「癮」蜜露
你的家族染上了蜜露毒癮，你的所有貴族和 20 位庶民一心只想狂飲蜜露，你是否能凝聚他們的意志力且將癮頭轉為你的優勢呢？

沒錯，這項有害嗜好一開始是有幾項益處——你的藏書閣收有煉金術與蜜露產物的書籍。"
hint_scenario_path_of_sword,"劈荊斬棘
你的家族受到一名被放逐的私生子統治，為求生存，已學會捍衛自己，並集結了一支像樣的軍隊。

也有不少武器可供使用，但不幸的是，上一次的行動中食物已消耗殆盡，木材和其他資源也丟失了。

<b>這對資深玩家來說是項額外的挑戰。</b>"
hint_scenario_deserters,"逃兵流寇
遊戲開場就是一大群來自上一次大戰的流亡劫匪，極其難以對付。

<b>這對資深玩家來說是項額外的挑戰。</b>"
hint_scenario_juice_of_life,"生命瓊漿
你所有的起始貴族都患有血友病；一旦受傷即血流不止，因此任何傷勢都是致命傷。

你是否能在這種疾病下存活呢？存活在鮮血幾乎日日流淌著的諾蘭德世界？

<b>這對資深玩家來說是項額外的挑戰。</b>"
hint_scenario_to_the_touch,"瞎子摸象
你所有的王室家族成員天生患有<hint=hint_blindness>盲疾</hint>。

展現卓越的管理能力和機警，讓你的所有鄰邦見識一下真正的偉大吧。

<b>這對資深玩家來說是項額外的挑戰。</b>"
hint_scenario_path_of_hammer,"匠人精神
你的貴族工藝一流，聲名遠播，但拙於商賈。

你開場即擁有鍛造和武器的書籍，但你阮囊十分羞澀。"
hint_scenario_captured_wife,"營救俘虜
劫匪最近襲擊了你剛建起的領地，俘虜了己方一名貴族家族成員。

盡快去解救被俘的成員！"
hint_scenario_slave_owner,"囚徒領主
你的家族向來倚靠囚徒的勞力撐起經濟。

你啟用囚徒而非庶民。"
hint_mutator_wave_fanatism,"狂信浪潮
膜拜聖母索菲亞的浪潮已推至最高，整個世界已陷入狂熱。

所有即將前來你的領地的移民都是狂熱信徒。"
hint_mutator_after_war,"戰後餘波
持久戰帶來諸多後果，其中之一是林中劫匪的戰鬥能力及武器裝備皆大大提升，因爲當中諸多曾為戰士。"
hint_mutator_decline_of_trade,"貿易衰退
危機總會先打擊貿易。近期一波疫情造成貿易程度低落，復甦跡象也並不明朗，最好還是自立自強。

聖商隊抵達的機率只有 25%，但每隔不出 5 天他們就會出現。"
hint_mutator_power_of_crowd,"人多勢眾
庶民和囚犯已有覺悟只有自己最能保護自己。

因此，所有移民與囚犯開場即有 5 到 10 的戰鬥能力。"
hint_mutator_fast_metabolism,"疾速代謝
人物壽命將以兩倍速發展：遊戲裡一天相當於一年壽命（預設為一年壽命等於遊戲中兩天）。

亦會加速經驗值的獲取及其他部分進程。"
hint_crisis_horde,"孽惡部族
開局後不久，<b>孽惡部族</b>將顯現於地圖上，這是一群在所到之處燒毀所有城邦的棘手敵人。

這支部族無法談判，你只能擊敗他們或盡力<b>活過 {duration_days} 天</b>，在這之後，他們即會自行消失。

集結你的鄰邦聽從你號令，或藉由貿易與保衛盟邦使他們更強大——又或是祈禱你不會成為孽惡部族的目標。

<b>提示：</b>選擇起始領地時，記得<b>孽惡部族會出現在西北方的森林</b>，因此越接近此區，你將越身入險地。"
hint_crisis_no_crisis,"沒有危機
在沒有危機發生的地方玩一場自由的遊戲吧。"
hint_ambition_conquer,"志向
<b>征服者</b>
你的統治者已宣示他將於在位期間併吞 <b>{vas_num} 個附庸或聯盟省邦</b>為<hint=hint_tutorial_states>州省</hint>。

當前進度：<b>{progress}%</b>"
hint_ambition_gain_population,"志向
<b>人丁興旺</b>
你的統治者已宣示其在位期間，你的省邦人口將達到 <b>{pop_num} 人。</b>

目前進度：<b>{progress}%</b>"
hint_ambition_produce_goods,"志向
<b>經濟繁榮</b>
你的君王已宣示，他在位期間，每日物產量將達到 <b><hint=hint_resource_gold>{prod_num}</hint></b>。

目前進度：<hint=hint_resource_gold>{current_gold}</hint><b> <b>({progress}%)</b>"
hint_dark_order_action_stolen_books_list,"失竊書籍：
{list}"
hint_culture_gwelts,"凱登人
曾為鎮守<hint=hint_crimson_empire>緋紅帝國</hint>邊界的蠻族。尚武的凱登人極其重視榮譽與戰鬥勇氣，族內歌謠多歌頌英勇戰績與英雄氣概，物質文化相當簡樸且清心寡慾。

$ 重視：<hint=hint_kaiden_views>強健</hint>
$ 排外情結：<hint=hint_kaiden_xenophobia>瓦恩</hint>
$ 知識：<hint=hint_kaiden_knowledge>軍事</hint>"
hint_culture_tanaya,"塔納雅人
曾為相當優秀的一族，且為<hint=hint_crimson_empire>緋紅帝國</hint>的建立者，塔納雅人後期過度沉浸教義，遂逐漸沒落。然而，他們仍保有諸多舊有帝國文化，從有條不紊的官僚體制到與<hint=hint_sofia_cult>神愛之家</hint>的特殊連結，支撐著他們度過與鄰邦間的衝突。

$重視：<hint=hint_tanaya_views>密謀</hint>
$排外情結：<hint=hint_tanaya_xenophobia>瑪哈</hint>。
$ 知識：<hint=hint_tanaya_knowledge>官僚制度、煽動人心及宗教信仰</hint>。"
hint_culture_makha,"瑪哈人
諾蘭德世界最古老的文明種族，首創城邦、哲學與國際貿易關係；瑪哈人的存在長期淹沒於更加進取的塔納雅人之下，且數百年來人口持續下降。瑪哈人為哲學家與懷疑論者，思考實際且偏重金錢與世俗上的安逸遠勝其他價值。<hint=hint_sofia_cult>神愛之家</hint>對瑪哈人心有疑慮，認為他們隱含未知論的文化深處埋有異教種子。

$重視：<hint=hint_makha_views>貿易</hint>
$排外情結：<hint=hint_makha_xenophobia>塔納雅</hint>
$ 知識：<hint=hint_makha_knowledge>課本與藥劑</hint>"
hint_culture_voruns,"瓦恩人
諾蘭德中央平原的原住民，在帝國的擴張下，瓦恩人曾被迫退居東方；他們孤立且排外的文化使得他們不像其他原生族裔受帝國同化，瓦恩人擁有諾蘭德大地的古老知識，尋求一條與生物界和眾鄰邦和諧共處的獨特路徑。

$重視：<hint=hint_varns_views>和平</hint>
$排外情結：<hint=hint_varns_xenophobia>凱登</hint>
$ 知識：<hint=hint_varns_knowledge>大自然</hint>"
hint_nt_terror_culture,"文化恐怖
劊子手開始抓捕你所選擇的文化族群成員，並在<hint=hint_bld_scafod>行刑台</hint>上予以懲戒。

$此舉將威懾來自你領地的族群移民好幾天。
$在留下來的族群成員之中引起恐怖。
$帶給厭惡他們的族群喜悅吧（例如凱登人將樂見於瓦恩人的恐怖行動）。"
hint_nt_culture_rage,"大屠殺
當某一族的庶民<hint=hint_nt_unhappy>不滿</hint>時，他們有可能對他們習慣怪罪的文化族群成員進行屠殺。

有幾種方法可以改善族群成員的不滿，例如執行他們認可的行動，或推行他們厭惡的<hint=hint_nt_terror_culture>文化恐怖</hint>。"
hint_nt_character_assimilated,"改變文化
在受權威影響的教育過程中，貴族的文化價值觀會改變，來符合導師的立場。"
hint_nt_culture_migration_increase,"戰爭後果
相鄰領地的{faction_uuid}發生戰事之後，來自那裡的移民增加，難民屬於<b>{culture}</b>文化。

聖商隊將販售<b>{recource}</b>，一種領地以<b> 2 倍價格</b>頻繁交易了數日的資源，反映出戰爭下的經濟影響。

後果將持續<b> 3 天</b>。"
hint_city_on_the_map,"~
<b>總覽</b>
$人口：{pop}
$ 城邦預算：<hint=hint_resource_gold>{budget}</hint>

<b>移民組成</b>
$ 成年貴族：{lords}
$燒毀的村落：{burned_villages}
$ 每日抵達總數：{mig_max} 庶民

<b>經濟</b>
${pop} 人每日生產：<hint=hint_resource_gold>+{sum}</hint>
$ 每日投入軍隊：<hint=hint_resource_gold>-{sum_army}</hint>
$ 軍隊維護：<hint=hint_resource_gold>-{sum_army_support}</hint>

<b>軍隊</b>
{army_list}

<b>知識清單</b>
{knowledge_list}"
hint_tech_prisoners,"技術
通常帶有俘虜的軍隊移動速度會慢 50%，此項知識會消除本限制。"
hint_tech_war_logistic,"技術
軍隊移動速度增加 {percent}%

移動速度加成無法累積；系統會選擇最高加成。"
hint_display_event_communication_lost,"失去交流
你不再與{faction_uuid}領地共享邊界，這表示所有關係皆已終結。

如對方為你的附庸或盟友，表示相關協定不再生效。"
hint_display_event_help_arrived,"援兵抵達！
來自{faction_uuid}的{soul_uuid_king}已派遣部隊前來協助你應戰。

戰士將留在你的領地直到戰爭結束或透過其他方式解除危機為止。"
hint_building_workplace_priority,"優先
如開啟建築的優先維護功能，在缺乏工人的狀況下，會優先指派工人到該建築。"
hint_building_upgrade_button,"升級
$ 額外工作名額
$ 總生產量提高 {effect_add}%"
hint_tech_poisoner,"毒藥的秘密
人物獲得<hint=hint_trait_poisoner>投毒者</hint>特質，得以熬製並使用毒藥。"
hint_action_task_poison_unavailable_no_performers,"無法進行
你沒有人物擁有<hint=hint_trait_poisoner>投毒者</hint>特質，無法進行此動作。

<b>提示：</b>習得煉金實驗室的知識然後取得<hint=hint_tech_poisoner>毒藥的秘密</hint>來打造一個投毒者人物；建議此人物要擁有高等級的<hint=hint_skill_knowledge>智力</hint>能力。"
hint_matriarch_bishop_not_arrived,"~
只要<hint=hint_sofia_cult>教會</hint>認為你的城邦太小，不足以派遣<hint=hint_bishop>主教</hint>前來，國母就仍舊對你的內務一無所知。"
hint_building_prefer_noone,"無優先偏好
隨機的自由工人將受聘於此建築，無任何優先偏好。"
hint_building_prefer_all,"自動指派
將自動聘僱能優先提供最大產能加成的工人於此建築"
hint_building_sent_production,"即刻發送
所有目前就緒的材料將立即傳送到倉庫，但此動作將分散工人的產能。"
hint_building_destroy,"摧毀
完全解體建築，此動作會立即發生。"
hint_building_replace,"搬遷
將建築搬遷至新地點。"
hint_building_fire_all,"暫停工事
建築工事會暫停，倉庫會清空，而工人會移動至其他生產活動。"
hint_building_appoint_inspector,"指派管理者
指派一名建築管理者開始工作。"
hint_building_appoint_preach,"佈道
指派一名貴族為牧師並選擇一項佈道。"
hint_building_priority_build,"優先營建
建築工人會優先建造此建築。"
hint_building_pause_buiding,"暫停營建
暫停建造，等待下一步指令。"
hint_building_resume_buiding,"繼續營建
工人會繼續建造此結構。"
hint_building_discard_building,"取消營建
營造建築將取消進行，分配至營造的資源將回到倉庫。"
hint_display_event_low_loyalty,"低忠誠度
低忠誠度（25 以下）會導致人物離開投靠其他王室家族，如果人物為王儲，則會開始造反。

忠誠度顯示於「人物」選單（王冠圖示）中，將游標停在王冠旁的忠誠度數字上，看看最近改變的情況和原因。

<b>提示：</b>可透過獎勵或威脅貴族（君王的動作）快速提高忠誠度。"
hint_building_repair_button,"修復
恢復此建築的功能。"
hint_army_menu_card_mercenary,"傭兵
身經百戰的戰士可以立即為你而戰。

聘僱傭兵的時間長度是 {knight_duration_days} 天，之後傭兵就會離開你的領地（但是可以再次聘用）。

$ 他們要花一或兩天抵達你的領地。
$ 聘僱時不附裝備，所以派他們出戰前要記得提供裝備。"
hint_army_menu_card_dummy,"庶民
最脆弱且最怯懦的戰士。

$ 在聘雇後，他們會因為害怕死亡而產生強烈的負面想法，進而導致<hint=hint_moral_level>勇猛閾值</hint>降低
$ 他們將需要花時間在<hint=hint_bld_training_ground>訓練場</hint>增加戰鬥能力，才能派上用場。"
hint_army_menu_card_fanatic,"狂熱信徒
有宗教狂熱傾向的庶民進入宗教狂喜狀態後不會感受到受傷的疼痛。這會提升他們的<hint=hint_moral_level>勇猛門檻值</hint>，所以他們很少逃離戰場。

然而他們只願意為受到祝福的君王而戰。

<b>提示：</b>在你的君王「人物」選單（主教區）選擇「祝福」，看看教會對此項服務的要求為何。"
hint_army_menu_card_loyalist,"忠誠派
忠誠派庶民隨時準備好要捍衛家園，所以他們不懼死亡。

此外，他們在戰鬥時份外激昂，而且如果他們的部隊由君王親自指揮，他們就不會投降或逃跑。"
hint_army_menu_card_slave,"釋放囚犯
囚犯之中有資深戰士。

$ 聘僱之後，他們會因為害怕死亡而產生強烈負面想法，導致<hint=hint_moral_level>勇猛門檻值</hint>降低。
$ 若當過劫匪（刀子圖示），則會因為需要服從指令而產生負面想法，但這類人的戰鬥能力較為出色。
$ 被釋放的囚犯再也無法成為囚犯。"
main_menu.tutorial_offer,"~
《諾蘭德》為一款設有諸多新機制的複雜遊戲。

我們極其推薦新手玩家接受我們簡短的教學後再開始，之後即可採用適合初學者的設定繼續遊玩。"
hint_nt_build_library,"營建藏書閣
要從書籍取得新知識，必先建造藏書閣。"
hint_family_editor.hard_culture,"注意！
聖母索菲亞教會的國母並不喜愛此文化族群的君王。

建議由熟悉教會情勢的資深玩家進行。"
hint_nt_retrieve_bishop,"主教
主教會離開領地，因為與<hint=hint_relations_matriarch>國母</hint>的關係值已跌落至 <red>-50</red> 以下"
hint_production_product_requirement,"標題
開始生產{product}"
hint_nt_holy_family_below_zero,"和國母關係惡劣
由於你最近所做的行動，你<hint=hint_relations_matriarch>和國母的關係值</hint>已降為 0 以下。

若進一步惡化將導致聖商隊禁運某些貨品，之後為完全禁運，最終為受到<hint=hint_church_curse>教會的詛咒</hint>。

要恢復關係值：
$改善你君王與主教的關係值（高於 <green>+25</green>，最好是高於 </green>+50</green>）。
$透過在教堂佈道增加狂熱信徒的數量。
$在世界地圖上行善（例如：摧毀劫匪營地）。"
hint_cant_relocate_no_wood,"資源不足
重新配置此建築需要 <hint=hint_resource_wood>{wood_count}</hint>。"
hint_display_event_lord_seduced,"貴族受到誘惑
{soul_uuid_1}已受到你鄰邦的某人誘惑。{soul_uuid_1}的<hint=hint_loyalty>忠誠度</hint>岌岌可危，如降至 <red>{threshold}</red> 以下，貴族即可能離去。

<b>提示：</b>要修復忠誠度，君王可送貴族聖戒當禮物或是予以威脅；為完全防止自己遭受此等暗算，要讓貴族興高采烈在你手下，這樣他們才能成為<hint=hint_loyalist>忠誠派</hint>，不受賄賂或誘惑。

貴族墜入情網後即無法受到勾引。"
hint_display_event_player_lord_captured,"貴族遭俘
一名貴族遭到俘虜，受到囚禁。"
hint_family_editor.age,"年齡
隨劇情發展，年齡會隨著人物獲得的能力程度自動增長，人物經歷越多，他們就越加成長。"
bishop_actions_category_unavailabe,"無法進行
國母認為你的莊園人口太少，所以主教尚未前來。

要讓主教對你產生興趣，人口需大於 <b>{population}</b>。

另外，如你的君王與<hint=hint_relations_matriarch>國母</hint>的關係值低於 <red>{opinion}</red>，主教也不會前來。"
bishop_actions_category_unavailabe_2,"沒有主教
當你的君王與<hint=hint_relations_matriarch>國母</hint>的關係值高於 <red>{opinion}</red> 時，新主教才會出現。"
hint_new_game_faction_temperament_peaceful,"祥和
此省邦的君王治世祥和，避免與鄰邦間的征戰與衝突。"
hint_new_game_faction_temperament_default,"正常
此省邦的君王追求典型政策，偶而會與鄰邦發生衝突，有時也會作風強硬。"
hint_new_game_area_info,"~
<center>領地資源：</center>
{optional_resources}

<center>村落資源：</center>
{optional_village_resources}"
hint_church_curse,"教會的詛咒
國母與君王關係值降至 <red>-50</red> 以下時，國母施加於君王的詛咒。

不要知道會發生什麼事比較好……"
hint_tech_kaiden_army,"標題
受僱從軍的庶民產生對「死亡的恐懼」的想法強度減半。"
hint_tech_makha_trade,"標題
鄰邦君王願意與你交易的所需關係閥值降低為 <red>{trade_threshold}</red>。"
hint_tech_makha_fanatic_terror,"標題
對狂熱信徒的恐怖打壓不會有負面後果。"
hint_tech_econom_writing,"標題
官邸運作所需的紙張減少三倍。"
hint_tech_faith_defender,"標題
<hint=hint_tutorial_church_tax>戰士稅</hint>將會減少 {percent}%。"
hint_tech_kaiden_training,"標題
戰士在練武場訓練的效率增加 {bonus}%。"
hint_tech_kaiden_loyalist,"標題
一旦成為<hint=hint_loyalist>忠誠派</hint>，人物就永遠不會改變。"
hint_tech_makha_secret_deals,"標題
與林中劫匪進行交易（如購買囚犯與偷竊聖戒）不會影響你和鄰邦間的關係值。"
hint_incompatible_trait,"不相容的特質
無法選擇此特質，因為此特質與已選定的特質無法相容。"
hint_holy_protection,"神愛之家的庇佑
為了諾蘭德世界的和諧，以及聖母索菲亞對所有新舊教徒的恩典，<hint=hint_synode>神愛之家</hint>禁止欺凌年輕與正義的王室。

這表示守護期間鄰邦不會發起綁架、戰爭和謀害。
{optional_remove_by_population}

然而，如你先對鄰邦發起<red>侵略行動</red>，<b>守護即失效</b>。"
hint_display_event_holy_protection_removed_by_agression,"神愛之家的庇佑已經消失！
<hint=hint_synode>神愛之家</hint>認為你的侵略行動顯示你的王室家族不再需要他們守護。

現在，其他家族可能會對你發起侵略行動。

確保你有一支剽悍的軍隊吧。"
hint_display_event_holy_protection_will_removed_by_population,"神愛之家的庇佑即將消失！
<hint=hint_synode>神愛之家</hint>通知你，你的領地人口已達 {population_threshold}，{remain_days} 天內，他們將撤回守護。

此後，關係值低於 <red>-15</red> 的鄰邦將能對你發起侵略行動，包括綁架、暗算、脅迫成為附庸等等。

確保屆時你和一些有力家族關係良好，並有一支剽悍軍隊吧。"
hint_display_event_holy_protection_was_removed,"神愛之家的庇佑已經消失！
<hint=hint_synode>神愛之家</hint>通知你，他們要撤回守護，他們警告過你了。

現在，關係值低於 <red>-15</red> 的鄰邦可以對你發起侵略行動，包括綁架、暗算、脅迫成為附庸等等。

確保你有一支剽悍的軍隊吧。"
hint_display_event_holy_protection_pop_add,"~

通常神愛之家會在領地達到 {population_threshold} 時（包括戰士、貴族、庶民和囚犯）<b>移除守護</b>。"
hint_display_event_swede_typh_allowed,"洋蕪菁熱
長期栽種洋蕪菁導致了洋蕪菁退化，現在食用可能導致感染一種新疾病，被稱為「洋蕪菁熱」。

可能的話，用麵粉和肉餵食你的子民，把洋蕪菁留著餵豬或是飢荒備用。"
hint_encyclopedia.mode.disabled,關閉
hint_encyclopedia.mode.default,僅限標頭
hint_encyclopedia.mode.with_popups,完整協助
hint_loyalty_with_log,"忠誠度
<hint=hint_loyalty>忠誠度</hint>顯示貴族對<hint=hint_persons_king>君王</hint>的忠心程度。忠誠度低於 <red>25</red> 時，貴族可能會離開領地或是開始叛亂。
{optional_loyalty_log}"
hint_loyalty_with_log_captive,"俘虜的忠誠度
顯示貴族對你的君王有多忠誠；忠誠度提高至零以上，俘虜一經釋放即不會離開。

{optional_loyalty_log}"
hint_mood_with_reasons,"心情
顯示人物的幸福度；數值若至 <red>25</red> 以下，貴族將拒絕執行你的命令並陷入憂鬱，可能進而導致精神崩潰。
{optional_mood_reasons}"
hint_kaiden_views,"凱登人的價值觀
凱登人會因君王在世界地圖上採取軍事行動而開心。"
hint_kaiden_xenophobia,"凱登人的排外情結
數世紀以來，瓦恩人不斷侵擾帝國洗劫財物，凱登人則頑強抵抗，民謠與俗諺道盡此延續世代的衝突。瓦恩人無法取信於凱登人，凱登人不齒瓦恩人並視他們為蠻族。

$凱登人心有不滿時便會攻擊瓦恩人。"
hint_kaiden_production,"凱登人的傳統技能
凱登庶民自幼舞刀弄槍，故他們在武器鍛造廠、防具鍛造廠和製弓坊的工作效率更為傑出。"
hint_kaiden_knowledge,"凱登人的知識
凱登語的書籍自然而然以武器、武術和忠誠度為重心。"
hint_tanaya_views,"塔納雅人的價值觀
塔納雅人會因君王在世界地圖上進行不法勾當、賄賂與誘惑而開心。"
hint_tanaya_xenophobia,"塔納雅人的排外情結
貪婪的多嘴瑪哈人已偏離聖母的正道，並恬不知恥地醞釀了異教邪說侵蝕塔納雅人幾世紀以來打造的一切。

$塔納雅心有不滿時便會攻擊瑪哈人。"
hint_tanaya_production,"塔納雅人的傳統技能
塔納雅庶民向來擁有高識字率，這是他們造紙時產能加成的原因。"
hint_tanaya_knowledge,"塔納雅人的知識
塔納雅語的書籍強調善用密謀與宗教而非殘酷暴力。"
hint_makha_views,"瑪哈人的價值觀
瑪哈人會因君王與鄰邦簽訂貿易合約而開心。"
