Key,Russian,English,Comments,Timestamp,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
building.menu.status.demolition,Идет разборка,Dismantling in progress.,,,Dismantling in progress.,Probíhá rozebrání.,Desmontagem em andamento.,Desmontaje en curso.,Trwa rozbiórka.,拆除中。,拆除中,解体中,해체 중입니다.,Wird abgerissen.,Démantèlement en cours,Demolizione in corso.,Sökme işlemi devam ediyor.,Lebontás folyamatban.,Відбувається знесення.
building.menu.status.extinguishing,Идет тушение пожара,Firefighting in progress.,,,Firefighting in progress.,Požár se hasí.,Combate a incêndios em andamento.,Labores de extinción en curso.,Trwa gaszenie pożaru.,灭火中。,滅火中,消火作業中,화재 진압 중입니다.,Brand wird gelöscht.,Vos habitants combattent l'incendie !,Spegnimento dell'incendio in corso.,Yangın söndürme işlemi devam ediyor.,Tűzoltás folyamatban.,Відбувається гасіння пожежі.
building.menu.status.harvest.after_tomorrow,Послезавтра соберут урожай,The harvest will be gathered the day after tomorrow.,,,The harvest will be gathered the day after tomorrow.,Sklizeň bude pozítří.,A colheita será depois de amanhã.,La cosecha se recogerá pasado mañana.,Zbiór plonów nastąpi pojutrze.,后天将收获庄稼。,後天收成,明後日に収穫が行われます。,수확물이 이틀 후 수거됩니다.,Die Ernte wird übermorgen eingebracht.,La récolte aura lieu dans deux jours.,Il raccolto avverrà dopodomani.,Hasat: Yarından sonraki gün.,A termés holnapután lesz betakarítva.,Збір урожаю відбудеться післязавтра.
building.menu.status.harvest.n_days,Соберут урожай через {days} дня,They will harvest the crops in {days} days.,,,They will harvest the crops in {days} days.,Sklizeň bude za {days} d.,A colheita será feita em {days} dias.,Recogerán las cosechas dentro de {days} días.,Zbiór plonów nastąpi za {days} dni.,他们将在{days}天内收获庄稼。,{days} 天後收成,{days} 日後に収穫を行います。,{days}일 후 농작물을 수확할 예정입니다.,Feld wird in {days} Tagen abgeerntet.,La récolte aura lieu dans {days} jours.,Il raccolto avverrà tra {days} giorni.,Ekinler {days} gün sonra hasat edilecek.,A termést {days} nap múlva takarítják be.,Вони збиратимуть урожай через {days} д.
building.menu.status.harvest.today,Сегодня соберут урожай,"Today, they will harvest the crops.",,,"Today, they will harvest the crops.",Sklizeň bude dnes.,A colheita será feita hoje.,Recogerán las cosechas hoy.,Dzisiaj nastąpi zbiór plonów.,今天他们将会收获庄稼。,今天收成,今日、作物を収穫します。,오늘 농작물을 수확할 예정입니다.,Feld wird heute abgeerntet.,La récolte a lieu aujourd'hui.,Il raccolto avverrà oggi.,Bugün ekinler hasat edilecek.,Ma takarítják be a termést.,Сьогодні збиратимуть урожай.
building.menu.status.harvest.tomorrow,Завтра соберут урожай,"Tomorrow, they will harvest the crops.",,,"Tomorrow, they will harvest the crops.",Sklizeň bude zítra.,A colheita será feita amanhã.,Recogerán las cosechas mañana.,Jutro nastąpi zbiór plonów.,明天他们将会收获庄稼。,明天收成,明日、作物を収穫します。,내일 농작물을 수확할 예정입니다.,Feld wird morgen abgeerntet.,La récolte aura lieu demain.,Il raccolto avverrà domani.,Yarın ekinler hasat edilecek.,Holnap takarítják be a termést.,Завтра збиратимуть урожай.
building.menu.status.no_tasks,Создайте заказ в меню производства,Create an order in the Production menu.,,,Create an order in the Production menu.,Vytvoř objednávku v nabídce výroby,Criar um pedido no menu de produção,Crea un pedido en el menú Producción.,Wydaj polecenie w menu produkcji.,在生产菜单中创建订单。,請於「生產」選單下達訂單,「生産」メニューからオーダーを作成します。,생산 메뉴에서 명령하세요.,Erstelle einen Befehl im Produktionsmenü.,Créez une commande dans le menu Production.,Crea un ordine nel menu di produzione.,Üretim menüsünden sipariş oluştur.,Adj ki egy parancsot a Termelés menüben.,Віддайте наказ в меню «Виробництво».
building.menu.status.fertilize,Плодородность: {number}%,Fertility: {number}%,,,Fertility: {number}%,Úrodnost: {number} %,Fertilidade: {number}%,Fertilidad: {number} %,Żyzność: {number}%,肥力：{number}%,肥沃度：{number}%,肥沃度： {number}%,비옥도: {number}%,Fruchtbarkeit: {number} %,Fertilité : {number} %,Fertilità: {number}%,Verimlilik: %{number},Termőképesség: {number}%,Родючість: {number}%
building.menu.status.produce,Производится: {resource} ({progress}%),In Production: {resource} ({progress}%),,,In Production: {resource} ({progress}%),Vyrábí se: {resource} ({progress} %),Em produção: {resource} ({progress}%),En producción: {resource} ({progress} %),W produkcji: {resource} ({progress}%),生产进度：{resource} ({progress}%),生產中：{resource} ({progress}%),生産中： {resource} ({progress}%),생산 중: {resource}({progress}%),In Produktion: {resource} ({progress} %),Production : {resource} ({progress} %),In produzione: {resource} ({progress}%),Üretiliyor: {resource} (%{progress}),Termelés alatt: {resource} ({progress}%),Виробляється: {resource} ({progress}%)
building.menu.status.raw_not_enough,Не хватает ресурсов для производства,Insufficient resources for production.,,,Insufficient resources for production.,Na výrobu není dost surovin.,Não há recursos suficientes para a produção.,Recursos insuficientes para producción.,Niewystarczająca ilość surowców do produkcji.,生产资源不足。,生產所需資源不足。,生産には資源が足りません。,생산에 필요한 자원이 부족합니다.,Nicht genug Ressourcen für die Produktion.,Ressources insuffisantes à la construction.,Risorse per la produzione insufficienti.,Üretim için yetersiz kaynak.,Nincs elég nyersanyag a termeléshez.,Для виробництва бракує ресурсів.
building.menu.status.relocate,Идет перенос,Relocate in progress.,,,Relocate in progress.,Probíhá přesun,Reposicionamento em andamento.,Recolocación en curso.,Trwają przenosiny.,搬迁中。,遷移中,移転進行中。,재배치 중입니다.,Wird verlegt.,Relocalisation en cours.,Spostamento in corso.,Taşıma işlemi devam ediyor.,Áthelyezés folyamatban.,Відбувається переміщення.
building.menu.status.repair,Идет ремонт,Repair in progress.,,,Repair in progress.,Probíhá oprava,Conserto em andamento.,Reparación en curso.,Trwają naprawy.,修理中。,修復中,修理中。,수리 중입니다.,Wird repariert.,Réparation en cours.,Riparazione in corso.,Tamir işlemi devam ediyor.,Javítás folyamatban.,Відбувається ремонт.
building.menu.status.upgrade,Идет улучшение,Upgrade in progress.,,,Upgrade in progress.,Probíhá vylepšení,Melhoria em andamento.,Mejora en curso.,Trwa ulepszanie.,升级中。,升級中,アップグレード中。,업그레이드 중입니다.,Wird aufgewertet.,Amélioration en cours.,Miglioramento in corso.,Yükseltme işlemi devam ediyor.,Fejlesztés folyamatban.,Відбувається вдосконалення.
building.menu.status.work_time,Рабочее время с {work_hour_begin} до {work_hour_end},Working hours from {work_hour_begin} to {work_hour_end},,,Working hours from {work_hour_begin} to {work_hour_end},Pracovní doba od {work_hour_begin} do {work_hour_end},Horário de trabalho: das {work_hour_begin} às {work_hour_end},Horario laboral de {work_hour_begin} a {work_hour_end},Godziny pracy: {work_hour_begin} – {work_hour_end},工作时间从{work_hour_begin}到{work_hour_end},工時：{work_hour_begin} 點至 {work_hour_end} 點,作業時間 {work_hour_begin} ～ {work_hour_end},작업 시간: {work_hour_begin}~{work_hour_end},Arbeitszeit von {work_hour_begin} bis {work_hour_end},Horaires de travail : {work_hour_begin} - {work_hour_end},Orario di lavoro: {work_hour_begin}-{work_hour_end},Çalışma saatleri {work_hour_begin} ile {work_hour_end} arasındadır.,Munkaidő: {work_hour_begin} – {work_hour_end},Робочий час: із {work_hour_begin} до {work_hour_end}
building.menu.status.works_fine,Работает нормально,Working Normally,,,Working Normally,Funguje normálně,Trabalhando normalmente,Trabajando normalmente,Pracuje normalnie.,正常工作,正常運作中,正常に稼働中,평소처럼 작업 중,Im Normalbetrieb,Fonctionne normalement,Lavoro normale,Sorunsuz Çalışıyor,Rendesen működik,Працює нормально
building.menu.status.pig_farm_need_to_charge,Нужна зарядка Брюквой,Charging with Rutabaga is required,,,Charging with Rutabaga is required,Vyžaduje zásoby tuřínu,É necessário abastecer com couve-nabo.,Se necesita cargar con colinabo,Wymaga dostaw brukwi.,需要供应芜菁,需要取用洋蕪菁,ルタバガの補充が必要,순무 보충 필요,Muss mit Steckrüben versorgt werden,Approvisionner en rutabaga,Rifornimento di rape richiesto,Şalgam ikmali gereklidir,Karórépa-ellátás szükséges,Потрібно поповнити бруквою
building.menu.status.need_inspector,Требуется назначить руководство,Requires an appointed manager,,,Requires an appointed manager,Vyžaduje ustanoveného správce,Precisa de um administrador designado,Necesita el nombramiento de un gestor,Wymaga mianowania zarządcy.,需要指定管理人,需要指派管理員,選任管理者が必要,관리자 임명 필요,Benötigt einen zugewiesenen Verwalter,Assignez une dame ou un seigneur à la gestion.,Richiede la nomina di un amministratore,Atanmış bir yönetici gerekiyor,Kinevezett intéző szükséges,Потрібно призначити керівника
building.menu.status.need_inspection,Инструкции не получены,Instructions not received,,,Instructions not received,Nemá pokyny,Instruções não recebidas,Instrucciones no recibidas,Nie otrzymano poleceń.,未收到指令,未接獲指令,指示を受け取っていません,받은 지시 없음,Keine Anweisungen erhalten,Aucune instruction reçue,Ordini non ricevuti,Talimatlar alınmadı,Nem kapott utasítást,Не отримано вказівок
building.menu.status.need_paper_charge,Нужна зарядка Бумагой,Charging with Paper is required,,,Charging with Paper is required,Vyžaduje zásoby papíru,É necessário abastecer com papel.,Se necesita cargar con papel,Wymaga dostaw papieru.,需要供应纸张,需要取用紙,紙の補充が必要,종이 보충 필요,Muss mit Papier versorgt werden.,Approvisionner en papier,Rifornimento di carta richiesto,Kâğıt ikmali gereklidir,Papírellátás szükséges,Потрібно поповнити папером
building.menu.tavern.allow_nectar,Разрешить Нектар,Allow Nectar,,,Allow Nectar,Povolit nektar,Permitir néctar,Permite néctar,Serwuj nektar,允许使用蜜酿,允許蜜露,ネクタルの販売を許可,넥타 허용,Nektar erlauben,Autoriser le nectar,Consenti nettare,Nektara İzin Ver,Nektár engedélyezése,Дозволити нектар
building.menu.temple.donation,Пожертвования,Donations,,,Donations,Příspěvky,Doações,Donaciones,Datki,捐献,捐獻,寄付,기부,Spenden,Dons,Donazioni,Bağışlar,Adományok,Пожертви
building.menu.temple.priest,СВЯЩЕННИК,PRIEST,,,PRIEST,KNĚZ,SACERDOTE,SACERDOTE,KAPŁAN,牧师,神父,司祭,사제,PRIESTER,MINISTRE,SACERDOTE,RAHİP,PAP,СВЯЩЕННИК
building.menu.workplace.appoint_inspector,Назначить,Assign,,,Assign,Přiřadit,Atribuir,Asignar,Przydziel,分配,指派,割り当て,배정,Zuweisen,Assigner,Assegna,Ata,Tevékenység,Призначити
building.menu.workplace.inspection,РУКОВОДСТВО,MANAGEMENT,,,MANAGEMENT,SPRÁVA,ADMINISTRAÇÃO,GESTIÓN,ZARZĄDZANIE,管理,管理,管理,관리,VERWALTUNG,GESTION,AMMINISTRAZIONE,YÖNETİM,FELÜGYELET,КЕРУВАННЯ
building.menu.workplace.priority,Приоритет,Priority,,,Priority,Priorita,Prioridade,Prioridad,Priorytet,优先级,優先,優先度,우선순위,Priorität,Priorité,Priorità,Öncelik,Prioritás,Пріоритет
building.menu.workplace.produced_today,ПРОИЗВЕДЕНО СЕГОДНЯ,PRODUCED TODAY,,,PRODUCED TODAY,VYROBENO DNES,PRODUÇÃO DE HOJE,PRODUCIDO HOY,WYPRODUKOWANO DZISIAJ,今日产出,今日已生產,本日の生産量,오늘 생산량,HEUTE PRODUZIERT,PRODUCTION DU JOUR,PRODUZIONE ODIERNA,BUGÜN ÜRETİLEN,MAI TERMELÉS,ВИРОБЛЕНО СЬОГОДНІ
building.menu.workplace.bonus_slave,Бонус от пленников: {bonus_slave},Bonus from prisoners: {bonus_slave},,,Bonus from prisoners: {bonus_slave},Bonus za vězně: {bonus_slave},Bônus de prisioneiros: {bonus_slave},Bonificación de prisioneros: {bonus_slave},Premia za jeńców: {bonus_slave},囚犯的奖励：{bonus_slave},囚犯加成：{bonus_slave},囚人からのボーナス： {bonus_slave},수감자 보너스: {bonus_slave},Bonus durch Sklaven: {bonus_slave},Bonus des esclaves : {bonus_slave},Bonus dai prigionieri: {bonus_slave},Mahkûm bonusu: {bonus_slave},Bónusz a foglyoktól: {bonus_slave},Бонус від в'язнів: {bonus_slave}
building.menu.workplace.bonus_addicted,Бонус от зависимых: {bonus_addicted},Bonus from addicted: {bonus_addicted},,,Bonus from addicted: {bonus_addicted},Bonus za závislé: {bonus_addicted},Bônus de viciados: {bonus_addicted},Bonificación de los adictos: {bonus_addicted},Premia za uzależnionych: {bonus_addicted},瘾君子的奖励：{bonus_addicted},成癮者加成：{bonus_addicted},依存者からのボーナス： {bonus_addicted},중독자 보너스: {bonus_addicted},Bonus durch Süchtige: {bonus_addicted},Bonus des nectaromanes : {bonus_addicted},Bonus dai nettaredipendenti: {bonus_addicted},Bağımlı bonusu: {bonus_addicted},Bónusz a függőktől: {bonus_addicted},Бонус від залежних: {bonus_addicted}
building.menu.workplace.bonus_culture,Бонус от {culture}: {bonus_culture},Bonus from {culture} expertise: {bonus_culture},,,Bonus from {culture} expertise: {bonus_culture},Bonus za expertízu – {culture}: {bonus_culture},Bônus de especialização {culture}: {bonus_culture},Bonificación del conocimiento de los {culture}: {bonus_culture},Premia za wiedzę kultury {culture}: {bonus_culture},来自{culture}专长的奖励：{bonus_culture},{culture}特長加成：{bonus_culture},{culture}の専門知識からのボーナス： {bonus_culture},{culture} 전문 분야 보너스: {bonus_culture},Bonus durch {culture}-Expertise: {bonus_culture},Bonus des experts {culture}s : {bonus_culture},Bonus dall'esperienza di {culture}: {bonus_culture},{culture} uzmanlığı bonusu: {bonus_culture},Bónusz a(z) {culture} ismeretből: {bonus_culture},Бонус від культури {culture}: {bonus_culture}
building.menu.workplace.statistics,СТАТИСТИКА,STATISTICS,,,STATISTICS,STATISTIKY,ESTATÍSTICAS,ESTADÍSTICAS,STATYSTYKI,统计,統計數據,ステータス,통계,STATISTIK,STATISTIQUES,STATISTICHE,İSTATİSTİKLER,STATISZTIKÁK,СТАТИСТИКА
building.menu.workplace.workers,РАБОЧИЕ,WORKERS,,,WORKERS,DĚLNÍCI,TRABALHADORES,TRABAJADORES,PRACOWNICY,工人,工人,労働者,일꾼,ARBEITER,MAIN-D'ŒUVRE,LAVORATORI,İŞÇİLER,MUNKÁSOK,ПРАЦІВНИКИ
building.menu.workplace.workers.free,Крестьяне,Peasants,,,Peasants,Rolníci,Camponeses,Campesinos,Chłopi,平民,庶民,農民,농민,Bauern,Paysannat,Popolani,Köylüler,Parasztok,Селяни
building.menu.workplace.workers.slaves,Пленники,Prisoners,,,Prisoners,Vězni,Prisioneiros,Prisioneros,Jeńcy,囚犯,囚犯,囚人,수감자,Sklaven,Esclaves,Prigionieri,Mahkûmlar,Foglyok,В'язні
building.menu.workplace.addicted,Зависимые,Addicted,,,Addicted,Závislí,Viciados,Adictos,Uzależnieni,瘾君子,成癮者,依存者,중독자,Süchtige,Nectaromanes,Nettaredipendenti,Bağımlı,Függők,Залежні
building.menu.patrollers,Баннер патруля,Patrol Banner,,,Patrol Banner,Hlídkový prapor,Estandarte da patrulha,Estandarte de patrulla,Sztandar patrolu,巡逻旗帜,巡邏旗,巡回者の旗,순찰 깃발,Patrouillenbanner,Balise de patrouille,Stendardo di pattuglia,Devriye Sancağı,Járőrlobogó,Стяг патруля
building.menu.radius,Радиус патрулирования,Patrol Radius,,,Patrol Radius,Dosah hlídky,Raio da patrulha,Radio de la patrulla,Zasięg patrolu,巡逻范围,巡邏範圍,巡回範囲,순찰 반경,Patrouillenradius,Zone de patrouille,Raggio di pattuglia,Devriye Menzili,Járőrsugár,Радіус патрулювання
building.menu.combat_max,Макс. уровень боя,Max combat level,,,Max combat level,Max. bojová úroveň,Nível máximo de combate,Nivel máximo de combate,Maks. poziom bojowy,最大战斗等级,最高戰鬥等級,最高戦闘レベル,최대 전투 레벨,Max. Kampfstufe,Niveau de combat max.,Livello di combattimento massimo,Maksimum Dövüş Seviyesi,Max. harci szint,Максимальний рівень бою
building.menu.max_pain,Макс. уровень боли,MAXIMUM PAIN LEVEL,,,MAXIMUM PAIN LEVEL,MAXIMÁLNÍ ÚROVEŇ BOLESTI,NÍVEL MÁXIMO DE DOR,NIVEL MÁXIMO DE DOLOR,MAKS. POZIOM BÓLU,最大疼痛等级,最高疼痛程度,最小痛みのレベル,최대 통증 레벨,MAXIMALE SCHMERZSTUFE,NIVEAU DE DOULEUR MAX.,LIVELLO DI DOLORE MASSIMO,MAKSİMUM ACI SEVİYESİ,MAXIMÁLIS FÁJDALOMSZINT,МАКСИМАЛЬНИЙ РІВЕНЬ БОЛЮ
menu.patrol_sign.description,Место патрулирования для воинов,Patrol place for warriors,,,Patrol place for warriors,Místo hlídky pro válečníky,Local de patrulha para guerreiros,Lugar de patrulla para guerreros,Miejsce patrolu wojowników.,战士巡逻地点,戰士巡邏處,戦士の巡回場所,전사 순찰 장소,Patrouillenplatz für Krieger,Espace de patrouille des guerriers,Luogo di pattuglia per guerrieri,Savaşçılar için devriye yeri,Járőrhely a harcosok számára,Місце патрулювання солдатів
building.mine,Шахта железа,Mine,,,Mine,Důl,Mina,Mina,Kopalnia,矿井,礦場,鉱山,광산,Mine,Mine,Miniera,Maden,Bánya,Шахта
building.noble_house,Дом лорда,Lord's house,,,Lord's house,Lordův dům,Casa de nobre,Casa del señor,Dom lorda,领主住宅,貴族住宅,領主の家,영주의 집,Adelshaus,Maison seigneuriale,Casa per nobili,Asilzade Evi,Nemes háza,Будинок вельможі
building.paper_factory,Производство бумаги,Paper Workshop,,,Paper Workshop,Papírna,Oficina de papel,Taller de papel,Papiernia,造纸坊,造紙坊,製紙工場,제지소,Papierwerkstatt,Papeterie,Cartificio,Kâğıt Atölyesi,Papírműhely,Паперова майстерня
building.slaves_barrack,Барак пленников,Prison Ward,,,Prison Ward,Věznice,Cela de prisão,Prisión,Barak jeńców,监狱牢房,牢房,刑務所,감옥,Kerker,Cabane d'esclaves,Prigione,Hapishane Koğuşu,Börtön,Тюремний барак
building.temple.preach.doubt,Проповедь сомнений,Sermon of Doubt,,,Sermon of Doubt,Kázání o pochybách,Sermão de dúvida,Sermón de duda,Kazanie zwątpienia,疑窦之道,疑竇之道,疑念の説教,의심의 설교,Predigt des Zweifels,Sermon de doute,Sermone miscredente,Şüphe Vaazı,Kételybeszéd,Проповідь сумніву
building.temple.preach.faith,Проповедь веры,Sermon of Faith,,,Sermon of Faith,Kázání o víře,Sermão de fé,Sermón de fe,Kazanie wiary,信仰之道,信仰之道,信仰の説教,믿음의 설교,Predigt des Glaubens,Sermon de foi,Sermone devoto,İnanç Vaazı,Hitbeszéd,Проповідь віри
building.farm.pig_farm_charge_abort,Отменить зарядку,Cancel Сharging,,,Cancel Сharging,Zrušit zásobování,Cancelar abastecimento,Cancelar carga,Anuluj dostawy,取消供应,停止取用,補充のキャンセル,보충 취소,Nachschub abbrechen,Annuler l'approvisionnement,Annulla rifornimento,İkmali İptal Et,Ellátás megszakítása,Скасувати поповнення
building.farm.pig_farm_charge,Зарядить Брюквой,Charge with Rutabaga,,,Charge with Rutabaga,Zásobit tuřínem,Abastecer com couve-nabo,Cargar con colinabo,Dostarczaj brukiew,供应芜菁,開始取用洋蕪菁,ルタバガの補充,순무 보충,Mit Steckrüben versorgen,Approvisionner en rutabaga,Rifornisci di rape,Şalgam ikmali yap,Karórépa-ellátás,Поповнити бруквою
building.gallows.crimes,Преступлений,Crimes,,,Crimes,Zločiny,Crimes,Crímenes,Przestępstwa,罪行,犯罪,犯罪,범죄,Verbrechen,Crimes,Crimini,Suçlar,Bűnök,Злочини
building.gallows.punishments,Наказаний,Punishments,,,Punishments,Tresty,Punições,Castigos,Kary,惩罚,責罰,処罰,처벌,Bestrafungen,Châtiments,Punizioni,Cezalar,Büntetések,Покарання
building.gallows.change,Изменить,Change,,,Change,Změna,Mudança,Cambiar,Zmień,变更,改過,変更,변경,Ändern,Modifier,Cambia,Değiştir,Módosítás,Змінити
building.training_field,Тренировочное поле,Training Ground,,,Training Ground,Cvičiště,Campo de treinamento,Campo de entrenamiento,Plac treningowy,训练场,訓練場,訓練場,훈련장,Übungsgelände,Camp d'entraînement,Campo d'addestramento,Eğitim Alanı,Gyakorlótér,Тренувальний майданчик
building.woodcutter,Лесопилка,Lumbermill,,,Lumbermill,Pila,Serraria,Serrería,Tartak,伐木场,伐木場,製材所,제재소,Holzfällerlager,Scierie,Segheria,Kereste Fabrikası,Fűrészmalom,Лісопильня
building.workshop,Мастерская,Workshop,,,Workshop,Dílna,Oficina,Taller,Warsztat,工坊,工作坊,作業場,공방,Werkstatt,Atelier,Bottega,Atölye,Műhely,Майстерня
building.gallows,Эшафот,Scaffold,,,Scaffold,Popraviště,Patíbulo,Patíbulo,Szafot,行刑台,行刑台,処刑台,처형대,Schafott,Échafaud,Patibolo,Darağacı,Vesztőhely,Ешафот
building.market,Рынок,Market,,,Market,Tržnice,Mercado,Mercado,Rynek,市场,市集,市場,시장,Markt,Marché,Mercato,Pazar,Piac,Ринок
building.storage,Склад,Warehouse,,,Warehouse,Skladiště,Depósito,Almacén,Skład,仓库,倉庫,倉庫,창고,Lagerhaus,Dépôt,Magazzino,Ardiye,Raktár,Склад
building.tavern,Таверна ,Tavern,,,Tavern,Krčma,Taverna,Taberna,Karczma,酒馆,酒館,酒場,술집,Taverne,Taverne,Locanda,Taverna,Kocsma,Корчма
building.drug_deg,Притон,Drug Den,,,Drug Den,Drogové doupě,Antro,Antro,Melina,蜜酿窝点,賊窩,秘密の取引場,마약 소굴,Rauschhöhle,Rade à nectar,Bassifondi,Batakhane,Lebuj,Наркопритон
building.rye_farm,Ржаное поле,Rye Field,,,Rye Field,Žitné pole,Campo de centeio,Campo de centeno,Pole żyta,麦田,麥田,ライ麦畑,호밀밭,Roggenfeld,Champ de seigle,Campo di segale,Çavdar Tarlası,Rozstábla,Житнє поле
building.hop_farm,Хмелевое поле,Hop Field,,,Hop Field,Chmelové pole,Campo de lúpulo,Campo de lúpulo,Pole chmielu,啤酒花田,啤酒花田,ホップ畑,홉밭,Hopfenfeld,Champ de houblon,Campo di luppolo,Şerbetçi Otu Tarlası,Komlótábla,Хмелеве поле
building.swede_farm,Брюквенное поле,Rutabaga Field,,,Rutabaga Field,Tuřínové pole,Campo de couve-nabo,Campo de colinabo,Pole brukwi,芜菁田,洋蕪菁田,ルタバガ畑,순무밭,Steckrübenfeld,Champ de rutabaga,Campo di rape,Şalgam Tarlası,Karórépatábla,Бруквове поле
building.pig_farm,Свиной загон,Pig Farm,,,Pig Farm,Vepřín,Fazenda de porcos,Granja de cerdos,Chlew,养猪场,養豬場,養豚場,돼지 농장,Schweinefarm,Porcherie,Allevamento di maiali,Domuz Çiftliği,Sertésfarm,Свиноферма
building.mill,Мельница,Mill,,,Mill,Mlýn,Moinho,Molino,Młyn,磨坊,磨坊,水車,방앗간,Mühle,Moulin,Mulino,Değirmen,Malom,Млин
building.alchimestry,Алхимик,Alchemy Lab,,,Alchemy Lab,Alchymistická laboratoř,Laboratório alquímico,Laboratorio de alquimia,Laborat. alchemiczne,炼金实验室,煉金實驗室,錬金術研究所,연금술 실험실,Alchemielabor,Laboratoire d'alchimie,Laboratorio alchemico,Kimya Laboratuvarı,Alkímiai labor,Алхімічна лабораторія
building.melting_furnace,Плавильня,Smelting furnace,,,Smelting furnace,Slévárna,Fundição,Fundición,Huta,冶炼炉,冶煉爐,製錬炉,제련소,Schmelzofen,Fonderie,Fonderia,Döküm Fırını,Olvasztókohó,Плавильна піч
building.patrol_sign,Ночной Патруль,Night Patrol,,,Night Patrol,Noční hlídka,Patrulha noturna,Patrulla nocturna,Patrol nocny,夜间巡逻队,夜間巡邏,夜間巡回,야간 순찰,Nachtpatrouille,Patrouille de nuit,Pattuglia notturna,Gece Devriyesi,Éjszakai járőr,Нічний патруль
display_event.actor_complete_action_task_on_gm,{name} выполнил задачу - {task_name}.,{name} completed the task - {task_name}.,,,{name} completed the task - {task_name}.,{name} dokončuje úkol – {task_name}.,{name} completou a tarefa: {task_name}.,{name} ha completado la tarea: {task_name}.,{name} wykonuje zadanie – {task_name}.,{name}完成了任务 - {task_name}。,{name}已完成事項：{task_name}。,{name}が任務「{task_name}」を完了しました。,{name}이(가) {task_name} 임무를 완료했습니다.,{name} hat eine Aufgabe abgeschlossen: {task_name}.,{name} a terminé la tâche « {task_name} ».,{name} ha completato il compito: {task_name}.,"{name}, {task_name} görevini tamamladı.",{name} teljesítette a feladatot: {task_name}.,{name} успішно виконує завдання: {task_name}.
display_event.actor_abort_action_task_on_gm,{name} не смог выполнить задачу,{name} failed to complete the task.,,,{name} failed to complete the task.,{name} selhává v úkolu.,{name} não completou a tarefa.,{name} no ha podido completar la tarea.,{name} nie wykonuje zadania.,{name}未能完成任务。,{name}無法完成事項。,{name}が任務を完了できませんでした。,{name}이(가) 임무 완료에 실패했습니다.,{name} hat die Aufgabe nicht abgeschlossen.,{name} n'a pas réussi à terminer sa tâche.,{name} non ha completato il compito.,{name} görevi tamamlayamadı.,{name} nem teljesítette a feladatot.,{name} провалює завдання.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} прибыл в {town_name},{name} arrived in {town_name}.,,,{name} arrived in {town_name}.,{name} přichází do města {town_name}.,{name} chegou em {town_name}.,{name} ha llegado a {town_name}.,{name} dociera do miasta {town_name}.,{name}到{town_name}了。,{name}已抵達{town_name}。,{name}が{town_name}に到着しました。,{name}이(가) {town_name}에 도착했습니다.,{name} ist in {town_name} eingetroffen.,{name} vient d'arriver à {town_name}.,{name} ha raggiunto {town_name}.,"{name}, {town_name} kasabasına geldi.",{name} megérkezett {town_name} városába.,{name} прибуває до: {town_name}.
display_event.actors_married,{name_1} и {name_2} обручились,{name_1} and {name_2} are engaged.,,,{name_1} and {name_2} are engaged.,{name_1} a {name_2} jsou zasnoubení.,{name_1} e {name_2} contraíram noivado.,{name_1} y {name_2} están prometidos.,{name_1} i {name_2} są zaręczeni.,{name_1}和{name_2}订婚了。,{name_1}和{name_2}訂婚了。,{name_1}と{name_2}が婚約しました。,{name_1}이(가) {name_2}(이)와 약혼했습니다.,{name_1} und {name_2} sind jetzt verlobt.,{name_1} et {name_2} se sont fiancés.,{name_1} e {name_2} sono promessi.,{name_1} ve {name_2} nişanlandı.,{name_1} és {name_2} eljegyezték egymást.,{name_1} і {name_2} заручені.
,,,Уведомления,,,,,,,,,,,,,,,,
,,,Справа обычное,,,,,,,,,,,,,,,,
,,,Уведомление здания - звук+заметно мигающая иконка над зданием + рутина сверху. В конце дня сводка.,,,,,,,,,,,,,,,,
,,,"Новости персонажей - маркер на иконке персонажей + сама новость в хинте. При этом изменение числа - миграция , +бандиты - рабы и тд - счетчик + под иконками классов населения. + Сводка по населению утром",,,,,,,,,,,,,,,,
,,,"Сводка Квестов ГК - Новые квесты, не более 4 за день. Квесты крупно. Некоторы важные квесты выделяются. Прочие события идут ниже. Средни них тоже выделяются важные",,,,,,,,,,,,,,,,
,,,"Сводки - ГК, Персонажи и Экономика - выделяются цветом и спокойным звуком. Приходят в разныое время",,,,,,,,,,,,,,,,
,,,Важные - выделяются оранжевым фоном сообщения справа (а также тревожным звуком),,,,,,,,,,,,,,,,
,,,"Книжные - статус. звук листания страницы, но так обычне",,,,,,,,,,,,,,,,
,,,"Некоторые события ГК - такие как выполнение задания, когда игрока шантажируют или стартуют на него войско - идут желтым, видны на гк, и при нажатии открывают окно с картинкой",,,,,,,,,,,,,,,,
display_event.new_genius_king,Амбициозный король,Rumor: Conquerors,,,Rumor: Conquerors,Zvěst: Dobyvatelé,Rumor: Conquistadores,Rumor: conquistadores,Plotka: Najeźdźcy,传闻：征服者,傳聞：征服者,噂：征服者,소문: 정복자,Gerücht: Eroberer,Rumeurs : conquête,Indiscrezione: conquistatori,Dedikodu: Fatihler,Pletyka: Hódítók,Чутки: завойовники
